ko:K01868	xop:PXO_01383
ko:K03702	xop:PXO_01374
ko:K02676	xop:PXO_02715
ko:K02341	xop:PXO_02714
ko:K07082	xop:PXO_02713
ko:K01657	xop:PXO_02712
ko:K09458	xop:PXO_02711
ko:K02078	xop:PXO_02710
ko:K00645	xop:PXO_02708
ko:K00648	xop:PXO_02706
ko:K02911	xop:PXO_02705
ko:K07040	xop:PXO_02704
ko:K06287	xop:PXO_02703
ko:K02014	xop:PXO_02690
ko:K03811	xop:PXO_02689
ko:K02461	xop:PXO_02683
ko:K02459	xop:PXO_02681
ko:K02457	xop:PXO_02679
ko:K02456	xop:PXO_02678
ko:K02454	xop:PXO_02675
ko:K01952	xop:PXO_02669
ko:K03981	xop:PXO_02667
ko:K07091	xop:PXO_02661
ko:K01255	xop:PXO_02660
ko:K02339	xop:PXO_02658
ko:K01873	xop:PXO_02657
ko:K02346	xop:PXO_03139
ko:K01716	xop:PXO_03138
ko:K01414	xop:PXO_03135
ko:K01738	xop:PXO_03134
ko:K07233	xop:PXO_03131
ko:K00820	xop:PXO_03126
ko:K02114	xop:PXO_03114
ko:K02112	xop:PXO_03113
ko:K02115	xop:PXO_03112
ko:K02111	xop:PXO_03111
ko:K02113	xop:PXO_03110
ko:K02109	xop:PXO_03109
ko:K02110	xop:PXO_03108
ko:K02108	xop:PXO_03107
ko:K00382	xop:PXO_03103
ko:K00627	xop:PXO_03101
ko:K07275	xop:PXO_03097
ko:K02073	xop:PXO_03095
ko:K02072	xop:PXO_03094
ko:K02071	xop:PXO_03093
ko:K09767	xop:PXO_03091
ko:K09941	xop:PXO_03086
ko:K00342	xop:PXO_01299
ko:K00341	xop:PXO_01298
ko:K00340	xop:PXO_01297
ko:K00339	xop:PXO_01296
ko:K00338	xop:PXO_01295
ko:K00337	xop:PXO_01294
ko:K00336	xop:PXO_01293
ko:K00335	xop:PXO_01292
ko:K00334	xop:PXO_01291
ko:K00333	xop:PXO_01290
ko:K00332	xop:PXO_01289
ko:K00331	xop:PXO_01288
ko:K00330	xop:PXO_01287
ko:K03075	xop:PXO_01286
ko:K01803	xop:PXO_01285
ko:K06886	xop:PXO_01283
ko:K03431	xop:PXO_01274
ko:K01695	xop:PXO_01272
ko:K01696	xop:PXO_01270
ko:K01817	xop:PXO_01268
ko:K06173	xop:PXO_01267
ko:K06996	xop:PXO_01266
ko:K00133	xop:PXO_01262
ko:K01736	xop:PXO_01260
ko:K07320	xop:PXO_01259
ko:K07152	xop:PXO_01258
ko:K01613	xop:PXO_01257
ko:K06915	xop:PXO_01254
ko:K04760	xop:PXO_01248
ko:K01737	xop:PXO_03145
ko:K01935	xop:PXO_03143
ko:K02078	xop:PXO_03737
ko:K00655	xop:PXO_03735
ko:K09800	xop:PXO_03725
ko:K03671	xop:PXO_03717
ko:K03732	xop:PXO_03716
ko:K09812	xop:PXO_03715
ko:K09811	xop:PXO_03714
ko:K03648	xop:PXO_03712
ko:K03089	xop:PXO_03711
ko:K03885	xop:PXO_03709
ko:K04078	xop:PXO_03704
ko:K04077	xop:PXO_03703
ko:K01626	xop:PXO_03699
ko:K00982	xop:PXO_03686
ko:K01923	xop:PXO_04200
ko:K01783	xop:PXO_04198
ko:K01657	xop:PXO_04195
ko:K01620	xop:PXO_04194
ko:K03284	xop:PXO_04171
ko:K01194	xop:PXO_04165
ko:K03669	xop:PXO_04141
ko:K06999	xop:PXO_04140
ko:K07814	xop:PXO_00476
ko:K00822	xop:PXO_00471
ko:K02379	xop:PXO_00469
ko:K09471	xop:PXO_00465
ko:K01915	xop:PXO_00464
ko:K07010	xop:PXO_05560
ko:K01915	xop:PXO_00463
ko:K03543	xop:PXO_00461
ko:K11076	xop:PXO_00458
ko:K11075	xop:PXO_00457
ko:K11074	xop:PXO_00456
ko:K00135	xop:PXO_00454
ko:K03284	xop:PXO_00453
ko:K06189	xop:PXO_00451
ko:K07042	xop:PXO_00449
ko:K06217	xop:PXO_00447
ko:K00411	xop:PXO_00441
ko:K00412	xop:PXO_00440
ko:K00413	xop:PXO_00439
ko:K03599	xop:PXO_00438
ko:K03600	xop:PXO_00437
ko:K03724	xop:PXO_00432
ko:K03684	xop:PXO_00420
ko:K03686	xop:PXO_01186
ko:K04043	xop:PXO_01185
ko:K03687	xop:PXO_01184
ko:K03705	xop:PXO_01183
ko:K03631	xop:PXO_01182
ko:K06186	xop:PXO_01180
ko:K09801	xop:PXO_01179
ko:K03664	xop:PXO_01177
ko:K01662	xop:PXO_01171
ko:K03543	xop:PXO_01156
ko:K02621	xop:PXO_01152
ko:K03594	xop:PXO_01151
ko:K02014	xop:PXO_01148
ko:K01953	xop:PXO_01146
ko:K01439	xop:PXO_01145
ko:K00990	xop:PXO_01140
ko:K01265	xop:PXO_01139
ko:K07347	xop:PXO_01136
ko:K02967	xop:PXO_01132
ko:K02357	xop:PXO_01131
ko:K09903	xop:PXO_01129
ko:K02821	xop:PXO_02221
ko:K08483	xop:PXO_02219
ko:K06213	xop:PXO_02217
ko:K00426	xop:PXO_02215
ko:K00425	xop:PXO_02214
ko:K08989	xop:PXO_02188
ko:K09980	xop:PXO_02184
ko:K00275	xop:PXO_02183
ko:K00891	xop:PXO_02182
ko:K01735	xop:PXO_02181
ko:K01599	xop:PXO_02179
ko:K01845	xop:PXO_02277
ko:K03098	xop:PXO_03292
ko:K00500	xop:PXO_03285
ko:K07119	xop:PXO_03275
ko:K06181	xop:PXO_03272
ko:K03579	xop:PXO_03270
