ko:K01868	lpt:zj316_1522
ko:K02520	lpt:zj316_1523
ko:K02916	lpt:zj316_1524
ko:K02887	lpt:zj316_1525
ko:K01779	lpt:zj316_1530
ko:K00794	lpt:zj316_1482
ko:K03303	lpt:zj316_1802
ko:K02621	lpt:zj316_1823
ko:K02622	lpt:zj316_1824
ko:K08591	lpt:zj316_1826
ko:K03667	lpt:zj316_1828
ko:K01419	lpt:zj316_1829
ko:K03733	lpt:zj316_1830
ko:K04094	lpt:zj316_1831
ko:K03168	lpt:zj316_1832
ko:K04096	lpt:zj316_1833
ko:K03470	lpt:zj316_1834
ko:K14540	lpt:zj316_1835
ko:K02071	lpt:zj316_2325
ko:K02437	lpt:zj316_2326
ko:K05837	lpt:zj316_2327
ko:K08998	lpt:zj316_2329
ko:K03569	lpt:zj316_2330
ko:K03817	lpt:zj316_2331
ko:K00790	lpt:zj316_2332
ko:K02114	lpt:zj316_2333
ko:K02112	lpt:zj316_2334
ko:K02115	lpt:zj316_2335
ko:K02111	lpt:zj316_2336
ko:K02113	lpt:zj316_2337
ko:K02109	lpt:zj316_2338
ko:K02110	lpt:zj316_2339
ko:K02108	lpt:zj316_2340
ko:K00761	lpt:zj316_2343
ko:K00600	lpt:zj316_2344
ko:K07566	lpt:zj316_2345
ko:K02493	lpt:zj316_2346
ko:K02835	lpt:zj316_2347
ko:K01928	lpt:zj316_2349
ko:K01809	lpt:zj316_2351
ko:K00826	lpt:zj316_2354
ko:K02072	lpt:zj316_2324
ko:K01867	lpt:zj316_0599
ko:K02761	lpt:zj316_0601
ko:K02761	lpt:zj316_0604
ko:K01223	lpt:zj316_0605
ko:K01524	lpt:zj316_0609
ko:K12410	lpt:zj316_0612
ko:K01874	lpt:zj316_0616
ko:K03424	lpt:zj316_0622
ko:K05985	lpt:zj316_0623
ko:K02528	lpt:zj316_0624
ko:K00919	lpt:zj316_0626
ko:K04042	lpt:zj316_0634
ko:K00948	lpt:zj316_0636
