ko:K18676	bmaf:DM51_2487
ko:K01246	bmaf:DM51_2488
ko:K02970	bmaf:DM51_2489
ko:K02406	bmaf:DM51_2490
ko:K02407	bmaf:DM51_2491
ko:K00648	bmaf:DM51_2495
ko:K02078	bmaf:DM51_2496
ko:K00648	bmaf:DM51_2497
ko:K03406	bmaf:DM51_2510
ko:K01999	bmaf:DM51_2518
ko:K07226	bmaf:DM51_2520
ko:K03642	bmaf:DM51_2526
ko:K03530	bmaf:DM51_2528
ko:K15461	bmaf:DM51_2529
ko:K06048	bmaf:DM51_2531
ko:K01951	bmaf:DM51_2533
ko:K07117	bmaf:DM51_2535
ko:K03381	bmaf:DM51_3951
ko:K01409	bmaf:DM51_4065
ko:K07007	bmaf:DM51_4066
ko:K02970	bmaf:DM51_4067
ko:K09117	bmaf:DM51_4068
