ko:K14393	sent:TY21A_21245
ko:K01895	sent:TY21A_21255
ko:K03385	sent:TY21A_21260
ko:K04013	sent:TY21A_21265
ko:K04014	sent:TY21A_21270
ko:K04016	sent:TY21A_21285
ko:K11102	sent:TY21A_21300
ko:K09994	sent:TY21A_21325
ko:K06193	sent:TY21A_21335
ko:K03762	sent:TY21A_21340
ko:K07643	sent:TY21A_21350
ko:K07771	sent:TY21A_21355
ko:K03760	sent:TY21A_21360
ko:K03759	sent:TY21A_21365
ko:K03755	sent:TY21A_21370
ko:K01584	sent:TY21A_21380
ko:K07406	sent:TY21A_21390
ko:K01676	sent:TY21A_21400
ko:K07703	sent:TY21A_21410
ko:K07701	sent:TY21A_21415
ko:K09474	sent:TY21A_21490
ko:K12055	sent:TY21A_21500
ko:K01840	sent:TY21A_03890
ko:K01840	sent:TY21A_04005
ko:K00971	sent:TY21A_03885
ko:K00884	sent:TY21A_08640
ko:K00523	sent:TY21A_03950
ko:K12453	sent:TY21A_03970
ko:K01069	sent:TY21A_13210
ko:K00042	sent:TY21A_11865
ko:K00042	sent:TY21A_16055
ko:K07250	sent:TY21A_13610
ko:K01659	sent:TY21A_12670
ko:K00956	sent:TY21A_14325
ko:K01739	sent:TY21A_17760
ko:K00632	sent:TY21A_02415
ko:K00632	sent:TY21A_16805
ko:K01096	sent:TY21A_08230
ko:K01139	sent:TY21A_19185
ko:K01485	sent:TY21A_16480
ko:K01582	sent:TY21A_01215
ko:K01582	sent:TY21A_01510
ko:K01801	sent:TY21A_03465
ko:K00146	sent:TY21A_15405
ko:K03278	sent:TY21A_19310
ko:K13005	sent:TY21A_03985
ko:K09953	sent:TY21A_06140
ko:K03292	sent:TY21A_18220
ko:K03292	sent:TY21A_18225
ko:K08087	sent:TY21A_11710
ko:K04065	sent:TY21A_23435
ko:K06218	sent:TY21A_22815
ko:K12524	sent:TY21A_00005
ko:K14682	sent:TY21A_14660
ko:K03581	sent:TY21A_14665
ko:K03533	sent:TY21A_18720
ko:K00428	sent:TY21A_18725
ko:K02194	sent:TY21A_18735
ko:K02195	sent:TY21A_18740
ko:K02196	sent:TY21A_18745
ko:K02197	sent:TY21A_18750
ko:K02198	sent:TY21A_18755
ko:K02199	sent:TY21A_18760
ko:K04080	sent:TY21A_18780
ko:K04081	sent:TY21A_18785
ko:K07085	sent:TY21A_18790
ko:K06871	sent:TY21A_18825
ko:K01753	sent:TY21A_18830
ko:K13629	sent:TY21A_18835
ko:K08154	sent:TY21A_18850
ko:K01652	sent:TY21A_18865
ko:K01653	sent:TY21A_18870
ko:K11534	sent:TY21A_18875
ko:K02429	sent:TY21A_18885
ko:K07675	sent:TY21A_18900
ko:K07783	sent:TY21A_18905
ko:K02773	sent:TY21A_18925
ko:K02774	sent:TY21A_18930
ko:K07726	sent:TY21A_18960
ko:K01223	sent:TY21A_18980
ko:K01867	sent:TY21A_23205
ko:K01779	sent:TY21A_23215
ko:K01305	sent:TY21A_23225
ko:K01154	sent:TY21A_23290
ko:K01153	sent:TY21A_23305
ko:K09803	sent:TY21A_23315
ko:K02317	sent:TY21A_23365
ko:K13255	sent:TY21A_23395
ko:K02344	sent:TY21A_23415
ko:K03789	sent:TY21A_23420
ko:K08723	sent:TY21A_23425
ko:K02837	sent:TY21A_23430
ko:K03424	sent:TY21A_23450
ko:K00990	sent:TY21A_01105
ko:K01265	sent:TY21A_01110
ko:K02967	sent:TY21A_01115
ko:K02357	sent:TY21A_01120
ko:K09903	sent:TY21A_01125
ko:K02838	sent:TY21A_01130
ko:K00099	sent:TY21A_01135
ko:K00806	sent:TY21A_01140
ko:K00981	sent:TY21A_01145
ko:K11749	sent:TY21A_01150
ko:K07277	sent:TY21A_01155
ko:K06142	sent:TY21A_01160
ko:K02536	sent:TY21A_01165
ko:K02372	sent:TY21A_01170
ko:K00677	sent:TY21A_01175
ko:K00748	sent:TY21A_01180
ko:K03470	sent:TY21A_01185
ko:K02337	sent:TY21A_01190
ko:K01962	sent:TY21A_01195
ko:K04075	sent:TY21A_01225
ko:K02356	sent:TY21A_03275
ko:K06940	sent:TY21A_03280
ko:K03291	sent:TY21A_03290
