ko:K01881	ctlj:L1115_00408
ko:K03705	ctlj:L1115_00409
ko:K03687	ctlj:L1115_00410
ko:K04043	ctlj:L1115_00411
ko:K12573	ctlj:L1115_00412
ko:K07164	ctlj:L1115_00413
ko:K06041	ctlj:L1115_00414
ko:K00658	ctlj:L1115_00415
ko:K00912	ctlj:L1115_00417
ko:K03437	ctlj:L1115_00418
ko:K06969	ctlj:L1115_00419
ko:K00793	ctlj:L1115_00420
ko:K07738	ctlj:L1115_00421
ko:K06204	ctlj:L1115_00422
ko:K03101	ctlj:L1115_00423
ko:K03310	ctlj:L1115_00424
ko:K00970	ctlj:L1115_00425
ko:K00748	ctlj:L1115_00426
ko:K09815	ctlj:L1115_00431
ko:K09817	ctlj:L1115_00432
ko:K09816	ctlj:L1115_00433
ko:K03979	ctlj:L1115_00434
ko:K02899	ctlj:L1115_00435
ko:K02888	ctlj:L1115_00436
ko:K07042	ctlj:L1115_00441
ko:K03183	ctlj:L1115_00447
ko:K01778	ctlj:L1115_00449
ko:K01358	ctlj:L1115_00450
ko:K00600	ctlj:L1115_00451
ko:K01719	ctlj:L1115_00452
ko:K01770	ctlj:L1115_00453
ko:K00380	ctlj:L1115_00454
ko:K02946	ctlj:L1115_00455
ko:K02355	ctlj:L1115_00456
ko:K02992	ctlj:L1115_00457
ko:K02950	ctlj:L1115_00458
ko:K03671	ctlj:L1115_00567
ko:K03216	ctlj:L1115_00568
ko:K01876	ctlj:L1115_00570
ko:K01892	ctlj:L1115_00571
ko:K07783	ctlj:L1115_00572
ko:K02337	ctlj:L1115_00573
ko:K07258	ctlj:L1115_00579
ko:K03311	ctlj:L1115_00582
ko:K00382	ctlj:L1115_00585
ko:K03644	ctlj:L1115_00586
ko:K03222	ctlj:L1115_00587
ko:K03223	ctlj:L1115_00589
ko:K03226	ctlj:L1115_00590
ko:K03227	ctlj:L1115_00591
ko:K03228	ctlj:L1115_00592
ko:K02455	ctlj:L1115_00598
ko:K02454	ctlj:L1115_00599
ko:K02453	ctlj:L1115_00600
ko:K01262	ctlj:L1115_00602
ko:K03572	ctlj:L1115_00603
ko:K01867	ctlj:L1115_00613
ko:K03702	ctlj:L1115_00614
ko:K01689	ctlj:L1115_00615
ko:K07315	ctlj:L1115_00616
ko:K00240	ctlj:L1115_00619
ko:K00239	ctlj:L1115_00620
ko:K00241	ctlj:L1115_00621
ko:K03306	ctlj:L1115_00732
ko:K00927	ctlj:L1115_00733
ko:K10773	ctlj:L1115_00737
ko:K03650	ctlj:L1115_00738
ko:K01613	ctlj:L1115_00739
ko:K03070	ctlj:L1115_00741
ko:K03977	ctlj:L1115_00743
ko:K00970	ctlj:L1115_00744
ko:K03544	ctlj:L1115_00745
ko:K01358	ctlj:L1115_00746
ko:K03545	ctlj:L1115_00747
ko:K03569	ctlj:L1115_00750
ko:K01596	ctlj:L1115_00751
ko:K00057	ctlj:L1115_00755
ko:K00972	ctlj:L1115_00756
ko:K02412	ctlj:L1115_00758
ko:K02411	ctlj:L1115_00759
ko:K02409	ctlj:L1115_00760
ko:K13819	ctlj:L1115_00761
ko:K04487	ctlj:L1115_00762
ko:K01834	ctlj:L1115_00763
ko:K06178	ctlj:L1115_00764
ko:K03524	ctlj:L1115_00766
ko:K05837	ctlj:L1115_00767
ko:K01875	ctlj:L1115_00770
ko:K11752	ctlj:L1115_00771
ko:K14652	ctlj:L1115_00772
ko:K00794	ctlj:L1115_00773
ko:K03310	ctlj:L1115_00776
ko:K06910	ctlj:L1115_00777
ko:K07117	ctlj:L1115_00778
ko:K03466	ctlj:L1115_00780
ko:K03703	ctlj:L1115_00839
ko:K03555	ctlj:L1115_00840
ko:K14164	ctlj:L1115_00844
ko:K00995	ctlj:L1115_00845
ko:K00703	ctlj:L1115_00846
ko:K02897	ctlj:L1115_00848
ko:K01056	ctlj:L1115_00849
ko:K02990	ctlj:L1115_00850
ko:K02963	ctlj:L1115_00851
ko:K02939	ctlj:L1115_00852
ko:K00919	ctlj:L1115_00853
ko:K01408	ctlj:L1115_00856
ko:K00630	ctlj:L1115_00857
ko:K08301	ctlj:L1115_00858
ko:K02911	ctlj:L1115_00861
ko:K03621	ctlj:L1115_00862
ko:K03431	ctlj:L1115_00867
ko:K00820	ctlj:L1115_00868
ko:K03834	ctlj:L1115_00869
