ko:K01867	ctlx:L1224_00613
ko:K03702	ctlx:L1224_00614
ko:K01689	ctlx:L1224_00615
ko:K00240	ctlx:L1224_00619
ko:K00239	ctlx:L1224_00620
ko:K03424	ctlx:L1224_00623
ko:K03562	ctlx:L1224_00625
ko:K03641	ctlx:L1224_00628
ko:K03640	ctlx:L1224_00629
ko:K03648	ctlx:L1224_00638
ko:K03657	ctlx:L1224_00639
ko:K03092	ctlx:L1224_00640
ko:K06137	ctlx:L1224_00641
ko:K13941	ctlx:L1224_00644
ko:K01633	ctlx:L1224_00645
ko:K03086	ctlx:L1224_00646
ko:K02968	ctlx:L1224_00648
ko:K03980	ctlx:L1224_00655
ko:K01151	ctlx:L1224_00656
ko:K02986	ctlx:L1224_00657
ko:K07146	ctlx:L1224_00658
ko:K13789	ctlx:L1224_00659
ko:K01698	ctlx:L1224_00665
ko:K00346	ctlx:L1224_00666
ko:K03582	ctlx:L1224_00672
ko:K03583	ctlx:L1224_00673
ko:K03168	ctlx:L1224_00676
ko:K02221	ctlx:L1224_00678
ko:K03581	ctlx:L1224_00685
ko:K06861	ctlx:L1224_00687
ko:K01627	ctlx:L1224_00689
ko:K06180	ctlx:L1224_00693
ko:K06960	ctlx:L1224_00694
ko:K02469	ctlx:L1224_00695
ko:K02470	ctlx:L1224_00696
ko:K02492	ctlx:L1224_00697
ko:K03224	ctlx:L1224_00704
ko:K02417	ctlx:L1224_00707
ko:K03219	ctlx:L1224_00709
ko:K02838	ctlx:L1224_00715
ko:K09903	ctlx:L1224_00716
ko:K02357	ctlx:L1224_00717
ko:K02967	ctlx:L1224_00718
ko:K03162	ctlx:L1224_00721
ko:K09013	ctlx:L1224_00725
ko:K09015	ctlx:L1224_00726
ko:K11717	ctlx:L1224_00727
ko:K07220	ctlx:L1224_00731
ko:K03306	ctlx:L1224_00732
ko:K00927	ctlx:L1224_00733
ko:K10773	ctlx:L1224_00737
ko:K03650	ctlx:L1224_00738
ko:K01613	ctlx:L1224_00739
ko:K03070	ctlx:L1224_00741
ko:K03977	ctlx:L1224_00743
ko:K02028	ctlx:L1224_00132
ko:K15035	ctlx:L1224_00020
ko:K14222	ctlx:L1224_00804
ko:K01985	ctlx:L1224_00784
ko:K01985	ctlx:L1224_00797
ko:K01980	ctlx:L1224_00783
ko:K01980	ctlx:L1224_00796
ko:K17103	ctlx:L1224_00880
ko:K14228	ctlx:L1224_00486
ko:K14233	ctlx:L1224_00522
ko:K14219	ctlx:L1224_00633
ko:K04084	ctlx:L1224_00624
ko:K14236	ctlx:L1224_00145
ko:K14227	ctlx:L1224_00180
ko:K14218	ctlx:L1224_00669
ko:K14230	ctlx:L1224_00209
ko:K14230	ctlx:L1224_00336
ko:K14235	ctlx:L1224_00327
ko:K14233	ctlx:L1224_00369
ko:K14231	ctlx:L1224_00437
ko:K14221	ctlx:L1224_00225
ko:K14233	ctlx:L1224_00430
ko:K14228	ctlx:L1224_00530
ko:K14228	ctlx:L1224_00566
ko:K14219	ctlx:L1224_00490
ko:K14219	ctlx:L1224_00690
ko:K14232	ctlx:L1224_00663
ko:K14229	ctlx:L1224_00713
ko:K14224	ctlx:L1224_00714
ko:K14226	ctlx:L1224_00781
ko:K14223	ctlx:L1224_00848
ko:K14218	ctlx:L1224_00181
ko:K14234	ctlx:L1224_00710
ko:K14225	ctlx:L1224_00719
ko:K14228	ctlx:L1224_00494
ko:K14228	ctlx:L1224_00922
ko:K14232	ctlx:L1224_00062
ko:K14237	ctlx:L1224_00226
ko:K14230	ctlx:L1224_00210
ko:K01977	ctlx:L1224_00782
ko:K01977	ctlx:L1224_00795
ko:K14220	ctlx:L1224_00039
ko:K14234	ctlx:L1224_00144
ko:K14234	ctlx:L1224_00329
ko:K14225	ctlx:L1224_00748
ko:K14237	ctlx:L1224_00883
ko:K01840	ctlx:L1224_00300
ko:K06972	ctlx:L1224_00878
ko:K08274	ctlx:L1224_00391
ko:K07081	ctlx:L1224_00446
ko:K03625	ctlx:L1224_00886
ko:K01679	ctlx:L1224_00911
ko:K07125	ctlx:L1224_00332
ko:K01802	ctlx:L1224_00569
ko:K08275	ctlx:L1224_00082
ko:K08719	ctlx:L1224_00754
ko:K01829	ctlx:L1224_00829
ko:K01829	ctlx:L1224_00833
ko:K03309	ctlx:L1224_00416
ko:K07033	ctlx:L1224_00724
ko:K03496	ctlx:L1224_00610
ko:K03497	ctlx:L1224_00728
ko:K03111	ctlx:L1224_00046
ko:K03825	ctlx:L1224_00478
ko:K03496	ctlx:L1224_p7
ko:K02626	ctlx:L1224_00387
ko:K11991	ctlx:L1224_00899
ko:K04771	ctlx:L1224_00877
ko:K19411	ctlx:L1224_00712
ko:K02031	ctlx:L1224_00730
ko:K22100	ctlx:L1224_00337
ko:K12132	ctlx:L1224_00306
ko:K20265	ctlx:L1224_00219
ko:K20074	ctlx:L1224_00264
ko:K11749	ctlx:L1224_00075
ko:K22099	ctlx:L1224_00642
ko:K00526	ctlx:L1224_00882
ko:K02316	ctlx:L1224_00842
ko:K02314	ctlx:L1224_p3
ko:K02335	ctlx:L1224_00518
ko:K01520	ctlx:L1224_00297
ko:K02314	ctlx:L1224_00523
ko:K00287	ctlx:L1224_00643
ko:K03553	ctlx:L1224_00683
ko:K02032	ctlx:L1224_00729
ko:K00525	ctlx:L1224_00881
ko:K02050	ctlx:L1224_00910
ko:K02051	ctlx:L1224_00910
ko:K01534	ctlx:L1224_00768
ko:K16239	ctlx:L1224_00086
