ko:K03633	sei:SPC_0993
ko:K03804	sei:SPC_0994
ko:K03632	sei:SPC_0995
ko:K00813	sei:SPC_0999
ko:K01893	sei:SPC_1001
ko:K01751	sei:SPC_1003
ko:K01759	sei:SPC_2296
ko:K03310	sei:SPC_1005
ko:K00763	sei:SPC_1006
ko:K03703	sei:SPC_1768
ko:K00995	sei:SPC_1769
ko:K07039	sei:SPC_1774
ko:K03834	sei:SPC_1775
ko:K02217	sei:SPC_1777
ko:K00697	sei:SPC_1785
ko:K02403	sei:SPC_1787
ko:K02402	sei:SPC_1788
ko:K02556	sei:SPC_1789
ko:K02557	sei:SPC_1790
ko:K03407	sei:SPC_1791
ko:K03408	sei:SPC_1792
ko:K03412	sei:SPC_1795
ko:K03413	sei:SPC_1796
ko:K03414	sei:SPC_1797
ko:K02401	sei:SPC_1798
ko:K02400	sei:SPC_1799
ko:K03516	sei:SPC_1800
ko:K05515	sei:SPC_1802
ko:K01887	sei:SPC_1803
ko:K07136	sei:SPC_1809
ko:K01876	sei:SPC_1812
ko:K08310	sei:SPC_1813
ko:K01159	sei:SPC_1815
ko:K03550	sei:SPC_1819
ko:K03551	sei:SPC_1820
ko:K09816	sei:SPC_1821
ko:K09817	sei:SPC_1822
ko:K09815	sei:SPC_1823
ko:K02560	sei:SPC_1825
ko:K00873	sei:SPC_1828
ko:K00036	sei:SPC_1830
ko:K03695	sei:SPC_2770
ko:K05810	sei:SPC_2771
ko:K06180	sei:SPC_2772
ko:K05807	sei:SPC_2773
ko:K05809	sei:SPC_2775
ko:K02884	sei:SPC_2784
ko:K06212	sei:SPC_0973
ko:K07058	sei:SPC_4130
ko:K07560	sei:SPC_4131
ko:K02380	sei:SPC_4137
ko:K00127	sei:SPC_4138
ko:K02379	sei:SPC_4141
ko:K01629	sei:SPC_4149
ko:K00848	sei:SPC_4151
ko:K02855	sei:SPC_4152
ko:K02854	sei:SPC_4153
ko:K02856	sei:SPC_4154
ko:K04564	sei:SPC_4162
ko:K07640	sei:SPC_4165
ko:K07662	sei:SPC_4166
ko:K00850	sei:SPC_4169
ko:K02048	sei:SPC_4170
ko:K01521	sei:SPC_4171
ko:K00847	sei:SPC_4173
ko:K07312	sei:SPC_2233
ko:K05846	sei:SPC_2235
ko:K05846	sei:SPC_2237
ko:K03281	sei:SPC_2239
ko:K01935	sei:SPC_2240
ko:K08224	sei:SPC_2243
ko:K04775	sei:SPC_2246
ko:K11742	sei:SPC_2247
ko:K11743	sei:SPC_2248
ko:K00325	sei:SPC_2251
ko:K00324	sei:SPC_2252
ko:K03758	sei:SPC_2254
ko:K07661	sei:SPC_2256
ko:K07639	sei:SPC_2260
ko:K10748	sei:SPC_2261
ko:K01679	sei:SPC_2262
ko:K01676	sei:SPC_2263
ko:K01809	sei:SPC_2264
ko:K03617	sei:SPC_2272
ko:K03616	sei:SPC_2273
ko:K03615	sei:SPC_2274
ko:K03614	sei:SPC_2275
ko:K01284	sei:SPC_2217
ko:K00040	sei:SPC_2221
ko:K08322	sei:SPC_2223
ko:K08323	sei:SPC_2224
ko:K09771	sei:SPC_2225
ko:K07309	sei:SPC_2230
ko:K08191	sei:SPC_3202
ko:K01686	sei:SPC_3203
ko:K00040	sei:SPC_3204
ko:K01812	sei:SPC_3205
ko:K02020	sei:SPC_3210
ko:K02016	sei:SPC_3211
ko:K04653	sei:SPC_3212
ko:K04651	sei:SPC_3213
ko:K06281	sei:SPC_3216
ko:K06282	sei:SPC_3219
ko:K03559	sei:SPC_3228
