ko:K02033	sis:LS215_2861
ko:K02034	sis:LS215_2862
ko:K02031	sis:LS215_2863
ko:K02032	sis:LS215_2864
ko:K00573	sis:LS215_2879
ko:K03707	sis:LS215_2880
ko:K01803	sis:LS215_2885
ko:K01647	sis:LS215_2888
ko:K01720	sis:LS215_2891
ko:K06206	sis:LS215_2903
ko:K04719	sis:LS215_2909
ko:K00382	sis:LS215_2910
ko:K00963	sis:LS215_1018
ko:K00012	sis:LS215_1019
ko:K01114	sis:LS215_1050
ko:K00067	sis:LS215_1051
ko:K00973	sis:LS215_1052
ko:K01710	sis:LS215_1053
ko:K06915	sis:LS215_1958
ko:K01892	sis:LS215_1962
ko:K03433	sis:LS215_1963
ko:K06869	sis:LS215_1967
ko:K03420	sis:LS215_1969
ko:K03627	sis:LS215_1970
ko:K03665	sis:LS215_1971
ko:K07254	sis:LS215_1972
ko:K00558	sis:LS215_1974
ko:K06932	sis:LS215_1991
ko:K09120	sis:LS215_1993
ko:K00952	sis:LS215_1994
ko:K05873	sis:LS215_1996
ko:K04483	sis:LS215_1999
ko:K01754	sis:LS215_2001
ko:K07137	sis:LS215_2004
ko:K01939	sis:LS215_2005
ko:K06863	sis:LS215_2006
ko:K06863	sis:LS215_2007
ko:K01756	sis:LS215_2008
ko:K00946	sis:LS215_2009
ko:K06937	sis:LS215_2010
ko:K02434	sis:LS215_2013
ko:K00761	sis:LS215_2014
ko:K01915	sis:LS215_2914
ko:K01151	sis:LS215_2937
ko:K07743	sis:LS215_2941
ko:K00067	sis:LS215_2942
ko:K00031	sis:LS215_2965
ko:K06920	sis:LS215_0894
ko:K02616	sis:LS215_0904
ko:K01895	sis:LS215_0923
ko:K00261	sis:LS215_0926
ko:K00483	sis:LS215_0936
ko:K01895	sis:LS215_0941
ko:K00626	sis:LS215_0943
ko:K07731	sis:LS215_1858
ko:K03626	sis:LS215_1859
ko:K07577	sis:LS215_1860
ko:K00869	sis:LS215_1862
ko:K00820	sis:LS215_1863
ko:K00973	sis:LS215_1864
ko:K00798	sis:LS215_1867
ko:K04763	sis:LS215_1869
ko:K03500	sis:LS215_1872
ko:K03671	sis:LS215_1875
ko:K01915	sis:LS215_1877
ko:K01495	sis:LS215_1879
ko:K03639	sis:LS215_1881
ko:K01738	sis:LS215_1885
ko:K09157	sis:LS215_1888
ko:K00763	sis:LS215_1890
ko:K02966	sis:LS215_1891
ko:K06875	sis:LS215_1892
ko:K02924	sis:LS215_1893
ko:K02910	sis:LS215_1894
ko:K03264	sis:LS215_1895
ko:K02944	sis:LS215_1896
ko:K04797	sis:LS215_1897
ko:K01443	sis:LS215_2802
ko:K02032	sis:LS215_2803
ko:K02031	sis:LS215_2804
ko:K02034	sis:LS215_2805
ko:K02035	sis:LS215_2806
ko:K02033	sis:LS215_2807
ko:K01912	sis:LS215_2847
ko:K00626	sis:LS215_2849
ko:K01611	sis:LS215_1696
ko:K07034	sis:LS215_2616
ko:K01895	sis:LS215_2617
ko:K01999	sis:LS215_2624
ko:K01995	sis:LS215_2625
ko:K01996	sis:LS215_2626
ko:K01997	sis:LS215_2627
ko:K01998	sis:LS215_2628
ko:K00123	sis:LS215_2641
ko:K02379	sis:LS215_2643
