ko:K01983	hpv:HPV225_0024
ko:K00995	hpv:HPV225_0452
ko:K01714	hpv:HPV225_0455
ko:K00937	hpv:HPV225_0458
ko:K01154	hpv:HPV225_0460
ko:K03427	hpv:HPV225_0461
ko:K08602	hpv:HPV225_0468
ko:K02020	hpv:HPV225_0471
ko:K02018	hpv:HPV225_0472
ko:K06207	hpv:HPV225_0479
ko:K03781	hpv:HPV225_0485
ko:K02902	hpv:HPV225_0490
ko:K15846	hpv:HPV225_0491
ko:K01000	hpv:HPV225_0492
ko:K01925	hpv:HPV225_0493
ko:K07107	hpv:HPV225_0494
ko:K03308	hpv:HPV225_0495
ko:K03308	hpv:HPV225_0496
ko:K02338	hpv:HPV225_0498
ko:K02470	hpv:HPV225_0499
ko:K01265	hpv:HPV225_1336
ko:K03076	hpv:HPV225_1337
ko:K02876	hpv:HPV225_1338
ko:K02988	hpv:HPV225_1339
ko:K02881	hpv:HPV225_1340
ko:K02933	hpv:HPV225_1341
ko:K02994	hpv:HPV225_1342
ko:K02931	hpv:HPV225_1343
ko:K02895	hpv:HPV225_1344
ko:K02874	hpv:HPV225_1345
ko:K02961	hpv:HPV225_1346
ko:K02904	hpv:HPV225_1347
ko:K02878	hpv:HPV225_1348
ko:K02982	hpv:HPV225_1349
ko:K02890	hpv:HPV225_1350
ko:K02965	hpv:HPV225_1351
ko:K02886	hpv:HPV225_1352
ko:K02892	hpv:HPV225_1353
ko:K02926	hpv:HPV225_1354
ko:K02906	hpv:HPV225_1355
ko:K02946	hpv:HPV225_1356
ko:K07133	hpv:HPV225_1357
ko:K03470	hpv:HPV225_1359
ko:K07787	hpv:HPV225_1365
ko:K03686	hpv:HPV225_1368
ko:K00566	hpv:HPV225_1370
ko:K00969	hpv:HPV225_1373
ko:K07722	hpv:HPV225_1374
ko:K03561	hpv:HPV225_1375
ko:K03832	hpv:HPV225_1377
ko:K03284	hpv:HPV225_1382
ko:K00927	hpv:HPV225_1383
ko:K00134	hpv:HPV225_1384
ko:K03648	hpv:HPV225_1385
ko:K00655	hpv:HPV225_1386
ko:K03797	hpv:HPV225_1388
ko:K00215	hpv:HPV225_0505
ko:K01915	hpv:HPV225_0507
ko:K02939	hpv:HPV225_0509
ko:K01419	hpv:HPV225_0510
ko:K03667	hpv:HPV225_0511
ko:K01776	hpv:HPV225_0555
ko:K03628	hpv:HPV225_0556
ko:K02909	hpv:HPV225_0557
ko:K07056	hpv:HPV225_0558
ko:K03218	hpv:HPV225_0559
ko:K00767	hpv:HPV225_1391
ko:K03517	hpv:HPV225_1392
ko:K01613	hpv:HPV225_1393
ko:K03179	hpv:HPV225_1396
ko:K03570	hpv:HPV225_1410
ko:K03569	hpv:HPV225_1411
ko:K03544	hpv:HPV225_1412
ko:K00677	hpv:HPV225_1413
ko:K02372	hpv:HPV225_1414
ko:K13626	hpv:HPV225_1415
ko:K05807	hpv:HPV225_1416
ko:K01338	hpv:HPV225_1417
ko:K01173	hpv:HPV225_1419
ko:K01012	hpv:HPV225_1423
ko:K07058	hpv:HPV225_1424
ko:K09457	hpv:HPV225_1434
ko:K09710	hpv:HPV225_1435
ko:K00791	hpv:HPV225_1436
ko:K00075	hpv:HPV225_1440
ko:K02420	hpv:HPV225_1441
ko:K02412	hpv:HPV225_1442
ko:K01962	hpv:HPV225_0563
ko:K09458	hpv:HPV225_0564
ko:K02078	hpv:HPV225_0566
ko:K02970	hpv:HPV225_0568
ko:K01778	hpv:HPV225_0572
ko:K06942	hpv:HPV225_0575
ko:K01255	hpv:HPV225_0576
ko:K00759	hpv:HPV225_0578
ko:K01808	hpv:HPV225_0580
ko:K03100	hpv:HPV225_0582
ko:K01491	hpv:HPV225_0583
ko:K01465	hpv:HPV225_0587
ko:K02417	hpv:HPV225_0590
ko:K10773	hpv:HPV225_0591
ko:K07082	hpv:HPV225_0594
ko:K00176	hpv:HPV225_0595
ko:K00174	hpv:HPV225_0596
ko:K00175	hpv:HPV225_0597
ko:K00177	hpv:HPV225_0598
ko:K03611	hpv:HPV225_0602
ko:K02406	hpv:HPV225_0610
ko:K01599	hpv:HPV225_0613
ko:K01870	hpv:HPV225_1444
ko:K06941	hpv:HPV225_1448
ko:K06041	hpv:HPV225_1449
ko:K02528	hpv:HPV225_1451
