ko:K07742	sud:ST398NM01_1269
ko:K11936	sud:ST398NM01_2718
ko:K11755	sud:ST398NM01_2723
ko:K02500	sud:ST398NM01_2724
ko:K01814	sud:ST398NM01_2725
ko:K02501	sud:ST398NM01_2726
ko:K01693	sud:ST398NM01_2727
ko:K00817	sud:ST398NM01_2728
ko:K00013	sud:ST398NM01_2729
ko:K00765	sud:ST398NM01_2730
ko:K07146	sud:ST398NM01_2735
ko:K01304	sud:ST398NM01_2736
ko:K03319	sud:ST398NM01_2741
ko:K05786	sud:ST398NM01_2742
ko:K07241	sud:ST398NM01_2744
ko:K03704	sud:ST398NM01_2750
ko:K03501	sud:ST398NM01_2755
ko:K03495	sud:ST398NM01_2756
ko:K03650	sud:ST398NM01_2757
ko:K00134	sud:ST398NM01_1741
ko:K00859	sud:ST398NM01_1742
ko:K07636	sud:ST398NM01_1746
ko:K00031	sud:ST398NM01_1748
ko:K01647	sud:ST398NM01_1749
ko:K00873	sud:ST398NM01_1751
ko:K00850	sud:ST398NM01_1752
ko:K01962	sud:ST398NM01_1753
ko:K01963	sud:ST398NM01_1754
ko:K02337	sud:ST398NM01_1756
ko:K00259	sud:ST398NM01_1762
ko:K00925	sud:ST398NM01_1764
ko:K11065	sud:ST398NM01_1766
ko:K07090	sud:ST398NM01_1767
ko:K03151	sud:ST398NM01_1768
ko:K04487	sud:ST398NM01_1769
ko:K11102	sud:ST398NM01_2437
ko:K07696	sud:ST398NM01_2444
ko:K00373	sud:ST398NM01_2448
ko:K00371	sud:ST398NM01_2449
ko:K00370	sud:ST398NM01_2450
ko:K00363	sud:ST398NM01_2452
ko:K00362	sud:ST398NM01_2453
ko:K18935	sud:ST398NM01_2229
ko:K01951	sud:ST398NM01_0468
ko:K08987	sud:ST398NM01_0488
ko:K03427	sud:ST398NM01_0499
ko:K01154	sud:ST398NM01_0500
ko:K05577	sud:ST398NM01_0518
ko:K09822	sud:ST398NM01_0519
ko:K03928	sud:ST398NM01_0523
ko:K03308	sud:ST398NM01_0524
ko:K02071	sud:ST398NM01_0527
