ko:K02446	aah:CF65_01499
ko:K00640	aah:CF65_01502
ko:K00057	aah:CF65_01503
ko:K03071	aah:CF65_01506
ko:K07792	aah:CF65_01508
ko:K04761	aah:CF65_01513
ko:K03745	aah:CF65_01515
ko:K03772	aah:CF65_01517
ko:K07236	aah:CF65_01522
ko:K07237	aah:CF65_01523
ko:K10010	aah:CF65_01524
ko:K10009	aah:CF65_01525
ko:K02424	aah:CF65_01526
ko:K09471	aah:CF65_01528
ko:K07001	aah:CF65_01530
ko:K07106	aah:CF65_01537
ko:K09001	aah:CF65_01538
ko:K04042	aah:CF65_01539
ko:K11534	aah:CF65_01546
ko:K01619	aah:CF65_01547
ko:K05595	aah:CF65_01554
ko:K06158	aah:CF65_01555
ko:K06158	aah:CF65_01556
ko:K03565	aah:CF65_01559
ko:K09022	aah:CF65_01561
ko:K00615	aah:CF65_01563
ko:K00616	aah:CF65_01564
ko:K07340	aah:CF65_02590
ko:K00428	aah:CF65_02595
ko:K03684	aah:CF65_02597
ko:K01897	aah:CF65_02598
ko:K07285	aah:CF65_02599
ko:K01792	aah:CF65_02602
ko:K05838	aah:CF65_02603
ko:K00384	aah:CF65_02604
ko:K16013	aah:CF65_02606
ko:K16012	aah:CF65_02609
ko:K10805	aah:CF65_02610
ko:K00884	aah:CF65_02616
ko:K01497	aah:CF65_02619
ko:K01142	aah:CF65_02628
ko:K12992	aah:CF65_02632
ko:K12997	aah:CF65_02634
ko:K09153	aah:CF65_02635
ko:K12992	aah:CF65_02640
ko:K01790	aah:CF65_02644
ko:K00067	aah:CF65_02645
ko:K00973	aah:CF65_02646
ko:K08305	aah:CF65_02648
ko:K07270	aah:CF65_02654
ko:K06918	aah:CF65_01575
ko:K08990	aah:CF65_01577
ko:K03721	aah:CF65_01579
ko:K03666	aah:CF65_01584
ko:K00791	aah:CF65_01585
ko:K03572	aah:CF65_01586
ko:K01448	aah:CF65_01588
ko:K06925	aah:CF65_01589
ko:K13288	aah:CF65_01597
ko:K06949	aah:CF65_01598
ko:K02784	aah:CF65_01599
ko:K08483	aah:CF65_01600
ko:K01414	aah:CF65_01603
ko:K09790	aah:CF65_01604
ko:K02035	aah:CF65_01607
ko:K02619	aah:CF65_01608
ko:K01665	aah:CF65_01609
ko:K01664	aah:CF65_01611
ko:K00018	aah:CF65_01614
ko:K09808	aah:CF65_01615
ko:K09810	aah:CF65_01616
ko:K09808	aah:CF65_01618
ko:K01626	aah:CF65_01619
ko:K01775	aah:CF65_01623
ko:K01810	aah:CF65_01624
ko:K00794	aah:CF65_01625
ko:K03625	aah:CF65_01626
ko:K00946	aah:CF65_01628
ko:K01095	aah:CF65_01629
ko:K00215	aah:CF65_01631
ko:K11107	aah:CF65_01633
ko:K03657	aah:CF65_02666
ko:K03299	aah:CF65_02668
ko:K00851	aah:CF65_02671
ko:K06145	aah:CF65_02673
ko:K02379	aah:CF65_02674
ko:K00123	aah:CF65_02675
ko:K00123	aah:CF65_02676
