ko:K02914	bss:BSUW23_20455
ko:K03282	bss:BSUW23_17905
ko:K00763	bss:BSUW23_15440
ko:K01778	bss:BSUW23_15685
ko:K03885	bss:BSUW23_15700
ko:K00872	bss:BSUW23_15720
ko:K01733	bss:BSUW23_15725
ko:K00003	bss:BSUW23_15730
ko:K09014	bss:BSUW23_15960
ko:K11717	bss:BSUW23_15970
ko:K09015	bss:BSUW23_15975
ko:K09013	bss:BSUW23_15980
ko:K02073	bss:BSUW23_16000
ko:K02072	bss:BSUW23_16005
ko:K02071	bss:BSUW23_16010
ko:K02437	bss:BSUW23_16040
ko:K07516	bss:BSUW23_16060
ko:K11622	bss:BSUW23_16200
ko:K02013	bss:BSUW23_16230
ko:K02015	bss:BSUW23_16235
ko:K02016	bss:BSUW23_16240
ko:K02003	bss:BSUW23_16295
ko:K02013	bss:BSUW23_16305
ko:K02015	bss:BSUW23_16310
ko:K02015	bss:BSUW23_16315
ko:K02016	bss:BSUW23_16320
ko:K03758	bss:BSUW23_16330
ko:K07038	bss:BSUW23_16340
ko:K02020	bss:BSUW23_16355
ko:K02018	bss:BSUW23_16360
ko:K03664	bss:BSUW23_16470
ko:K12573	bss:BSUW23_16475
ko:K02768	bss:BSUW23_06095
ko:K02769	bss:BSUW23_06095
ko:K02770	bss:BSUW23_06095
ko:K00563	bss:BSUW23_19350
ko:K01745	bss:BSUW23_19635
ko:K01712	bss:BSUW23_19640
ko:K01468	bss:BSUW23_19645
ko:K00756	bss:BSUW23_19660
ko:K11535	bss:BSUW23_19665
ko:K04023	bss:BSUW23_19685
ko:K01442	bss:BSUW23_19725
ko:K04079	bss:BSUW23_19870
ko:K07148	bss:BSUW23_19915
ko:K00865	bss:BSUW23_19965
ko:K11476	bss:BSUW23_19970
ko:K03387	bss:BSUW23_19995
ko:K01223	bss:BSUW23_20005
ko:K04041	bss:BSUW23_20025
ko:K00783	bss:BSUW23_20060
ko:K03449	bss:BSUW23_20200
ko:K02939	bss:BSUW23_20210
ko:K08224	bss:BSUW23_20280
ko:K06888	bss:BSUW23_20330
ko:K08369	bss:BSUW23_20340
ko:K01924	bss:BSUW23_14440
ko:K03466	bss:BSUW23_14445
ko:K06878	bss:BSUW23_14450
ko:K03439	bss:BSUW23_14490
ko:K01975	bss:BSUW23_14520
ko:K01738	bss:BSUW23_14525
ko:K06901	bss:BSUW23_14535
ko:K01012	bss:BSUW23_14630
ko:K01935	bss:BSUW23_14635
ko:K02529	bss:BSUW23_14665
ko:K07406	bss:BSUW23_14685
ko:K01869	bss:BSUW23_14695
ko:K07139	bss:BSUW23_14780
ko:K00373	bss:BSUW23_18410
ko:K00371	bss:BSUW23_18415
ko:K00370	bss:BSUW23_18420
ko:K02575	bss:BSUW23_18440
ko:K01887	bss:BSUW23_18445
ko:K02372	bss:BSUW23_17910
ko:K02392	bss:BSUW23_17920
ko:K02392	bss:BSUW23_17925
ko:K03569	bss:BSUW23_17930
ko:K06283	bss:BSUW23_17935
ko:K03320	bss:BSUW23_17980
ko:K04751	bss:BSUW23_17985
ko:K06386	bss:BSUW23_18000
ko:K03823	bss:BSUW23_18005
ko:K06131	bss:BSUW23_18025
ko:K07118	bss:BSUW23_18040
ko:K01428	bss:BSUW23_18050
ko:K01429	bss:BSUW23_18055
ko:K01430	bss:BSUW23_18060
ko:K02114	bss:BSUW23_18155
ko:K02112	bss:BSUW23_18160
ko:K03639	bss:BSUW23_18105
ko:K02379	bss:BSUW23_18110
ko:K06381	bss:BSUW23_18130
ko:K00790	bss:BSUW23_18135
ko:K02115	bss:BSUW23_18165
ko:K02111	bss:BSUW23_18170
ko:K02113	bss:BSUW23_18175
ko:K02109	bss:BSUW23_18180
ko:K02110	bss:BSUW23_18185
ko:K02108	bss:BSUW23_18190
ko:K00761	bss:BSUW23_18205
ko:K00600	bss:BSUW23_18210
ko:K01808	bss:BSUW23_18220
ko:K07566	bss:BSUW23_18240
ko:K06387	bss:BSUW23_18250
ko:K02493	bss:BSUW23_18265
ko:K02835	bss:BSUW23_18270
ko:K07088	bss:BSUW23_18285
ko:K02909	bss:BSUW23_18300
ko:K03628	bss:BSUW23_18305
ko:K00790	bss:BSUW23_18320
ko:K01624	bss:BSUW23_18335
ko:K02490	bss:BSUW23_18340
ko:K01937	bss:BSUW23_18350
ko:K06131	bss:BSUW23_18370
ko:K06131	bss:BSUW23_18395
ko:K00797	bss:BSUW23_18520
ko:K01821	bss:BSUW23_18545
ko:K01868	bss:BSUW23_18555
ko:K06885	bss:BSUW23_18570
ko:K03652	bss:BSUW23_19150
ko:K03781	bss:BSUW23_19155
ko:K03740	bss:BSUW23_19105
ko:K00826	bss:BSUW23_19115
ko:K02759	bss:BSUW23_19125
ko:K02761	bss:BSUW23_19130
ko:K02760	bss:BSUW23_19135
ko:K03088	bss:BSUW23_19190
ko:K00426	bss:BSUW23_19215
ko:K00425	bss:BSUW23_19220
ko:K07238	bss:BSUW23_19255
ko:K03781	bss:BSUW23_19370
ko:K03300	bss:BSUW23_19375
ko:K02016	bss:BSUW23_19765
ko:K06606	bss:BSUW23_19800
ko:K06605	bss:BSUW23_19805
ko:K03335	bss:BSUW23_19820
ko:K03336	bss:BSUW23_19825
ko:K03928	bss:BSUW23_16480
ko:K03075	bss:BSUW23_16485
ko:K05846	bss:BSUW23_16565
ko:K05845	bss:BSUW23_16570
ko:K05846	bss:BSUW23_16575
ko:K05847	bss:BSUW23_16580
ko:K05846	bss:BSUW23_16605
ko:K05845	bss:BSUW23_16610
ko:K05846	bss:BSUW23_16615
ko:K05847	bss:BSUW23_16620
ko:K02396	bss:BSUW23_17360
ko:K02398	bss:BSUW23_17370
ko:K01689	bss:BSUW23_16650
ko:K01803	bss:BSUW23_16660
ko:K00927	bss:BSUW23_16665
ko:K00782	bss:BSUW23_16710
ko:K07693	bss:BSUW23_16735
ko:K07778	bss:BSUW23_16740
ko:K01224	bss:BSUW23_16765
ko:K12308	bss:BSUW23_16775
ko:K02529	bss:BSUW23_16795
ko:K03303	bss:BSUW23_16805
ko:K03092	bss:BSUW23_16810
ko:K13727	bss:BSUW23_16910
ko:K06958	bss:BSUW23_17040
ko:K00384	bss:BSUW23_17050
ko:K11755	bss:BSUW23_17085
ko:K02500	bss:BSUW23_17090
ko:K01814	bss:BSUW23_17095
ko:K02501	bss:BSUW23_17100
ko:K01693	bss:BSUW23_17105
ko:K00013	bss:BSUW23_17110
ko:K00765	bss:BSUW23_17115
ko:K02502	bss:BSUW23_17120
ko:K06019	bss:BSUW23_17140
ko:K13292	bss:BSUW23_17150
ko:K02397	bss:BSUW23_17355
ko:K06372	bss:BSUW23_12180
ko:K03338	bss:BSUW23_19830
ko:K03337	bss:BSUW23_19835
ko:K00140	bss:BSUW23_19840
ko:K02761	bss:BSUW23_19015
ko:K01866	bss:BSUW23_19055
ko:K02548	bss:BSUW23_19075
ko:K03367	bss:BSUW23_19090
ko:K03739	bss:BSUW23_19095
ko:K00019	bss:BSUW23_19325
ko:K01029	bss:BSUW23_19330
ko:K01028	bss:BSUW23_19335
ko:K07777	bss:BSUW23_17405
ko:K07127	bss:BSUW23_15830
ko:K07141	bss:BSUW23_15860
