ko:K02956	baml:BAM5036_1589
ko:K00962	baml:BAM5036_1590
ko:K06410	baml:BAM5036_1594
ko:K06411	baml:BAM5036_1595
ko:K00133	baml:BAM5036_1596
ko:K00928	baml:BAM5036_1597
ko:K01714	baml:BAM5036_1598
ko:K03466	baml:BAM5036_1602
ko:K03710	baml:BAM5036_1603
ko:K08221	baml:BAM5036_1604
ko:K00995	baml:BAM5036_1613
ko:K09769	baml:BAM5036_1618
ko:K06416	baml:BAM5036_1619
ko:K00060	baml:BAM5036_1620
ko:K06168	baml:BAM5036_1622
ko:K03091	baml:BAM5036_2328
ko:K01779	baml:BAM5036_2330
ko:K13256	baml:BAM5036_2344
ko:K07148	baml:BAM5036_2348
ko:K01809	baml:BAM5036_2358
ko:K16785	baml:BAM5036_1242
ko:K02768	baml:BAM5036_2359
ko:K02769	baml:BAM5036_2359
ko:K02770	baml:BAM5036_2359
ko:K08224	baml:BAM5036_2364
ko:K00123	baml:BAM5036_2372
ko:K00782	baml:BAM5036_3060
ko:K05825	baml:BAM5036_3063
ko:K03303	baml:BAM5036_3065
ko:K03092	baml:BAM5036_3066
ko:K13727	baml:BAM5036_3088
ko:K01193	baml:BAM5036_3094
ko:K02532	baml:BAM5036_3095
ko:K03484	baml:BAM5036_3096
ko:K01358	baml:BAM5036_3097
ko:K16786	baml:BAM5036_1243
ko:K16787	baml:BAM5036_1243
ko:K06328	baml:BAM5036_1624
ko:K03555	baml:BAM5036_1625
ko:K03572	baml:BAM5036_1626
ko:K15337	baml:BAM5036_1636
ko:K15311	baml:BAM5036_1637
ko:K15313	baml:BAM5036_1639
ko:K00791	baml:BAM5036_1657
ko:K03666	baml:BAM5036_1658
ko:K01448	baml:BAM5036_1665
ko:K06413	baml:BAM5036_1666
ko:K03665	baml:BAM5036_1667
ko:K01915	baml:BAM5036_1670
ko:K03624	baml:BAM5036_2382
ko:K00876	baml:BAM5036_2384
ko:K08303	baml:BAM5036_2385
ko:K08303	baml:BAM5036_2386
ko:K07082	baml:BAM5036_2388
ko:K07447	baml:BAM5036_2390
ko:K01872	baml:BAM5036_2392
ko:K10039	baml:BAM5036_2395
ko:K10040	baml:BAM5036_2396
ko:K03581	baml:BAM5036_2400
ko:K00566	baml:BAM5036_2402
ko:K04487	baml:BAM5036_2403
ko:K07478	baml:BAM5036_2405
ko:K01876	baml:BAM5036_2407
ko:K01892	baml:BAM5036_2408
ko:K01448	baml:BAM5036_2410
ko:K07560	baml:BAM5036_2411
ko:K00759	baml:BAM5036_2413
ko:K07462	baml:BAM5036_2414
ko:K07228	baml:BAM5036_2416
