ko:K07007	eln:NRG857_17325
ko:K06144	eln:NRG857_17335
ko:K03305	eln:NRG857_17345
ko:K15984	eln:NRG857_17350
ko:K01414	eln:NRG857_17355
ko:K07115	eln:NRG857_17360
ko:K07285	eln:NRG857_17375
ko:K07225	eln:NRG857_17385
ko:K02016	eln:NRG857_17395
ko:K02015	eln:NRG857_17415
ko:K02013	eln:NRG857_17420
ko:K07726	eln:NRG857_17700
ko:K03704	eln:NRG857_17705
ko:K01879	eln:NRG857_17715
ko:K01878	eln:NRG857_17720
ko:K01805	eln:NRG857_17750
ko:K10543	eln:NRG857_17755
ko:K10545	eln:NRG857_17760
ko:K02529	eln:NRG857_17770
ko:K00835	eln:NRG857_17785
ko:K08092	eln:NRG857_17800
ko:K00880	eln:NRG857_17830
ko:K00138	eln:NRG857_17850
ko:K13954	eln:NRG857_17860
ko:K03833	eln:NRG857_17865
ko:K01042	eln:NRG857_17870
ko:K00009	eln:NRG857_17895
ko:K02562	eln:NRG857_17900
ko:K14762	eln:NRG857_17910
ko:K00427	eln:NRG857_17925
ko:K14348	eln:NRG857_17930
ko:K03216	eln:NRG857_17940
ko:K01624	eln:NRG857_18190
ko:K01811	eln:NRG857_18215
ko:K02073	eln:NRG857_18245
ko:K06901	eln:NRG857_18265
ko:K01486	eln:NRG857_18270
ko:K07783	eln:NRG857_18280
ko:K01653	eln:NRG857_18305
ko:K01652	eln:NRG857_18310
ko:K06871	eln:NRG857_18320
ko:K07085	eln:NRG857_18350
ko:K04081	eln:NRG857_18360
ko:K04080	eln:NRG857_18365
ko:K01684	eln:NRG857_18390
ko:K01631	eln:NRG857_18395
ko:K00883	eln:NRG857_18400
ko:K02470	eln:NRG857_18425
ko:K03629	eln:NRG857_18430
ko:K02338	eln:NRG857_18435
ko:K02313	eln:NRG857_18440
ko:K02914	eln:NRG857_18445
ko:K09897	eln:NRG857_18710
ko:K07391	eln:NRG857_18715
ko:K01652	eln:NRG857_18720
ko:K11258	eln:NRG857_18725
ko:K00826	eln:NRG857_18730
ko:K01687	eln:NRG857_18735
ko:K01754	eln:NRG857_18740
ko:K02521	eln:NRG857_18745
ko:K00053	eln:NRG857_18750
ko:K03656	eln:NRG857_18760
ko:K01524	eln:NRG857_18765
ko:K03732	eln:NRG857_18770
ko:K03671	eln:NRG857_18775
ko:K03628	eln:NRG857_18785
ko:K05790	eln:NRG857_18800
ko:K02472	eln:NRG857_18810
ko:K00973	eln:NRG857_18820
ko:K02805	eln:NRG857_18830
ko:K12582	eln:NRG857_18840
ko:K02853	eln:NRG857_18845
ko:K06871	eln:NRG857_18860
ko:K02498	eln:NRG857_18870
ko:K02496	eln:NRG857_18875
ko:K01749	eln:NRG857_18885
ko:K05851	eln:NRG857_18890
ko:K06202	eln:NRG857_18895
ko:K01778	eln:NRG857_18905
ko:K09921	eln:NRG857_18910
ko:K03733	eln:NRG857_18915
ko:K05368	eln:NRG857_19190
ko:K01825	eln:NRG857_19200
ko:K03753	eln:NRG857_19225
ko:K03752	eln:NRG857_19230
ko:K09896	eln:NRG857_19235
ko:K03673	eln:NRG857_19245
ko:K03978	eln:NRG857_19270
ko:K09894	eln:NRG857_19275
ko:K07712	eln:NRG857_19290
ko:K07708	eln:NRG857_19295
ko:K01915	eln:NRG857_19300
ko:K06207	eln:NRG857_19305
ko:K08318	eln:NRG857_19350
ko:K07058	eln:NRG857_19385
ko:K07560	eln:NRG857_19390
ko:K02380	eln:NRG857_19425
ko:K00297	eln:NRG857_19695
ko:K03782	eln:NRG857_19700
ko:K09974	eln:NRG857_19710
ko:K00005	eln:NRG857_19715
ko:K08483	eln:NRG857_19725
ko:K11189	eln:NRG857_19725
ko:K11201	eln:NRG857_19725
ko:K11203	eln:NRG857_19730
ko:K11202	eln:NRG857_19735
ko:K00656	eln:NRG857_19740
ko:K04069	eln:NRG857_19745
ko:K11202	eln:NRG857_19750
ko:K01595	eln:NRG857_19765
ko:K01438	eln:NRG857_19770
ko:K00145	eln:NRG857_19775
ko:K00930	eln:NRG857_19780
ko:K01755	eln:NRG857_19785
ko:K04761	eln:NRG857_19800
ko:K00322	eln:NRG857_19805
ko:K01776	eln:NRG857_19840
ko:K00075	eln:NRG857_19845
ko:K03524	eln:NRG857_19850
ko:K02358	eln:NRG857_19860
ko:K03073	eln:NRG857_19865
ko:K02601	eln:NRG857_19870
ko:K02867	eln:NRG857_19875
ko:K02863	eln:NRG857_19880
ko:K02864	eln:NRG857_19885
ko:K02935	eln:NRG857_19890
ko:K03043	eln:NRG857_19895
ko:K03046	eln:NRG857_19900
ko:K03150	eln:NRG857_19905
ko:K03149	eln:NRG857_19910
ko:K03154	eln:NRG857_19915
ko:K02024	eln:NRG857_20175
ko:K05775	eln:NRG857_20180
ko:K03181	eln:NRG857_20185
ko:K03179	eln:NRG857_20190
ko:K00631	eln:NRG857_20195
ko:K00901	eln:NRG857_20200
ko:K01356	eln:NRG857_20205
ko:K03327	eln:NRG857_20210
ko:K14219	eln:NRG857_t22289
ko:K14232	eln:NRG857_t22411
ko:K09790	eln:NRG857_02215
ko:K00759	eln:NRG857_02220
ko:K02343	eln:NRG857_02225
ko:K09747	eln:NRG857_02230
ko:K06187	eln:NRG857_02235
ko:K04079	eln:NRG857_02240
ko:K01772	eln:NRG857_02250
ko:K00892	eln:NRG857_02260
ko:K08223	eln:NRG857_02270
ko:K09973	eln:NRG857_02295
ko:K01425	eln:NRG857_02315
ko:K07340	eln:NRG857_02335
ko:K02068	eln:NRG857_02345
ko:K02069	eln:NRG857_02350
ko:K05838	eln:NRG857_02355
ko:K10804	eln:NRG857_02365
ko:K02003	eln:NRG857_02370
ko:K06917	eln:NRG857_02380
ko:K10972	eln:NRG857_02385
ko:K01483	eln:NRG857_02390
ko:K10973	eln:NRG857_02395
ko:K01608	eln:NRG857_02400
ko:K10975	eln:NRG857_02415
ko:K03804	eln:NRG857_04210
ko:K03632	eln:NRG857_04215
ko:K01893	eln:NRG857_04250
ko:K00763	eln:NRG857_04255
ko:K01256	eln:NRG857_04260
ko:K15554	eln:NRG857_04270
ko:K15553	eln:NRG857_04280
ko:K00299	eln:NRG857_04285
ko:K07140	eln:NRG857_04300
ko:K12297	eln:NRG857_04305
ko:K15738	eln:NRG857_04310
ko:K03808	eln:NRG857_04315
ko:K06192	eln:NRG857_04320
ko:K09857	eln:NRG857_04325
ko:K03812	eln:NRG857_04330
ko:K01716	eln:NRG857_04335
ko:K04770	eln:NRG857_04340
ko:K09911	eln:NRG857_04345
ko:K03658	eln:NRG857_04375
ko:K01734	eln:NRG857_04380
ko:K06929	eln:NRG857_04390
ko:K11940	eln:NRG857_04395
ko:K06969	eln:NRG857_04400
ko:K01512	eln:NRG857_04405
ko:K03620	eln:NRG857_04430
ko:K03619	eln:NRG857_04440
ko:K03618	eln:NRG857_04445
ko:K00425	eln:NRG857_04450
ko:K00426	eln:NRG857_04455
ko:K01093	eln:NRG857_04465
ko:K03704	eln:NRG857_04470
ko:K03704	eln:NRG857_04475
ko:K14051	eln:NRG857_06610
ko:K01147	eln:NRG857_06615
ko:K00208	eln:NRG857_06625
ko:K07552	eln:NRG857_06650
