ko:K00929	tmw:THMA_1796
ko:K00929	tmw:THMA_1798
ko:K00176	tmw:THMA_1800
ko:K00174	tmw:THMA_1801
ko:K00175	tmw:THMA_1802
ko:K00177	tmw:THMA_1803
ko:K03702	tmw:THMA_1805
ko:K00615	tmw:THMA_1806
ko:K02356	tmw:THMA_1807
ko:K03625	tmw:THMA_1809
ko:K01938	tmw:THMA_1810
ko:K01491	tmw:THMA_1811
ko:K03601	tmw:THMA_1812
ko:K03602	tmw:THMA_1813
ko:K01662	tmw:THMA_1814
ko:K07030	tmw:THMA_1816
ko:K15635	tmw:THMA_1818
ko:K02238	tmw:THMA_1819
ko:K03711	tmw:THMA_1820
ko:K02600	tmw:THMA_1821
ko:K09748	tmw:THMA_1822
ko:K01940	tmw:THMA_1824
ko:K01755	tmw:THMA_1825
ko:K00145	tmw:THMA_1826
ko:K00620	tmw:THMA_1827
ko:K00930	tmw:THMA_1828
ko:K02956	tmw:THMA_1369
ko:K00962	tmw:THMA_1370
ko:K00088	tmw:THMA_1372
ko:K09698	tmw:THMA_1376
ko:K07053	tmw:THMA_1377
ko:K03803	tmw:THMA_1381
ko:K14415	tmw:THMA_1382
ko:K01870	tmw:THMA_1386
ko:K02669	tmw:THMA_1387
ko:K02835	tmw:THMA_1388
ko:K02387	tmw:THMA_1389
ko:K02388	tmw:THMA_1390
ko:K02408	tmw:THMA_1391
ko:K09143	tmw:THMA_1392
ko:K09013	tmw:THMA_1394
ko:K09014	tmw:THMA_1395
ko:K11717	tmw:THMA_1397
ko:K04488	tmw:THMA_1398
ko:K11069	tmw:THMA_1402
ko:K11072	tmw:THMA_1403
ko:K11071	tmw:THMA_1404
ko:K11070	tmw:THMA_1405
ko:K01875	tmw:THMA_1406
ko:K09761	tmw:THMA_1407
ko:K00919	tmw:THMA_1410
ko:K00759	tmw:THMA_1411
ko:K01810	tmw:THMA_1412
ko:K00859	tmw:THMA_1414
ko:K07027	tmw:THMA_1419
ko:K03696	tmw:THMA_1420
ko:K01980	tmw:THMA_0178
ko:K19142	tmw:THMA_1836
ko:K19141	tmw:THMA_1837
ko:K09000	tmw:THMA_1838
ko:K09127	tmw:THMA_1839
ko:K19076	tmw:THMA_1840
ko:K07061	tmw:THMA_1841
ko:K09951	tmw:THMA_1842
ko:K15342	tmw:THMA_1843
ko:K07464	tmw:THMA_1844
ko:K07012	tmw:THMA_1845
