ko:K03650	bcq:BCQ_5334
ko:K06346	bcq:BCQ_5335
ko:K03217	bcq:BCQ_5336
ko:K03536	bcq:BCQ_5337
ko:K02914	bcq:BCQ_5338
ko:K02338	bcq:BCQ_PI001
ko:K03305	bcq:BCQ_0679
ko:K02016	bcq:BCQ_0680
ko:K02015	bcq:BCQ_0681
ko:K02015	bcq:BCQ_0682
ko:K02013	bcq:BCQ_0683
ko:K00639	bcq:BCQ_0685
ko:K00762	bcq:BCQ_0687
ko:K06131	bcq:BCQ_0691
ko:K03486	bcq:BCQ_0696
ko:K02818	bcq:BCQ_0699
ko:K03529	bcq:BCQ_3633
ko:K03685	bcq:BCQ_3634
ko:K02078	bcq:BCQ_3635
ko:K00059	bcq:BCQ_3636
ko:K00645	bcq:BCQ_3637
ko:K03621	bcq:BCQ_3638
ko:K03655	bcq:BCQ_3640
ko:K07030	bcq:BCQ_3641
ko:K02902	bcq:BCQ_3643
ko:K01783	bcq:BCQ_3645
ko:K06949	bcq:BCQ_3646
ko:K06941	bcq:BCQ_3649
ko:K03500	bcq:BCQ_3650
ko:K00604	bcq:BCQ_3651
ko:K01462	bcq:BCQ_3652
ko:K04066	bcq:BCQ_3653
ko:K03210	bcq:BCQ_4202
ko:K02819	bcq:BCQ_0699
ko:K01226	bcq:BCQ_0700
ko:K03310	bcq:BCQ_0706
ko:K02035	bcq:BCQ_0724
ko:K02034	bcq:BCQ_0725
ko:K02033	bcq:BCQ_0726
ko:K02032	bcq:BCQ_0727
ko:K02031	bcq:BCQ_0728
ko:K02445	bcq:BCQ_0729
ko:K02529	bcq:BCQ_0732
ko:K00852	bcq:BCQ_0733
ko:K00773	bcq:BCQ_4203
ko:K07568	bcq:BCQ_4204
ko:K03551	bcq:BCQ_4206
ko:K03550	bcq:BCQ_4207
ko:K02016	bcq:BCQ_4208
ko:K03517	bcq:BCQ_4216
ko:K00767	bcq:BCQ_4217
ko:K00278	bcq:BCQ_4218
ko:K04487	bcq:BCQ_4219
ko:K02003	bcq:BCQ_4225
ko:K03979	bcq:BCQ_4228
ko:K02899	bcq:BCQ_4230
ko:K07584	bcq:BCQ_4231
ko:K02888	bcq:BCQ_4232
ko:K08301	bcq:BCQ_4233
ko:K03609	bcq:BCQ_4236
ko:K03610	bcq:BCQ_4237
ko:K03571	bcq:BCQ_4238
ko:K03570	bcq:BCQ_4239
ko:K03569	bcq:BCQ_4240
ko:K03630	bcq:BCQ_4241
ko:K06287	bcq:BCQ_4242
ko:K01873	bcq:BCQ_4245
ko:K01845	bcq:BCQ_4248
ko:K01698	bcq:BCQ_4249
ko:K01719	bcq:BCQ_4250
ko:K01749	bcq:BCQ_4251
ko:K00003	bcq:BCQ_5246
ko:K00651	bcq:BCQ_5247
ko:K01740	bcq:BCQ_5248
ko:K01118	bcq:BCQ_5251
ko:K06200	bcq:BCQ_5257
ko:K08369	bcq:BCQ_5259
ko:K09153	bcq:BCQ_5268
ko:K05339	bcq:BCQ_5281
ko:K05338	bcq:BCQ_5282
ko:K07704	bcq:BCQ_5284
ko:K04564	bcq:BCQ_5289
ko:K03707	bcq:BCQ_0816
ko:K03153	bcq:BCQ_0821
ko:K03154	bcq:BCQ_0822
ko:K03149	bcq:BCQ_0823
ko:K01546	bcq:BCQ_0829
ko:K01547	bcq:BCQ_0830
ko:K01548	bcq:BCQ_0831
ko:K07646	bcq:BCQ_0832
ko:K02003	bcq:BCQ_0839
ko:K06901	bcq:BCQ_0844
ko:K01495	bcq:BCQ_1580
ko:K03183	bcq:BCQ_1582
ko:K00940	bcq:BCQ_1584
ko:K01736	bcq:BCQ_1585
ko:K01735	bcq:BCQ_1586
ko:K00817	bcq:BCQ_1587
ko:K06973	bcq:BCQ_1598
