ko:K01613	cmm:NC80_00370
ko:K03650	cmm:NC80_00365
ko:K02967	cmm:NC80_00270
ko:K02357	cmm:NC80_00265
ko:K03162	cmm:NC80_00280
ko:K10773	cmm:NC80_00360
ko:K07220	cmm:NC80_00330
ko:K00927	cmm:NC80_00340
ko:K03306	cmm:NC80_00335
ko:K01985	cmm:NC80_00595
ko:K01985	cmm:NC80_00670
ko:K01978	cmm:NC80_04670
ko:K03825	cmm:NC80_03730
ko:K03497	cmm:NC80_00315
ko:K03111	cmm:NC80_01560
ko:K03496	cmm:NC80_04395
ko:K02626	cmm:NC80_03285
ko:K11991	cmm:NC80_01155
ko:K04771	cmm:NC80_01045
ko:K11749	cmm:NC80_01715
ko:K02031	cmm:NC80_00325
ko:K11645	cmm:NC80_02435
ko:K19405	cmm:NC80_00235
ko:K19411	cmm:NC80_00240
ko:K07125	cmm:NC80_03020
ko:K02032	cmm:NC80_00320
ko:K14237	cmm:NC80_01075
ko:K01977	cmm:NC80_00585
ko:K01977	cmm:NC80_00660
ko:K12132	cmm:NC80_02890
ko:K20074	cmm:NC80_02670
ko:K20265	cmm:NC80_02440
ko:K14234	cmm:NC80_00230
ko:K14225	cmm:NC80_00275
ko:K14225	cmm:NC80_00415
ko:K14233	cmm:NC80_01115
ko:K14232	cmm:NC80_01640
ko:K14237	cmm:NC80_02480
ko:K14227	cmm:NC80_02240
ko:K14230	cmm:NC80_02390
ko:K14220	cmm:NC80_01525
ko:K01980	cmm:NC80_00590
ko:K01980	cmm:NC80_00665
ko:K14234	cmm:NC80_02060
ko:K22100	cmm:NC80_03040
ko:K22099	cmm:NC80_04550
ko:K00526	cmm:NC80_01070
ko:K03553	cmm:NC80_00095
ko:K02335	cmm:NC80_03925
ko:K02316	cmm:NC80_00885
ko:K01520	cmm:NC80_02840
ko:K02314	cmm:NC80_03955
ko:K00287	cmm:NC80_04555
ko:K00525	cmm:NC80_01065
ko:K02050	cmm:NC80_01210
ko:K02051	cmm:NC80_01210
ko:K03309	cmm:NC80_03430
ko:K01829	cmm:NC80_00845
ko:K14236	cmm:NC80_02065
ko:K14226	cmm:NC80_00580
ko:K01534	cmm:NC80_00515
ko:K16239	cmm:NC80_01775
ko:K04058	cmm:NC80_01795
