ko:K07090	btm:MC28_2818
ko:K00615	btm:MC28_2827
ko:K02042	btm:MC28_2828
ko:K02042	btm:MC28_2829
ko:K02041	btm:MC28_2830
ko:K02044	btm:MC28_2831
ko:K14647	btm:MC28_3647
ko:K00500	btm:MC28_3648
ko:K02013	btm:MC28_3657
ko:K02015	btm:MC28_3658
ko:K02016	btm:MC28_3659
ko:K04072	btm:MC28_3662
ko:K03624	btm:MC28_3670
ko:K00876	btm:MC28_3671
ko:K08303	btm:MC28_3672
ko:K08303	btm:MC28_3673
ko:K07082	btm:MC28_3675
ko:K07447	btm:MC28_3677
ko:K01872	btm:MC28_3679
ko:K03581	btm:MC28_3685
ko:K00566	btm:MC28_3687
ko:K04487	btm:MC28_3688
ko:K07478	btm:MC28_3690
ko:K00963	btm:MC28_4510
ko:K02372	btm:MC28_4515
ko:K03569	btm:MC28_4516
ko:K06283	btm:MC28_4517
ko:K06386	btm:MC28_4519
ko:K06381	btm:MC28_4523
ko:K00790	btm:MC28_4524
ko:K00343	btm:MC28_4527
ko:K00342	btm:MC28_4528
ko:K00341	btm:MC28_4529
ko:K00340	btm:MC28_4530
ko:K00339	btm:MC28_4531
ko:K00338	btm:MC28_4532
ko:K00337	btm:MC28_4533
ko:K00333	btm:MC28_4534
ko:K00332	btm:MC28_4535
ko:K00331	btm:MC28_4536
ko:K00330	btm:MC28_4537
ko:K02114	btm:MC28_4541
ko:K02112	btm:MC28_4542
ko:K02115	btm:MC28_4543
ko:K02111	btm:MC28_4544
ko:K02113	btm:MC28_4545
ko:K02109	btm:MC28_4546
ko:K02110	btm:MC28_4547
ko:K02108	btm:MC28_4548
ko:K15975	btm:MC28_0260
ko:K02440	btm:MC28_0267
ko:K00864	btm:MC28_0268
ko:K00111	btm:MC28_0269
ko:K03088	btm:MC28_0270
ko:K03657	btm:MC28_0274
ko:K09682	btm:MC28_0278
ko:K02503	btm:MC28_0280
ko:K01599	btm:MC28_0302
ko:K01772	btm:MC28_0303
ko:K00231	btm:MC28_0304
ko:K01421	btm:MC28_0313
ko:K01999	btm:MC28_1136
ko:K01995	btm:MC28_1137
ko:K01997	btm:MC28_1139
