ko:K08303	saub:C248_1654
ko:K07447	saub:C248_1658
ko:K01872	saub:C248_1660
ko:K03581	saub:C248_1661
ko:K00566	saub:C248_1663
ko:K04487	saub:C248_1664
ko:K07478	saub:C248_1669
ko:K01876	saub:C248_1673
ko:K01892	saub:C248_1674
ko:K01448	saub:C248_1675
ko:K07560	saub:C248_1676
ko:K00759	saub:C248_1678
ko:K07462	saub:C248_1679
ko:K12257	saub:C248_1680
ko:K03210	saub:C248_1681
ko:K00773	saub:C248_1682
ko:K07568	saub:C248_1683
ko:K03551	saub:C248_1684
ko:K03550	saub:C248_1685
ko:K06209	saub:C248_1686
ko:K03979	saub:C248_1687
ko:K02899	saub:C248_1688
ko:K02888	saub:C248_1690
ko:K03571	saub:C248_1691
ko:K03570	saub:C248_1692
ko:K00963	saub:C248_2551
ko:K11476	saub:C248_2559
ko:K04041	saub:C248_2573
ko:K03311	saub:C248_0177
ko:K07106	saub:C248_0183
ko:K01153	saub:C248_0187
ko:K02034	saub:C248_0191
ko:K01118	saub:C248_0195
ko:K15771	saub:C248_0199
ko:K15772	saub:C248_0200
ko:K02012	saub:C248_0208
ko:K00656	saub:C248_0209
ko:K04069	saub:C248_0210
ko:K01126	saub:C248_0212
ko:K07516	saub:C248_0216
ko:K00252	saub:C248_0217
ko:K05916	saub:C248_0225
ko:K02250	saub:C248_1050
ko:K03800	saub:C248_1052
ko:K02003	saub:C248_1058
ko:K15977	saub:C248_1061
ko:K02016	saub:C248_1062
ko:K02548	saub:C248_1066
ko:K02551	saub:C248_1068
ko:K01661	saub:C248_1070
ko:K02829	saub:C248_1083
ko:K02828	saub:C248_1084
ko:K02827	saub:C248_1085
ko:K02826	saub:C248_1086
ko:K01491	saub:C248_1088
ko:K01588	saub:C248_1089
ko:K01589	saub:C248_1090
ko:K01923	saub:C248_1091
ko:K01952	saub:C248_1093
ko:K01952	saub:C248_1094
ko:K00764	saub:C248_1095
ko:K01933	saub:C248_1096
ko:K11175	saub:C248_1097
ko:K00602	saub:C248_1098
ko:K01945	saub:C248_1099
ko:K03564	saub:C248_1934
ko:K01845	saub:C248_1935
ko:K03575	saub:C248_1939
ko:K07038	saub:C248_1940
ko:K03565	saub:C248_1945
