ko:K06950	sux:SAEMRSA15_19980
ko:K03217	sux:SAEMRSA15_19990
ko:K00788	sux:SAEMRSA15_20000
ko:K00878	sux:SAEMRSA15_20010
ko:K00941	sux:SAEMRSA15_20020
ko:K03707	sux:SAEMRSA15_20030
ko:K02372	sux:SAEMRSA15_20070
ko:K00790	sux:SAEMRSA15_20080
ko:K02114	sux:SAEMRSA15_20100
ko:K02112	sux:SAEMRSA15_20110
ko:K02115	sux:SAEMRSA15_20120
ko:K02111	sux:SAEMRSA15_20130
ko:K02113	sux:SAEMRSA15_20140
ko:K02109	sux:SAEMRSA15_20150
ko:K02110	sux:SAEMRSA15_20160
ko:K02108	sux:SAEMRSA15_20170
ko:K00761	sux:SAEMRSA15_20200
ko:K00600	sux:SAEMRSA15_20210
ko:K07566	sux:SAEMRSA15_20240
ko:K02493	sux:SAEMRSA15_20250
ko:K02835	sux:SAEMRSA15_20260
ko:K02909	sux:SAEMRSA15_20280
ko:K03628	sux:SAEMRSA15_20290
ko:K00790	sux:SAEMRSA15_20320
ko:K01624	sux:SAEMRSA15_20330
ko:K01937	sux:SAEMRSA15_20350
ko:K08170	sux:SAEMRSA15_00720
ko:K03324	sux:SAEMRSA15_00730
ko:K03303	sux:SAEMRSA15_00760
ko:K02015	sux:SAEMRSA15_00790
ko:K02015	sux:SAEMRSA15_00800
ko:K02016	sux:SAEMRSA15_00810
ko:K01586	sux:SAEMRSA15_00890
ko:K01839	sux:SAEMRSA15_01050
ko:K02042	sux:SAEMRSA15_01060
ko:K02042	sux:SAEMRSA15_01070
ko:K02041	sux:SAEMRSA15_01080
ko:K02044	sux:SAEMRSA15_01090
ko:K04072	sux:SAEMRSA15_01130
ko:K01588	sux:SAEMRSA15_08950
ko:K01589	sux:SAEMRSA15_08960
ko:K01923	sux:SAEMRSA15_08970
ko:K01952	sux:SAEMRSA15_08990
ko:K01952	sux:SAEMRSA15_09000
ko:K00764	sux:SAEMRSA15_09010
ko:K01933	sux:SAEMRSA15_09020
ko:K11175	sux:SAEMRSA15_09030
ko:K00602	sux:SAEMRSA15_09040
ko:K01945	sux:SAEMRSA15_09050
ko:K06969	sux:SAEMRSA15_09110
ko:K00425	sux:SAEMRSA15_09160
ko:K00426	sux:SAEMRSA15_09170
ko:K01462	sux:SAEMRSA15_09210
ko:K00161	sux:SAEMRSA15_09230
ko:K00162	sux:SAEMRSA15_09240
ko:K00627	sux:SAEMRSA15_09250
ko:K00382	sux:SAEMRSA15_09260
ko:K03322	sux:SAEMRSA15_09350
ko:K06207	sux:SAEMRSA15_09390
ko:K03588	sux:SAEMRSA15_09430
ko:K04096	sux:SAEMRSA15_17230
ko:K07002	sux:SAEMRSA15_17350
ko:K00231	sux:SAEMRSA15_17360
ko:K01772	sux:SAEMRSA15_17370
ko:K01599	sux:SAEMRSA15_17380
ko:K02503	sux:SAEMRSA15_17420
ko:K06180	sux:SAEMRSA15_17550
ko:K09765	sux:SAEMRSA15_24940
ko:K06978	sux:SAEMRSA15_24970
ko:K01579	sux:SAEMRSA15_25000
ko:K01918	sux:SAEMRSA15_25010
ko:K00606	sux:SAEMRSA15_25020
ko:K00077	sux:SAEMRSA15_25030
ko:K01575	sux:SAEMRSA15_25040
ko:K00823	sux:SAEMRSA15_25080
ko:K01623	sux:SAEMRSA15_25100
ko:K00116	sux:SAEMRSA15_25110
ko:K01895	sux:SAEMRSA15_25130
ko:K03300	sux:SAEMRSA15_25220
ko:K02304	sux:SAEMRSA15_25230
ko:K00432	sux:SAEMRSA15_25250
ko:K00926	sux:SAEMRSA15_25370
ko:K06885	sux:SAEMRSA15_05310
ko:K01887	sux:SAEMRSA15_05350
ko:K02016	sux:SAEMRSA15_05370
ko:K02015	sux:SAEMRSA15_05380
ko:K09936	sux:SAEMRSA15_05450
ko:K05566	sux:SAEMRSA15_05500
ko:K05567	sux:SAEMRSA15_05510
ko:K05569	sux:SAEMRSA15_05530
ko:K05571	sux:SAEMRSA15_05550
ko:K05946	sux:SAEMRSA15_05620
ko:K02013	sux:SAEMRSA15_05730
ko:K02015	sux:SAEMRSA15_05740
ko:K07651	sux:SAEMRSA15_14130
ko:K07775	sux:SAEMRSA15_14140
ko:K06178	sux:SAEMRSA15_14150
ko:K06024	sux:SAEMRSA15_14160
ko:K05896	sux:SAEMRSA15_14170
ko:K03076	sux:SAEMRSA15_21290
ko:K02876	sux:SAEMRSA15_21300
ko:K02907	sux:SAEMRSA15_21310
ko:K02988	sux:SAEMRSA15_21320
ko:K02881	sux:SAEMRSA15_21330
ko:K02933	sux:SAEMRSA15_21340
ko:K02994	sux:SAEMRSA15_21350
ko:K02954	sux:SAEMRSA15_21360
ko:K02931	sux:SAEMRSA15_21370
ko:K02895	sux:SAEMRSA15_21380
ko:K02874	sux:SAEMRSA15_21390
ko:K02961	sux:SAEMRSA15_21400
ko:K02904	sux:SAEMRSA15_21410
ko:K02878	sux:SAEMRSA15_21420
ko:K02982	sux:SAEMRSA15_21430
ko:K02890	sux:SAEMRSA15_21440
ko:K02965	sux:SAEMRSA15_21450
ko:K02886	sux:SAEMRSA15_21460
ko:K02892	sux:SAEMRSA15_21470
ko:K02926	sux:SAEMRSA15_21480
ko:K02906	sux:SAEMRSA15_21490
ko:K02946	sux:SAEMRSA15_21500
ko:K06901	sux:SAEMRSA15_21520
ko:K07088	sux:SAEMRSA15_21560
ko:K03639	sux:SAEMRSA15_21660
ko:K03752	sux:SAEMRSA15_21670
ko:K03636	sux:SAEMRSA15_21680
ko:K03753	sux:SAEMRSA15_21700
ko:K03750	sux:SAEMRSA15_21710
ko:K03637	sux:SAEMRSA15_21720
ko:K03638	sux:SAEMRSA15_21730
ko:K02018	sux:SAEMRSA15_21760
ko:K02313	sux:SAEMRSA15_00010
ko:K02338	sux:SAEMRSA15_00020
ko:K03629	sux:SAEMRSA15_00040
ko:K02470	sux:SAEMRSA15_00050
ko:K02469	sux:SAEMRSA15_00060
ko:K01745	sux:SAEMRSA15_00080
ko:K01755	sux:SAEMRSA15_07900
ko:K01940	sux:SAEMRSA15_07910
ko:K01810	sux:SAEMRSA15_07920
ko:K03100	sux:SAEMRSA15_07940
ko:K03100	sux:SAEMRSA15_07950
ko:K03695	sux:SAEMRSA15_08040
ko:K00648	sux:SAEMRSA15_08120
ko:K09458	sux:SAEMRSA15_08130
ko:K15581	sux:SAEMRSA15_08150
ko:K15580	sux:SAEMRSA15_08190
ko:K02034	sux:SAEMRSA15_08240
ko:K01867	sux:SAEMRSA15_08260
ko:K08602	sux:SAEMRSA15_08310
ko:K06886	sux:SAEMRSA15_08330
ko:K00858	sux:SAEMRSA15_08370
ko:K06180	sux:SAEMRSA15_08380
ko:K06213	sux:SAEMRSA15_08390
ko:K00208	sux:SAEMRSA15_08410
ko:K03310	sux:SAEMRSA15_08430
ko:K02337	sux:SAEMRSA15_16120
ko:K00259	sux:SAEMRSA15_16180
ko:K00925	sux:SAEMRSA15_16200
ko:K11065	sux:SAEMRSA15_16220
ko:K07090	sux:SAEMRSA15_16230
ko:K03151	sux:SAEMRSA15_16240
ko:K04487	sux:SAEMRSA15_16250
ko:K02986	sux:SAEMRSA15_16280
ko:K01126	sux:SAEMRSA15_16290
ko:K00655	sux:SAEMRSA15_16350
ko:K01866	sux:SAEMRSA15_16370
ko:K01938	sux:SAEMRSA15_16400
ko:K01895	sux:SAEMRSA15_16410
ko:K04766	sux:SAEMRSA15_16420
ko:K04768	sux:SAEMRSA15_16430
ko:K02529	sux:SAEMRSA15_16440
