ko:K07140	bmaz:BM44_4547
ko:K07649	bmaz:BM44_4548
ko:K07774	bmaz:BM44_4549
ko:K02012	bmaz:BM44_4550
ko:K02011	bmaz:BM44_4551
ko:K02010	bmaz:BM44_4552
ko:K02510	bmaz:BM44_4555
ko:K02509	bmaz:BM44_4557
ko:K01826	bmaz:BM44_4558
ko:K00455	bmaz:BM44_4559
ko:K03501	bmaz:BM44_346
ko:K03495	bmaz:BM44_347
ko:K01996	bmaz:BM44_348
ko:K01995	bmaz:BM44_349
ko:K01998	bmaz:BM44_349
ko:K01997	bmaz:BM44_350
ko:K01999	bmaz:BM44_351
ko:K01998	bmaz:BM44_353
ko:K01997	bmaz:BM44_354
ko:K01999	bmaz:BM44_355
ko:K01996	bmaz:BM44_356
ko:K01995	bmaz:BM44_357
ko:K00151	bmaz:BM44_4560
ko:K05921	bmaz:BM44_4561
ko:K05921	bmaz:BM44_4562
ko:K02484	bmaz:BM44_4567
ko:K07302	bmaz:BM44_4574
ko:K07303	bmaz:BM44_4575
ko:K01953	bmaz:BM44_4577
ko:K02164	bmaz:BM44_4581
ko:K04561	bmaz:BM44_4637
ko:K00368	bmaz:BM44_4638
ko:K13747	bmaz:BM44_4639
ko:K08369	bmaz:BM44_4644
ko:K02484	bmaz:BM44_4646
ko:K00380	bmaz:BM44_4651
ko:K03734	bmaz:BM44_4652
ko:K00128	bmaz:BM44_4653
ko:K09471	bmaz:BM44_4658
ko:K00040	bmaz:BM44_4664
ko:K08323	bmaz:BM44_4666
ko:K08322	bmaz:BM44_4668
