ko:K04567	cjz:M635_06315
ko:K00600	cjz:M635_06320
ko:K03749	cjz:M635_06330
ko:K00014	cjz:M635_06335
ko:K13292	cjz:M635_06345
ko:K00246	cjz:M635_06350
ko:K06152	cjz:M635_06380
ko:K06151	cjz:M635_06385
ko:K01925	cjz:M635_06500
ko:K01000	cjz:M635_06505
ko:K15633	cjz:M635_06510
ko:K00239	cjz:M635_06530
ko:K00240	cjz:M635_06535
ko:K03737	cjz:M635_03075
ko:K01091	cjz:M635_03080
ko:K02996	cjz:M635_03090
ko:K02871	cjz:M635_03095
ko:K00406	cjz:M635_03125
ko:K00407	cjz:M635_03130
ko:K00405	cjz:M635_03135
ko:K00404	cjz:M635_03140
ko:K09792	cjz:M635_03155
ko:K01956	cjz:M635_03160
ko:K09804	cjz:M635_03165
ko:K01939	cjz:M635_03180
ko:K07112	cjz:M635_03190
ko:K13821	cjz:M635_03205
ko:K01008	cjz:M635_03210
ko:K02379	cjz:M635_03235
ko:K00123	cjz:M635_03250
ko:K00123	cjz:M635_03255
ko:K13747	cjz:M635_03270
ko:K03636	cjz:M635_03280
ko:K03750	cjz:M635_03290
ko:K01933	cjz:M635_03310
ko:K00859	cjz:M635_03315
ko:K01778	cjz:M635_03320
ko:K07133	cjz:M635_03330
ko:K04047	cjz:M635_03335
ko:K01810	cjz:M635_03340
ko:K00963	cjz:M635_03345
ko:K01895	cjz:M635_03350
ko:K01546	cjz:M635_07715
ko:K01548	cjz:M635_07720
ko:K07646	cjz:M635_07725
ko:K03702	cjz:M635_07730
ko:K02456	cjz:M635_07745
ko:K04066	cjz:M635_07750
ko:K02393	cjz:M635_07765
ko:K13788	cjz:M635_07770
ko:K00925	cjz:M635_07775
ko:K03438	cjz:M635_07795
ko:K03770	cjz:M635_07800
ko:K03590	cjz:M635_07805
ko:K03531	cjz:M635_07810
ko:K02392	cjz:M635_07815
ko:K02392	cjz:M635_07820
ko:K01915	cjz:M635_07825
ko:K08303	cjz:M635_07835
ko:K01588	cjz:M635_07840
ko:K01878	cjz:M635_07850
ko:K07164	cjz:M635_07860
ko:K02527	cjz:M635_07865
ko:K06180	cjz:M635_07870
ko:K03106	cjz:M635_07875
ko:K02959	cjz:M635_07880
