ko:K01755	cbm:CBF_2729
ko:K01940	cbm:CBF_2730
ko:K06131	cbm:CBF_2733
ko:K02759	cbm:CBF_3514
ko:K02760	cbm:CBF_3515
ko:K02761	cbm:CBF_3517
ko:K01611	cbm:CBF_3521
ko:K07057	cbm:CBF_3522
ko:K09936	cbm:CBF_3532
ko:K03215	cbm:CBF_3535
ko:K00873	cbm:CBF_3539
ko:K00850	cbm:CBF_3540
ko:K02337	cbm:CBF_3541
ko:K06958	cbm:CBF_3544
ko:K00075	cbm:CBF_3545
ko:K03703	cbm:CBF_3547
ko:K07038	cbm:CBF_3548
ko:K03701	cbm:CBF_3553
ko:K03702	cbm:CBF_3554
ko:K03797	cbm:CBF_3556
ko:K09811	cbm:CBF_3557
ko:K09812	cbm:CBF_3558
ko:K00615	cbm:CBF_3561
ko:K00615	cbm:CBF_3562
ko:K07723	cbm:CBF_3564
ko:K06387	cbm:CBF_0154
ko:K01937	cbm:CBF_0160
ko:K03628	cbm:CBF_0162
ko:K02909	cbm:CBF_0163
ko:K02493	cbm:CBF_0166
ko:K02835	cbm:CBF_0167
ko:K07238	cbm:CBF_0169
ko:K07566	cbm:CBF_0170
ko:K01808	cbm:CBF_0172
ko:K00761	cbm:CBF_0173
ko:K02108	cbm:CBF_0178
ko:K02110	cbm:CBF_0179
ko:K02109	cbm:CBF_0180
ko:K02113	cbm:CBF_0181
ko:K02111	cbm:CBF_0182
ko:K02115	cbm:CBF_0183
ko:K02112	cbm:CBF_0184
ko:K02114	cbm:CBF_0185
ko:K00790	cbm:CBF_0187
ko:K06381	cbm:CBF_0188
ko:K06283	cbm:CBF_0190
ko:K03569	cbm:CBF_0191
ko:K00789	cbm:CBF_0200
ko:K05808	cbm:CBF_0204
ko:K03070	cbm:CBF_0205
ko:K02836	cbm:CBF_0206
ko:K06959	cbm:CBF_0208
ko:K04061	cbm:CBF_0211
ko:K07099	cbm:CBF_0212
ko:K08982	cbm:CBF_1103
ko:K02015	cbm:CBF_1108
ko:K02015	cbm:CBF_1109
ko:K02013	cbm:CBF_1110
ko:K02016	cbm:CBF_1111
ko:K06888	cbm:CBF_1122
ko:K00111	cbm:CBF_1131
ko:K02445	cbm:CBF_1134
ko:K01887	cbm:CBF_1135
ko:K04759	cbm:CBF_1140
ko:K04758	cbm:CBF_1141
ko:K02072	cbm:CBF_1147
ko:K02073	cbm:CBF_1148
ko:K02073	cbm:CBF_1149
