ko:K02037	bmi:BMEA_A2200
ko:K02038	bmi:BMEA_A2201
ko:K02036	bmi:BMEA_A2202
ko:K02039	bmi:BMEA_A2203
ko:K07657	bmi:BMEA_A2204
ko:K04047	bmi:BMEA_A2209
ko:K03789	bmi:BMEA_A2211
ko:K06168	bmi:BMEA_A2213
ko:K06217	bmi:BMEA_A2214
ko:K07042	bmi:BMEA_A2215
ko:K03820	bmi:BMEA_A2217
ko:K00789	bmi:BMEA_A2220
ko:K03439	bmi:BMEA_A2221
ko:K09748	bmi:BMEA_A2222
ko:K02600	bmi:BMEA_A2223
ko:K07742	bmi:BMEA_A2224
ko:K02519	bmi:BMEA_A2225
ko:K02834	bmi:BMEA_A2226
ko:K03177	bmi:BMEA_A2227
ko:K02956	bmi:BMEA_A2228
ko:K00962	bmi:BMEA_A2229
ko:K00208	bmi:BMEA_A2231
ko:K00647	bmi:BMEA_A2232
ko:K01716	bmi:BMEA_A2233
ko:K09826	bmi:BMEA_A2234
ko:K02073	bmi:BMEA_A2235
ko:K01255	bmi:BMEA_A2241
ko:K10563	bmi:BMEA_A2244
ko:K02968	bmi:BMEA_A2246
ko:K00001	bmi:BMEA_B0712
ko:K02313	bmi:BMEA_A0001
ko:K02338	bmi:BMEA_A0002
ko:K03629	bmi:BMEA_A0003
ko:K12972	bmi:BMEA_A0005
ko:K13896	bmi:BMEA_A0006
ko:K13895	bmi:BMEA_A0007
ko:K13894	bmi:BMEA_A0008
ko:K13893	bmi:BMEA_A0009
ko:K13893	bmi:BMEA_A0010
ko:K01999	bmi:BMEA_A0014
ko:K01640	bmi:BMEA_A0017
ko:K01968	bmi:BMEA_A0018
ko:K01969	bmi:BMEA_A0019
ko:K01945	bmi:BMEA_A0445
ko:K03179	bmi:BMEA_A0446
ko:K00275	bmi:BMEA_A0447
ko:K00208	bmi:BMEA_A0451
ko:K03704	bmi:BMEA_A0454
ko:K09778	bmi:BMEA_A0457
ko:K01736	bmi:BMEA_A0461
ko:K03602	bmi:BMEA_A0464
ko:K06911	bmi:BMEA_A0468
ko:K01662	bmi:BMEA_A0469
ko:K06442	bmi:BMEA_A0470
ko:K03215	bmi:BMEA_A0471
ko:K06966	bmi:BMEA_A0472
ko:K01613	bmi:BMEA_A0476
ko:K00764	bmi:BMEA_A0480
ko:K03558	bmi:BMEA_A0482
ko:K04485	bmi:BMEA_A0483
ko:K02314	bmi:BMEA_A0484
ko:K00574	bmi:BMEA_A0485
ko:K02939	bmi:BMEA_A0486
ko:K02963	bmi:BMEA_A0488
ko:K02990	bmi:BMEA_A0490
ko:K00645	bmi:BMEA_A0492
ko:K00059	bmi:BMEA_A0493
ko:K02078	bmi:BMEA_A0495
ko:K09458	bmi:BMEA_A0497
ko:K07082	bmi:BMEA_A0498
ko:K00942	bmi:BMEA_A0500
ko:K03568	bmi:BMEA_A0501
ko:K02275	bmi:BMEA_A0503
ko:K02274	bmi:BMEA_A0504
ko:K02258	bmi:BMEA_A0507
ko:K02276	bmi:BMEA_A0508
ko:K03527	bmi:BMEA_A0511
ko:K02204	bmi:BMEA_A0512
ko:K03469	bmi:BMEA_A0513
ko:K07735	bmi:BMEA_A0516
ko:K03100	bmi:BMEA_A0697
ko:K03685	bmi:BMEA_A0698
ko:K03595	bmi:BMEA_A0700
ko:K03584	bmi:BMEA_A0701
ko:K06952	bmi:BMEA_A0703
ko:K06980	bmi:BMEA_A0704
ko:K01465	bmi:BMEA_A0705
ko:K09457	bmi:BMEA_A1227
ko:K01847	bmi:BMEA_A1234
ko:K07080	bmi:BMEA_A1238
ko:K01776	bmi:BMEA_A1239
ko:K02533	bmi:BMEA_A1240
ko:K05520	bmi:BMEA_A1241
ko:K00031	bmi:BMEA_A1243
ko:K05936	bmi:BMEA_A1347
ko:K02189	bmi:BMEA_A1348
ko:K07090	bmi:BMEA_A1350
ko:K02230	bmi:BMEA_A1353
