ko:K09779	btf:YBT020_24060
ko:K10907	btf:YBT020_24070
ko:K14155	btf:YBT020_24095
ko:K06347	btf:YBT020_24110
ko:K06348	btf:YBT020_24115
ko:K01880	btf:YBT020_24135
ko:K03523	btf:YBT020_24150
ko:K00963	btf:YBT020_24155
ko:K01255	btf:YBT020_24170
ko:K00963	btf:YBT020_26295
ko:K02372	btf:YBT020_26320
ko:K03569	btf:YBT020_26325
ko:K06283	btf:YBT020_26330
ko:K06386	btf:YBT020_26340
ko:K06381	btf:YBT020_26360
ko:K00790	btf:YBT020_26365
ko:K00343	btf:YBT020_26380
ko:K00342	btf:YBT020_26385
ko:K00341	btf:YBT020_26390
ko:K00340	btf:YBT020_26395
ko:K03523	btf:YBT020_17785
ko:K06999	btf:YBT020_17865
ko:K15975	btf:YBT020_17870
ko:K10680	btf:YBT020_17885
ko:K07736	btf:YBT020_17890
ko:K01468	btf:YBT020_17900
ko:K01712	btf:YBT020_17905
ko:K09699	btf:YBT020_20495
ko:K00167	btf:YBT020_20500
ko:K00166	btf:YBT020_20505
ko:K00382	btf:YBT020_20510
ko:K00263	btf:YBT020_20520
ko:K01126	btf:YBT020_20540
ko:K01963	btf:YBT020_22625
ko:K02337	btf:YBT020_22640
ko:K00259	btf:YBT020_22745
ko:K02073	btf:YBT020_24735
ko:K02073	btf:YBT020_24740
ko:K02072	btf:YBT020_24745
ko:K02071	btf:YBT020_24750
ko:K07476	btf:YBT020_24770
ko:K02437	btf:YBT020_24780
ko:K00003	btf:YBT020_26950
ko:K00651	btf:YBT020_26955
ko:K01740	btf:YBT020_26960
ko:K01118	btf:YBT020_26980
ko:K00868	btf:YBT020_26995
ko:K06200	btf:YBT020_27010
ko:K08369	btf:YBT020_27020
ko:K05946	btf:YBT020_27025
ko:K02372	btf:YBT020_14490
ko:K15554	btf:YBT020_14590
ko:K15553	btf:YBT020_14595
ko:K01442	btf:YBT020_18465
ko:K03572	btf:YBT020_18470
ko:K03555	btf:YBT020_18475
ko:K06328	btf:YBT020_18480
ko:K06168	btf:YBT020_18490
ko:K00175	btf:YBT020_18495
ko:K00174	btf:YBT020_18500
ko:K01273	btf:YBT020_18505
ko:K06416	btf:YBT020_18510
ko:K09769	btf:YBT020_18515
ko:K00995	btf:YBT020_18540
ko:K00231	btf:YBT020_12260
ko:K03704	btf:YBT020_12280
ko:K00133	btf:YBT020_12320
ko:K03088	btf:YBT020_12425
ko:K00978	btf:YBT020_16595
ko:K01709	btf:YBT020_16600
ko:K09984	btf:YBT020_16635
ko:K00615	btf:YBT020_16665
ko:K00036	btf:YBT020_16670
ko:K07078	btf:YBT020_16675
ko:K03837	btf:YBT020_16690
ko:K03093	btf:YBT020_16805
ko:K03480	btf:YBT020_19945
ko:K03710	btf:YBT020_19955
ko:K01443	btf:YBT020_19965
ko:K06024	btf:YBT020_19975
ko:K05896	btf:YBT020_19980
ko:K02859	btf:YBT020_19995
ko:K06408	btf:YBT020_20015
ko:K06407	btf:YBT020_20020
ko:K06407	btf:YBT020_20025
ko:K06406	btf:YBT020_20030
ko:K06405	btf:YBT020_20035
ko:K06404	btf:YBT020_20040
ko:K06403	btf:YBT020_20045
ko:K00989	btf:YBT020_22080
ko:K01776	btf:YBT020_22090
ko:K01994	btf:YBT020_22125
ko:K06188	btf:YBT020_22155
ko:K02557	btf:YBT020_22180
ko:K02556	btf:YBT020_22185
ko:K07107	btf:YBT020_22195
ko:K00240	btf:YBT020_22200
ko:K00239	btf:YBT020_22205
ko:K03885	btf:YBT020_24190
ko:K00339	btf:YBT020_26400
ko:K00338	btf:YBT020_26405
ko:K00337	btf:YBT020_26410
ko:K00333	btf:YBT020_26415
ko:K00332	btf:YBT020_26420
ko:K00331	btf:YBT020_26425
ko:K00330	btf:YBT020_26430
ko:K02114	btf:YBT020_26450
ko:K02112	btf:YBT020_26455
ko:K02115	btf:YBT020_26460
ko:K02111	btf:YBT020_26465
ko:K02113	btf:YBT020_26470
ko:K02109	btf:YBT020_26475
ko:K02110	btf:YBT020_26480
ko:K02108	btf:YBT020_26485
ko:K00761	btf:YBT020_26500
ko:K00600	btf:YBT020_26505
ko:K01808	btf:YBT020_26515
ko:K03076	btf:YBT020_13665
ko:K01449	btf:YBT020_13735
ko:K00453	btf:YBT020_13755
ko:K07130	btf:YBT020_13760
ko:K01556	btf:YBT020_13765
ko:K00382	btf:YBT020_13840
ko:K00627	btf:YBT020_13845
ko:K01745	btf:YBT020_17910
ko:K09683	btf:YBT020_17915
ko:K07090	btf:YBT020_18020
ko:K00615	btf:YBT020_18070
ko:K02042	btf:YBT020_18075
ko:K02042	btf:YBT020_18080
ko:K02041	btf:YBT020_18085
ko:K02044	btf:YBT020_18090
ko:K01356	btf:YBT020_18110
ko:K01915	btf:YBT020_18140
ko:K03665	btf:YBT020_18155
ko:K06413	btf:YBT020_18170
ko:K07699	btf:YBT020_20590
ko:K06399	btf:YBT020_20595
ko:K03631	btf:YBT020_20600
ko:K03402	btf:YBT020_20605
ko:K06442	btf:YBT020_20610
ko:K01662	btf:YBT020_20615
ko:K13789	btf:YBT020_20620
ko:K03602	btf:YBT020_20625
ko:K03601	btf:YBT020_20630
ko:K01491	btf:YBT020_20635
ko:K03625	btf:YBT020_20640
ko:K01961	btf:YBT020_20650
ko:K02160	btf:YBT020_20655
ko:K06397	btf:YBT020_20660
ko:K06396	btf:YBT020_20665
ko:K06395	btf:YBT020_20670
ko:K06394	btf:YBT020_20675
ko:K06393	btf:YBT020_20680
ko:K06392	btf:YBT020_20685
ko:K06391	btf:YBT020_20690
ko:K06390	btf:YBT020_20695
ko:K02356	btf:YBT020_20715
ko:K01755	btf:YBT020_22775
ko:K01940	btf:YBT020_22780
ko:K00925	btf:YBT020_22815
ko:K11065	btf:YBT020_22825
ko:K00858	btf:YBT020_22840
ko:K01895	btf:YBT020_22855
ko:K03151	btf:YBT020_22865
ko:K04487	btf:YBT020_22870
ko:K01761	btf:YBT020_22900
ko:K07516	btf:YBT020_24870
ko:K00318	btf:YBT020_24885
ko:K03217	btf:YBT020_24945
ko:K12267	btf:YBT020_27115
ko:K05339	btf:YBT020_27125
ko:K05338	btf:YBT020_27130
ko:K07704	btf:YBT020_27140
ko:K00491	btf:YBT020_27155
ko:K04564	btf:YBT020_27160
ko:K11068	btf:YBT020_27210
ko:K02057	btf:YBT020_18575
ko:K02057	btf:YBT020_18580
ko:K07335	btf:YBT020_18590
ko:K03710	btf:YBT020_18595
ko:K03466	btf:YBT020_18600
ko:K01714	btf:YBT020_18620
ko:K00928	btf:YBT020_18625
ko:K00133	btf:YBT020_18630
ko:K06411	btf:YBT020_18635
ko:K06410	btf:YBT020_18640
