ko:K03086	hpyl:HPOK310_0101
ko:K00645	hpyl:HPOK310_0103
ko:K13292	hpyl:HPOK310_0905
ko:K02527	hpyl:HPOK310_0907
ko:K07164	hpyl:HPOK310_0908
ko:K01878	hpyl:HPOK310_0910
ko:K00057	hpyl:HPOK310_0911
ko:K15726	hpyl:HPOK310_0915
ko:K01879	hpyl:HPOK310_0918
ko:K15633	hpyl:HPOK310_0920
ko:K02435	hpyl:HPOK310_0921
ko:K00833	hpyl:HPOK310_0922
ko:K03770	hpyl:HPOK310_0923
ko:K03590	hpyl:HPOK310_0924
ko:K03531	hpyl:HPOK310_0925
ko:K15257	hpyl:HPOK310_0936
ko:K01772	hpyl:HPOK310_0937
ko:K01874	hpyl:HPOK310_0938
ko:K00574	hpyl:HPOK310_0939
ko:K16052	hpyl:HPOK310_0940
ko:K15846	hpyl:HPOK310_0941
ko:K01951	hpyl:HPOK310_0942
ko:K02503	hpyl:HPOK310_0948
ko:K01889	hpyl:HPOK310_0949
ko:K01890	hpyl:HPOK310_0950
ko:K00800	hpyl:HPOK310_0951
ko:K02030	hpyl:HPOK310_1070
ko:K01733	hpyl:HPOK310_0110
ko:K09765	hpyl:HPOK310_0112
ko:K07173	hpyl:HPOK310_0117
ko:K04043	hpyl:HPOK310_0120
ko:K03687	hpyl:HPOK310_0121
ko:K03705	hpyl:HPOK310_0122
ko:K01628	hpyl:HPOK310_0123
ko:K02406	hpyl:HPOK310_0126
ko:K03168	hpyl:HPOK310_0127
ko:K01868	hpyl:HPOK310_0132
ko:K02520	hpyl:HPOK310_0133
ko:K02916	hpyl:HPOK310_0134
ko:K02887	hpyl:HPOK310_0135
ko:K01752	hpyl:HPOK310_0139
ko:K03837	hpyl:HPOK310_0140
ko:K01626	hpyl:HPOK310_0141
