ko:K01153	sauc:CA347_205
ko:K02034	sauc:CA347_209
ko:K01118	sauc:CA347_213
ko:K15771	sauc:CA347_217
ko:K15772	sauc:CA347_218
ko:K02012	sauc:CA347_226
ko:K00656	sauc:CA347_227
ko:K04069	sauc:CA347_228
ko:K01126	sauc:CA347_230
ko:K07516	sauc:CA347_234
ko:K00252	sauc:CA347_235
ko:K09007	sauc:CA347_582
ko:K08094	sauc:CA347_587
ko:K03762	sauc:CA347_589
ko:K00868	sauc:CA347_595
ko:K03648	sauc:CA347_596
ko:K16869	sauc:CA347_604
ko:K06885	sauc:CA347_619
ko:K01887	sauc:CA347_623
ko:K02016	sauc:CA347_625
ko:K02015	sauc:CA347_626
ko:K09936	sauc:CA347_633
ko:K01803	sauc:CA347_794
ko:K15633	sauc:CA347_795
ko:K01689	sauc:CA347_796
ko:K03075	sauc:CA347_798
ko:K03928	sauc:CA347_799
ko:K12573	sauc:CA347_800
ko:K03664	sauc:CA347_801
ko:K03704	sauc:CA347_811
ko:K06895	sauc:CA347_819
ko:K03785	sauc:CA347_822
ko:K02437	sauc:CA347_826
ko:K07476	sauc:CA347_828
ko:K02071	sauc:CA347_830
ko:K02072	sauc:CA347_831
ko:K02073	sauc:CA347_832
ko:K09013	sauc:CA347_835
ko:K09015	sauc:CA347_836
ko:K11717	sauc:CA347_837
ko:K09014	sauc:CA347_839
ko:K00459	sauc:CA347_842
ko:K07090	sauc:CA347_844
ko:K03644	sauc:CA347_846
ko:K07160	sauc:CA347_1599
ko:K01961	sauc:CA347_1600
ko:K02160	sauc:CA347_1601
ko:K03624	sauc:CA347_1604
ko:K00876	sauc:CA347_1605
ko:K08303	sauc:CA347_1606
ko:K07447	sauc:CA347_1610
ko:K01872	sauc:CA347_1612
ko:K03581	sauc:CA347_1613
ko:K00566	sauc:CA347_1615
ko:K04487	sauc:CA347_1616
ko:K07478	sauc:CA347_1621
ko:K01876	sauc:CA347_1623
ko:K01892	sauc:CA347_1624
ko:K01448	sauc:CA347_1625
ko:K07560	sauc:CA347_1626
