ko:K02422	bcf:bcf_08280
ko:K02387	bcf:bcf_08290
ko:K02388	bcf:bcf_08295
ko:K02408	bcf:bcf_08300
ko:K02409	bcf:bcf_08305
ko:K02410	bcf:bcf_08310
ko:K02411	bcf:bcf_08315
ko:K02412	bcf:bcf_08320
ko:K02389	bcf:bcf_08335
ko:K02390	bcf:bcf_08340
ko:K03415	bcf:bcf_08355
ko:K03088	bcf:bcf_12535
ko:K03338	bcf:bcf_12580
ko:K00140	bcf:bcf_12585
ko:K03336	bcf:bcf_12590
ko:K03335	bcf:bcf_12595
ko:K01624	bcf:bcf_12600
ko:K03337	bcf:bcf_12605
ko:K01448	bcf:bcf_12665
ko:K11032	bcf:bcf_12675
ko:K09984	bcf:bcf_16705
ko:K00615	bcf:bcf_16735
ko:K00036	bcf:bcf_16740
ko:K07078	bcf:bcf_16765
ko:K03837	bcf:bcf_16785
ko:K00166	bcf:bcf_20685
ko:K00382	bcf:bcf_20690
ko:K00263	bcf:bcf_20700
ko:K01126	bcf:bcf_20720
ko:K07699	bcf:bcf_20735
ko:K06399	bcf:bcf_20740
ko:K03631	bcf:bcf_20745
ko:K03402	bcf:bcf_20750
ko:K06442	bcf:bcf_20755
ko:K01662	bcf:bcf_20760
ko:K13789	bcf:bcf_20765
ko:K03602	bcf:bcf_20770
ko:K03601	bcf:bcf_20775
ko:K01491	bcf:bcf_20780
ko:K03625	bcf:bcf_20785
ko:K01961	bcf:bcf_20795
ko:K02160	bcf:bcf_20800
ko:K06397	bcf:bcf_20810
ko:K06396	bcf:bcf_20815
ko:K06395	bcf:bcf_20820
ko:K06394	bcf:bcf_20825
ko:K06393	bcf:bcf_20830
ko:K06392	bcf:bcf_20835
ko:K06391	bcf:bcf_20840
ko:K06390	bcf:bcf_20845
ko:K02356	bcf:bcf_20860
ko:K03786	bcf:bcf_20870
ko:K03716	bcf:bcf_20900
ko:K03800	bcf:bcf_20925
ko:K03644	bcf:bcf_24905
ko:K09014	bcf:bcf_24945
ko:K11717	bcf:bcf_24955
ko:K09015	bcf:bcf_24960
ko:K09013	bcf:bcf_24965
ko:K02073	bcf:bcf_24970
ko:K02073	bcf:bcf_24975
ko:K02072	bcf:bcf_24980
ko:K02071	bcf:bcf_24985
ko:K07476	bcf:bcf_25005
ko:K02437	bcf:bcf_25015
ko:K13275	bcf:bcf_09850
ko:K06949	bcf:bcf_09885
ko:K04047	bcf:bcf_09910
ko:K11210	bcf:bcf_10010
ko:K06330	bcf:bcf_10030
ko:K03284	bcf:bcf_10050
ko:K07089	bcf:bcf_10055
