ko:K01524	rpl:H375_3220
ko:K05567	rpl:H375_3300
ko:K01354	rpl:H375_3360
ko:K05837	rpl:H375_3370
ko:K03596	rpl:H375_3410
ko:K02836	rpl:H375_3420
ko:K00413	rpl:H375_3440
ko:K00412	rpl:H375_3450
ko:K00411	rpl:H375_3460
ko:K02194	rpl:H375_3480
ko:K05566	rpl:H375_3490
ko:K05571	rpl:H375_3500
ko:K00031	rpl:H375_3510
ko:K06207	rpl:H375_3530
ko:K00162	rpl:H375_3540
ko:K00161	rpl:H375_3550
ko:K01142	rpl:H375_3560
ko:K02259	rpl:H375_3600
ko:K08300	rpl:H375_3610
ko:K02535	rpl:H375_3630
ko:K03590	rpl:H375_3660
ko:K03589	rpl:H375_3670
ko:K01921	rpl:H375_3680
ko:K00075	rpl:H375_3690
ko:K01924	rpl:H375_3700
ko:K05527	rpl:H375_3720
ko:K03543	rpl:H375_3740
ko:K01613	rpl:H375_3760
ko:K02356	rpl:H375_3790
ko:K03687	rpl:H375_9020
ko:K00989	rpl:H375_9030
ko:K04078	rpl:H375_9040
ko:K04077	rpl:H375_9050
ko:K09816	rpl:H375_9120
ko:K05939	rpl:H375_9130
ko:K01870	rpl:H375_9180
ko:K00645	rpl:H375_7890
ko:K00859	rpl:H375_7930
ko:K09985	rpl:H375_7950
ko:K00773	rpl:H375_8000
ko:K01972	rpl:H375_8010
ko:K00912	rpl:H375_8020
ko:K02517	rpl:H375_8030
ko:K07010	rpl:H375_8100
ko:K04764	rpl:H375_8240
ko:K05349	rpl:H375_8260
ko:K02198	rpl:H375_8280
ko:K09810	rpl:H375_8310
ko:K09808	rpl:H375_8320
ko:K07552	rpl:H375_8330
ko:K06920	rpl:H375_8380
ko:K03790	rpl:H375_8390
ko:K03544	rpl:H375_8400
ko:K09760	rpl:H375_8420
ko:K13598	rpl:H375_9210
ko:K02970	rpl:H375_9200
ko:K01873	rpl:H375_8450
ko:K03179	rpl:H375_8460
ko:K00943	rpl:H375_8480
ko:K01874	rpl:H375_8490
ko:K03424	rpl:H375_8500
ko:K03183	rpl:H375_8520
ko:K03688	rpl:H375_8530
ko:K03977	rpl:H375_8540
ko:K01142	rpl:H375_8550
ko:K03601	rpl:H375_8570
ko:K04744	rpl:H375_8580
ko:K02528	rpl:H375_8600
ko:K03704	rpl:H375_8630
ko:K03531	rpl:H375_8670
ko:K03218	rpl:H375_8690
ko:K02358	rpl:H375_8710
ko:K02946	rpl:H375_8720
ko:K02906	rpl:H375_8730
ko:K02926	rpl:H375_8740
ko:K02892	rpl:H375_8750
ko:K02886	rpl:H375_8760
ko:K02965	rpl:H375_8770
ko:K02890	rpl:H375_8780
ko:K02982	rpl:H375_8790
