ko:K05343	cor:Cp267_0053
ko:K10805	cor:Cp267_1232
ko:K00995	cor:Cp267_1239
ko:K01868	cor:Cp267_1241
ko:K07156	cor:Cp267_1244
ko:K03684	cor:Cp267_1252
ko:K01662	cor:Cp267_1253
ko:K00886	cor:Cp267_1262
ko:K03086	cor:Cp267_1263
ko:K07560	cor:Cp267_1269
ko:K04756	cor:Cp267_1276
ko:K04761	cor:Cp267_1279
ko:K03578	cor:Cp267_1281
ko:K08369	cor:Cp267_2100
ko:K02939	cor:Cp267_2105
ko:K02990	cor:Cp267_2107
ko:K07146	cor:Cp267_2118
ko:K03975	cor:Cp267_2119
ko:K04047	cor:Cp267_2120
ko:K01421	cor:Cp267_2124
ko:K01869	cor:Cp267_2125
ko:K02003	cor:Cp267_2129
ko:K01443	cor:Cp267_2137
ko:K01524	cor:Cp267_0276
ko:K00286	cor:Cp267_0278
ko:K02492	cor:Cp267_0286
ko:K01749	cor:Cp267_0287
ko:K13542	cor:Cp267_0288
ko:K01698	cor:Cp267_0289
ko:K01599	cor:Cp267_0292
ko:K00231	cor:Cp267_0293
ko:K01845	cor:Cp267_0295
ko:K07399	cor:Cp267_0299
ko:K02013	cor:Cp267_0301
ko:K02016	cor:Cp267_0302
ko:K02015	cor:Cp267_0303
ko:K02548	cor:Cp267_0307
ko:K01911	cor:Cp267_0308
ko:K01661	cor:Cp267_0309
ko:K02551	cor:Cp267_0312
ko:K03183	cor:Cp267_0315
ko:K03073	cor:Cp267_0319
ko:K02601	cor:Cp267_0320
ko:K02867	cor:Cp267_0321
ko:K02863	cor:Cp267_0322
ko:K02864	cor:Cp267_0326
ko:K01935	cor:Cp267_1014
ko:K03305	cor:Cp267_1015
ko:K00833	cor:Cp267_1016
ko:K01935	cor:Cp267_1017
ko:K06024	cor:Cp267_1018
ko:K06178	cor:Cp267_1019
ko:K00945	cor:Cp267_1020
ko:K03977	cor:Cp267_1021
ko:K02016	cor:Cp267_1026
ko:K02015	cor:Cp267_1028
ko:K02013	cor:Cp267_1029
ko:K09858	cor:Cp267_1040
ko:K03070	cor:Cp267_1043
ko:K08999	cor:Cp267_1046
ko:K03284	cor:Cp267_1055
