ko:K02343	lmh:LMHCC_2830
ko:K09747	lmh:LMHCC_2831
ko:K06187	lmh:LMHCC_2832
ko:K05879	lmh:LMHCC_2839
ko:K05878	lmh:LMHCC_2840
ko:K01297	lmh:LMHCC_0924
ko:K12555	lmh:LMHCC_0313
ko:K02009	lmh:LMHCC_1446
ko:K01580	lmh:LMHCC_0240
ko:K01243	lmh:LMHCC_1076
ko:K01734	lmh:LMHCC_0651
ko:K00606	lmh:LMHCC_0655
ko:K01918	lmh:LMHCC_0656
ko:K01579	lmh:LMHCC_0657
ko:K01810	lmh:LMHCC_0232
ko:K02564	lmh:LMHCC_0247
ko:K01372	lmh:LMHCC_0267
ko:K00882	lmh:LMHCC_0270
ko:K02768	lmh:LMHCC_0271
ko:K02769	lmh:LMHCC_0271
ko:K02770	lmh:LMHCC_0271
ko:K02250	lmh:LMHCC_0273
ko:K03553	lmh:LMHCC_1171
ko:K00995	lmh:LMHCC_1173
ko:K00059	lmh:LMHCC_1175
ko:K00286	lmh:LMHCC_1182
ko:K03466	lmh:LMHCC_1183
ko:K07146	lmh:LMHCC_1185
ko:K01823	lmh:LMHCC_1186
ko:K01512	lmh:LMHCC_1189
ko:K03217	lmh:LMHCC_1191
ko:K00033	lmh:LMHCC_1194
ko:K09699	lmh:LMHCC_1197
ko:K00167	lmh:LMHCC_1198
ko:K00166	lmh:LMHCC_1199
ko:K00382	lmh:LMHCC_1200
ko:K00929	lmh:LMHCC_1201
ko:K03631	lmh:LMHCC_1203
ko:K03402	lmh:LMHCC_1204
ko:K06442	lmh:LMHCC_1205
ko:K01662	lmh:LMHCC_1206
ko:K03704	lmh:LMHCC_1207
ko:K03602	lmh:LMHCC_1209
ko:K03601	lmh:LMHCC_1210
ko:K03625	lmh:LMHCC_1212
ko:K02160	lmh:LMHCC_1215
ko:K02356	lmh:LMHCC_1216
ko:K01262	lmh:LMHCC_1217
ko:K00283	lmh:LMHCC_1221
ko:K00282	lmh:LMHCC_1222
ko:K00605	lmh:LMHCC_1223
ko:K02243	lmh:LMHCC_1224
ko:K01635	lmh:LMHCC_2092
ko:K01222	lmh:LMHCC_2095
ko:K09157	lmh:LMHCC_2097
ko:K07166	lmh:LMHCC_2098
ko:K01222	lmh:LMHCC_2111
ko:K08987	lmh:LMHCC_2114
ko:K07282	lmh:LMHCC_2123
ko:K00948	lmh:LMHCC_2131
ko:K02775	lmh:LMHCC_2132
ko:K02774	lmh:LMHCC_2133
ko:K01783	lmh:LMHCC_2135
ko:K02773	lmh:LMHCC_2137
ko:K01783	lmh:LMHCC_2141
ko:K00954	lmh:LMHCC_0508
ko:K07177	lmh:LMHCC_0509
ko:K07040	lmh:LMHCC_0512
ko:K00077	lmh:LMHCC_0514
ko:K08152	lmh:LMHCC_0517
ko:K03925	lmh:LMHCC_0518
ko:K03438	lmh:LMHCC_0519
ko:K08724	lmh:LMHCC_0521
ko:K01928	lmh:LMHCC_0522
ko:K01000	lmh:LMHCC_0524
ko:K01925	lmh:LMHCC_0526
ko:K07095	lmh:LMHCC_1413
ko:K00989	lmh:LMHCC_1415
ko:K01776	lmh:LMHCC_1416
ko:K00928	lmh:LMHCC_1418
ko:K03703	lmh:LMHCC_1419
ko:K03671	lmh:LMHCC_1420
ko:K07456	lmh:LMHCC_1421
ko:K09888	lmh:LMHCC_1424
ko:K03471	lmh:LMHCC_1425
ko:K03648	lmh:LMHCC_1426
ko:K06994	lmh:LMHCC_1427
ko:K02003	lmh:LMHCC_1430
ko:K01889	lmh:LMHCC_1432
ko:K03437	lmh:LMHCC_1435
ko:K09936	lmh:LMHCC_1440
ko:K09936	lmh:LMHCC_1441
ko:K02232	lmh:LMHCC_1443
ko:K02006	lmh:LMHCC_1444
ko:K02008	lmh:LMHCC_1445
ko:K02007	lmh:LMHCC_1447
ko:K02190	lmh:LMHCC_1449
ko:K05895	lmh:LMHCC_1451
ko:K02189	lmh:LMHCC_1453
ko:K05936	lmh:LMHCC_1454
ko:K03399	lmh:LMHCC_1456
ko:K02188	lmh:LMHCC_1457
ko:K06042	lmh:LMHCC_1458
ko:K02227	lmh:LMHCC_1459
ko:K04023	lmh:LMHCC_1464
ko:K02759	lmh:LMHCC_2329
ko:K02760	lmh:LMHCC_2331
ko:K02761	lmh:LMHCC_2332
ko:K00783	lmh:LMHCC_2335
ko:K07652	lmh:LMHCC_2342
ko:K07668	lmh:LMHCC_2343
ko:K08969	lmh:LMHCC_2344
ko:K02073	lmh:LMHCC_2345
ko:K02071	lmh:LMHCC_2346
ko:K02072	lmh:LMHCC_2347
ko:K04068	lmh:LMHCC_2353
ko:K10112	lmh:LMHCC_2355
ko:K01439	lmh:LMHCC_2369
ko:K03046	lmh:LMHCC_2372
ko:K03043	lmh:LMHCC_2373
ko:K00690	lmh:LMHCC_2375
ko:K02013	lmh:LMHCC_0173
ko:K05837	lmh:LMHCC_0175
ko:K02437	lmh:LMHCC_0177
ko:K02071	lmh:LMHCC_0183
ko:K02072	lmh:LMHCC_0184
ko:K02073	lmh:LMHCC_0185
ko:K09013	lmh:LMHCC_0187
ko:K04488	lmh:LMHCC_0190
ko:K09014	lmh:LMHCC_0191
ko:K03885	lmh:LMHCC_0207
ko:K09775	lmh:LMHCC_0212
ko:K05571	lmh:LMHCC_0214
ko:K05570	lmh:LMHCC_0215
ko:K05569	lmh:LMHCC_0216
ko:K05568	lmh:LMHCC_0217
ko:K05567	lmh:LMHCC_0218
ko:K05566	lmh:LMHCC_0219
ko:K01624	lmh:LMHCC_0411
ko:K01624	lmh:LMHCC_0412
ko:K03431	lmh:LMHCC_0428
ko:K02003	lmh:LMHCC_0432
ko:K01809	lmh:LMHCC_0436
ko:K01443	lmh:LMHCC_0438
ko:K04759	lmh:LMHCC_0442
ko:K04758	lmh:LMHCC_0443
ko:K08681	lmh:LMHCC_0447
ko:K06215	lmh:LMHCC_0448
ko:K02773	lmh:LMHCC_0451
ko:K02774	lmh:LMHCC_0452
ko:K02775	lmh:LMHCC_0453
ko:K00882	lmh:LMHCC_0454
ko:K01755	lmh:LMHCC_0458
ko:K01940	lmh:LMHCC_0459
ko:K00558	lmh:LMHCC_1402
ko:K05995	lmh:LMHCC_2270
ko:K01624	lmh:LMHCC_2273
ko:K02769	lmh:LMHCC_2274
ko:K02770	lmh:LMHCC_2274
ko:K05878	lmh:LMHCC_2286
ko:K05879	lmh:LMHCC_2287
ko:K01803	lmh:LMHCC_2288
ko:K01808	lmh:LMHCC_2289
ko:K00616	lmh:LMHCC_2291
ko:K00857	lmh:LMHCC_0053
ko:K02835	lmh:LMHCC_0054
ko:K02493	lmh:LMHCC_0055
ko:K07566	lmh:LMHCC_0056
ko:K00600	lmh:LMHCC_0058
ko:K00761	lmh:LMHCC_0059
ko:K02108	lmh:LMHCC_0063
ko:K02110	lmh:LMHCC_0064
ko:K02109	lmh:LMHCC_0065
ko:K02113	lmh:LMHCC_0066
ko:K02111	lmh:LMHCC_0067
ko:K02115	lmh:LMHCC_0068
ko:K02112	lmh:LMHCC_0069
ko:K02114	lmh:LMHCC_0070
ko:K00790	lmh:LMHCC_0072
ko:K03569	lmh:LMHCC_0073
ko:K02372	lmh:LMHCC_0074
ko:K03111	lmh:LMHCC_0075
ko:K02549	lmh:LMHCC_0079
ko:K02240	lmh:LMHCC_0086
ko:K03070	lmh:LMHCC_0089
ko:K02836	lmh:LMHCC_0090
ko:K09812	lmh:LMHCC_0092
ko:K09811	lmh:LMHCC_0093
ko:K06131	lmh:LMHCC_0097
ko:K07658	lmh:LMHCC_0099
ko:K07636	lmh:LMHCC_0100
ko:K02040	lmh:LMHCC_0101
ko:K02037	lmh:LMHCC_0102
ko:K02038	lmh:LMHCC_0103
ko:K02036	lmh:LMHCC_0104
ko:K02036	lmh:LMHCC_0105
ko:K02039	lmh:LMHCC_0106
ko:K07023	lmh:LMHCC_0109
ko:K02337	lmh:LMHCC_0994
ko:K01963	lmh:LMHCC_0995
ko:K01962	lmh:LMHCC_0996
ko:K00850	lmh:LMHCC_0998
ko:K00873	lmh:LMHCC_0999
ko:K07113	lmh:LMHCC_1000
ko:K01647	lmh:LMHCC_1002
ko:K00031	lmh:LMHCC_1003
ko:K02335	lmh:LMHCC_1004
ko:K10563	lmh:LMHCC_1005
ko:K00859	lmh:LMHCC_1006
ko:K07738	lmh:LMHCC_1007
ko:K03346	lmh:LMHCC_1008
ko:K11144	lmh:LMHCC_1009
ko:K01868	lmh:LMHCC_1010
ko:K03978	lmh:LMHCC_1011
ko:K02492	lmh:LMHCC_1012
ko:K01749	lmh:LMHCC_1013
ko:K01719	lmh:LMHCC_1014
ko:K01698	lmh:LMHCC_1015
ko:K01845	lmh:LMHCC_1016
ko:K01873	lmh:LMHCC_1017
ko:K03630	lmh:LMHCC_1020
ko:K03569	lmh:LMHCC_1021
ko:K03570	lmh:LMHCC_1022
ko:K03571	lmh:LMHCC_1023
ko:K03610	lmh:LMHCC_1024
ko:K03609	lmh:LMHCC_1025
ko:K08301	lmh:LMHCC_1026
ko:K02888	lmh:LMHCC_1027
ko:K07584	lmh:LMHCC_1028
ko:K02899	lmh:LMHCC_1029
ko:K02440	lmh:LMHCC_1030
ko:K00864	lmh:LMHCC_1031
ko:K03979	lmh:LMHCC_1032
ko:K00016	lmh:LMHCC_1035
ko:K03550	lmh:LMHCC_1036
ko:K03551	lmh:LMHCC_1037
ko:K07568	lmh:LMHCC_1038
ko:K00773	lmh:LMHCC_1039
ko:K03210	lmh:LMHCC_1040
ko:K07462	lmh:LMHCC_1044
ko:K00615	lmh:LMHCC_2292
ko:K01507	lmh:LMHCC_2294
