ko:K08483	tph:TPChic_0575
ko:K11189	tph:TPChic_0589
ko:K06023	tph:TPChic_0591
ko:K00939	tph:TPChic_0595
ko:K06179	tph:TPChic_0231
ko:K02342	tph:TPChic_0643
ko:K11072	tph:TPChic_0652
ko:K11071	tph:TPChic_0653
ko:K11069	tph:TPChic_0655
ko:K01885	tph:TPChic_0673
ko:K01409	tph:TPChic_0680
ko:K02427	tph:TPChic_0682
ko:K10540	tph:TPChic_0684
ko:K10541	tph:TPChic_0686
ko:K03469	tph:TPChic_0353
ko:K03409	tph:TPChic_0365
ko:K10843	tph:TPChic_0380
ko:K04763	tph:TPChic_0391
ko:K07258	tph:TPChic_0800
ko:K06976	tph:TPChic_0815
ko:K00784	tph:TPChic_0819
ko:K01619	tph:TPChic_0264
ko:K00974	tph:TPChic_0270
ko:K02056	tph:TPChic_0299
ko:K01934	tph:TPChic_0694
ko:K09749	tph:TPChic_0710
ko:K03784	tph:TPChic_0734
ko:K02030	tph:TPChic_0308
ko:K08974	tph:TPChic_0312
ko:K02056	tph:TPChic_0321
ko:K00033	tph:TPChic_0331
ko:K07052	tph:TPChic_0335
ko:K07584	tph:TPChic_0744
ko:K01006	tph:TPChic_0746
ko:K02806	tph:TPChic_0755
ko:K14235	tph:TPChic_t14
ko:K00970	tph:TPChic_0596
ko:K02062	tph:TPChic_0142
ko:K14226	tph:TPChic_t32
ko:K01834	tph:TPChic_0168
ko:K00850	tph:TPChic_0108
ko:K14237	tph:TPChic_t36
ko:K16783	tph:TPChic_0226
ko:K16784	tph:TPChic_0227
ko:K14219	tph:TPChic_t03
ko:K14219	tph:TPChic_t30
ko:K14237	tph:TPChic_t09
ko:K01980	tph:TPChic_r02
ko:K01980	tph:TPChic_r05
ko:K14234	tph:TPChic_t13
ko:K14234	tph:TPChic_t19
ko:K14234	tph:TPChic_t42
ko:K14230	tph:TPChic_t29
ko:K01977	tph:TPChic_r01
ko:K01977	tph:TPChic_r04
ko:K14227	tph:TPChic_t12
ko:K14218	tph:TPChic_t15
ko:K14218	tph:TPChic_t41
ko:K14218	tph:TPChic_t44
ko:K14236	tph:TPChic_t20
ko:K01978	tph:TPChic_0494a
ko:K14229	tph:TPChic_t21
ko:K14229	tph:TPChic_t39
ko:K14220	tph:TPChic_t24
ko:K14222	tph:TPChic_t25
ko:K14232	tph:TPChic_t27
ko:K14232	tph:TPChic_t34
ko:K14232	tph:TPChic_t38
ko:K14221	tph:TPChic_t28
ko:K14231	tph:TPChic_t33
ko:K14225	tph:TPChic_t17
ko:K14225	tph:TPChic_t23
ko:K14219	tph:TPChic_t35
ko:K14228	tph:TPChic_t40
ko:K14228	tph:TPChic_0993a
ko:K14237	tph:TPChic_t43
ko:K00895	tph:TPChic_0542
ko:K09810	tph:TPChic_0581
ko:K02003	tph:TPChic_0964
ko:K01983	tph:TPChic_0020a
ko:K14233	tph:TPChic_t01
ko:K14233	tph:TPChic_t02
ko:K14233	tph:TPChic_t04
ko:K14233	tph:TPChic_t05
ko:K14219	tph:TPChic_t31
ko:K14219	tph:TPChic_t26
ko:K14223	tph:TPChic_t06
ko:K14223	tph:TPChic_t18
ko:K14224	tph:TPChic_t07
ko:K14224	tph:TPChic_t08
ko:K14228	tph:TPChic_t10
ko:K14228	tph:TPChic_t16
ko:K14228	tph:TPChic_t22
ko:K14230	tph:TPChic_t11
ko:K07091	tph:TPChic_0884
ko:K11720	tph:TPChic_0883
ko:K15035	tph:TPChic_tm1
ko:K11070	tph:TPChic_0654
ko:K10112	tph:TPChic_0804
ko:K01992	tph:TPChic_0880
ko:K01990	tph:TPChic_0881
ko:K01985	tph:TPChic_r06
ko:K01985	tph:TPChic_r03
ko:K17686	tph:TPChic_1036
ko:K02026	tph:TPChic_0076
ko:K06972	tph:TPChic_0025
ko:K02027	tph:TPChic_0074
ko:K02058	tph:TPChic_0298
ko:K07003	tph:TPChic_0790
ko:K03406	tph:TPChic_0040
ko:K04764	tph:TPChic_0251
ko:K02986	tph:TPChic_0306
ko:K02911	tph:TPChic_0807
ko:K06881	tph:TPChic_0436
ko:K03060	tph:TPChic_0701
ko:K06378	tph:TPChic_0220
ko:K01768	tph:TPChic_0485
ko:K18707	tph:TPChic_0269
ko:K18682	tph:TPChic_1018
ko:K04749	tph:TPChic_0540
ko:K03111	tph:TPChic_0062
ko:K03497	tph:TPChic_0271
ko:K03496	tph:TPChic_0272
ko:K00849	tph:TPChic_0418
ko:K14742	tph:TPChic_0876
ko:K03526	tph:TPChic_0446
ko:K06867	tph:TPChic_0502
ko:K06867	tph:TPChic_0835
ko:K02806	tph:TPChic_0085
ko:K11751	tph:TPChic_0104
ko:K00525	tph:TPChic_1008
ko:K03733	tph:TPChic_0395
ko:K03498	tph:TPChic_0140
ko:K18672	tph:TPChic_0826
ko:K02316	tph:TPChic_0492
ko:K02314	tph:TPChic_0058
ko:K01493	tph:TPChic_0274
ko:K02335	tph:TPChic_0105
ko:K03546	tph:TPChic_0627
ko:K03553	tph:TPChic_0692
ko:K06223	tph:TPChic_0810
ko:K03465	tph:TPChic_1007
ko:K01520	tph:TPChic_0885
ko:K02027	tph:TPChic_0737
ko:K02383	tph:TPChic_0567
ko:K00526	tph:TPChic_0053
ko:K21929	tph:TPChic_0229
ko:K03595	tph:TPChic_0541
