ko:K02907	tpm:TPESAMD_0206a
ko:K02876	tpm:TPESAMD_0207
ko:K03076	tpm:TPESAMD_0208
ko:K02919	tpm:TPESAMD_0209
ko:K02952	tpm:TPESAMD_0210
ko:K02948	tpm:TPESAMD_0211
ko:K03040	tpm:TPESAMD_0212
ko:K02879	tpm:TPESAMD_0213
ko:K03687	tpm:TPESAMD_0215
ko:K04043	tpm:TPESAMD_0216
ko:K03686	tpm:TPESAMD_0217
ko:K03523	tpm:TPESAMD_0228
ko:K04066	tpm:TPESAMD_0230
ko:K06179	tpm:TPESAMD_0231
ko:K02913	tpm:TPESAMD_0234
ko:K03073	tpm:TPESAMD_0235
ko:K02601	tpm:TPESAMD_0236
ko:K02867	tpm:TPESAMD_0237
ko:K02863	tpm:TPESAMD_0238
ko:K02864	tpm:TPESAMD_0239
ko:K02935	tpm:TPESAMD_0240
ko:K03043	tpm:TPESAMD_0241
ko:K03046	tpm:TPESAMD_0242
ko:K02950	tpm:TPESAMD_0243
ko:K11717	tpm:TPESAMD_0614
ko:K04488	tpm:TPESAMD_0615
ko:K01807	tpm:TPESAMD_0616
ko:K08307	tpm:TPESAMD_0623
ko:K03547	tpm:TPESAMD_0626
ko:K00763	tpm:TPESAMD_0628
ko:K00575	tpm:TPESAMD_0630
ko:K03412	tpm:TPESAMD_0631
ko:K01867	tpm:TPESAMD_0632
ko:K12267	tpm:TPESAMD_0633
ko:K01972	tpm:TPESAMD_0634
ko:K00791	tpm:TPESAMD_0637
ko:K09775	tpm:TPESAMD_0153
ko:K02992	tpm:TPESAMD_0244
ko:K01448	tpm:TPESAMD_0247
ko:K04764	tpm:TPESAMD_0251
ko:K00057	tpm:TPESAMD_1009
ko:K00940	tpm:TPESAMD_1010
ko:K01056	tpm:TPESAMD_1011
ko:K03087	tpm:TPESAMD_1012
ko:K04078	tpm:TPESAMD_1013
ko:K03625	tpm:TPESAMD_1015
ko:K01872	tpm:TPESAMD_1017
ko:K02435	tpm:TPESAMD_1019
ko:K02433	tpm:TPESAMD_1020
ko:K02434	tpm:TPESAMD_1021
ko:K04485	tpm:TPESAMD_1022
ko:K03565	tpm:TPESAMD_1023
ko:K02996	tpm:TPESAMD_1024
ko:K02871	tpm:TPESAMD_1025
ko:K00757	tpm:TPESAMD_1027
ko:K03657	tpm:TPESAMD_1028
ko:K07001	tpm:TPESAMD_1033
ko:K07301	tpm:TPESAMD_1034
ko:K01873	tpm:TPESAMD_1035
ko:K17686	tpm:TPESAMD_1036
ko:K11068	tpm:TPESAMD_1037
ko:K04047	tpm:TPESAMD_1038
ko:K00759	tpm:TPESAMD_1039
ko:K04568	tpm:TPESAMD_1040
ko:K01358	tpm:TPESAMD_1041
ko:K01835	tpm:TPESAMD_0642
ko:K02342	tpm:TPESAMD_0643
ko:K04566	tpm:TPESAMD_0644
ko:K01875	tpm:TPESAMD_0647
ko:K07042	tpm:TPESAMD_0650
ko:K07037	tpm:TPESAMD_0651
ko:K11072	tpm:TPESAMD_0652
ko:K11071	tpm:TPESAMD_0653
