ko:K08306	hiu:HIB_08920
ko:K06211	hiu:HIB_08940
ko:K07270	hiu:HIB_08960
ko:K03216	hiu:HIB_08970
ko:K03110	hiu:HIB_08990
ko:K09812	hiu:HIB_09000
ko:K09811	hiu:HIB_09010
ko:K02106	hiu:HIB_09030
ko:K01034	hiu:HIB_09050
ko:K02946	hiu:HIB_09070
ko:K02906	hiu:HIB_09080
ko:K02926	hiu:HIB_09090
ko:K02892	hiu:HIB_09100
ko:K02886	hiu:HIB_09110
ko:K02965	hiu:HIB_09120
ko:K02890	hiu:HIB_09130
ko:K02982	hiu:HIB_09140
ko:K02878	hiu:HIB_09150
ko:K02904	hiu:HIB_09160
ko:K02961	hiu:HIB_09170
ko:K02874	hiu:HIB_09200
ko:K02895	hiu:HIB_09210
ko:K02931	hiu:HIB_09220
ko:K02954	hiu:HIB_09230
ko:K02994	hiu:HIB_09240
ko:K02933	hiu:HIB_09250
ko:K02881	hiu:HIB_09260
ko:K02988	hiu:HIB_09270
ko:K02907	hiu:HIB_09280
ko:K02876	hiu:HIB_09290
ko:K03076	hiu:HIB_09300
ko:K02919	hiu:HIB_09310
ko:K02952	hiu:HIB_09320
ko:K02948	hiu:HIB_09330
ko:K02986	hiu:HIB_09340
ko:K03040	hiu:HIB_09350
ko:K02879	hiu:HIB_09360
ko:K06871	hiu:HIB_09380
ko:K07090	hiu:HIB_09390
ko:K00099	hiu:HIB_09400
ko:K02838	hiu:HIB_09410
ko:K01610	hiu:HIB_09420
ko:K04083	hiu:HIB_09430
ko:K01755	hiu:HIB_09440
ko:K00963	hiu:HIB_09450
ko:K03563	hiu:HIB_09460
ko:K01872	hiu:HIB_09470
ko:K00919	hiu:HIB_17880
ko:K00948	hiu:HIB_17890
ko:K01866	hiu:HIB_17900
ko:K06206	hiu:HIB_17910
ko:K03327	hiu:HIB_17920
ko:K00793	hiu:HIB_17930
ko:K01256	hiu:HIB_17940
ko:K01588	hiu:HIB_17950
ko:K01589	hiu:HIB_17960
ko:K02007	hiu:HIB_18000
ko:K09908	hiu:HIB_18070
ko:K02897	hiu:HIB_18090
ko:K01939	hiu:HIB_18120
ko:K01595	hiu:HIB_18150
ko:K06918	hiu:HIB_18160
ko:K06173	hiu:HIB_18230
ko:K03841	hiu:HIB_18240
ko:K06215	hiu:HIB_18260
ko:K08681	hiu:HIB_18270
ko:K03777	hiu:HIB_18280
ko:K13694	hiu:HIB_18310
ko:K03568	hiu:HIB_18320
