ko:K16697	bamt:AJ82_18485
ko:K16694	bamt:AJ82_18490
ko:K01448	bamt:AJ82_18500
ko:K01791	bamt:AJ82_18520
ko:K00963	bamt:AJ82_18530
ko:K09693	bamt:AJ82_18535
ko:K00712	bamt:AJ82_18555
ko:K05946	bamt:AJ82_18565
ko:K01809	bamt:AJ82_18580
ko:K07566	bamt:AJ82_19260
ko:K06387	bamt:AJ82_19270
ko:K02493	bamt:AJ82_19285
ko:K02835	bamt:AJ82_19290
ko:K08234	bamt:AJ82_19295
ko:K11686	bamt:AJ82_19300
ko:K07088	bamt:AJ82_19305
ko:K00027	bamt:AJ82_19310
ko:K02909	bamt:AJ82_19320
ko:K03628	bamt:AJ82_19325
ko:K02446	bamt:AJ82_19340
ko:K00790	bamt:AJ82_19345
ko:K00616	bamt:AJ82_19350
ko:K01624	bamt:AJ82_19355
ko:K02490	bamt:AJ82_19360
ko:K01937	bamt:AJ82_19370
ko:K03048	bamt:AJ82_19375
ko:K06131	bamt:AJ82_19390
ko:K06147	bamt:AJ82_19405
ko:K06131	bamt:AJ82_19410
ko:K00374	bamt:AJ82_19420
ko:K00373	bamt:AJ82_19425
ko:K00371	bamt:AJ82_19430
ko:K00370	bamt:AJ82_19435
ko:K02575	bamt:AJ82_19460
ko:K01887	bamt:AJ82_19465
ko:K07729	bamt:AJ82_19500
ko:K01480	bamt:AJ82_19535
ko:K00797	bamt:AJ82_19540
ko:K03648	bamt:AJ82_19870
ko:K00868	bamt:AJ82_19895
ko:K01193	bamt:AJ82_19905
ko:K02809	bamt:AJ82_19910
ko:K02810	bamt:AJ82_19910
ko:K03488	bamt:AJ82_19915
ko:K14647	bamt:AJ82_19925
ko:K05837	bamt:AJ82_19950
ko:K03829	bamt:AJ82_19955
ko:K02829	bamt:AJ82_19970
ko:K02828	bamt:AJ82_19975
ko:K02827	bamt:AJ82_19980
ko:K02826	bamt:AJ82_19985
ko:K00965	bamt:AJ82_20000
ko:K00849	bamt:AJ82_20005
ko:K16301	bamt:AJ82_20045
ko:K00788	bamt:AJ82_20055
ko:K00878	bamt:AJ82_20060
ko:K06518	bamt:AJ82_20070
ko:K06969	bamt:AJ82_20105
ko:K01759	bamt:AJ82_20110
ko:K02761	bamt:AJ82_20115
ko:K02548	bamt:AJ82_20140
ko:K03367	bamt:AJ82_20155
ko:K03739	bamt:AJ82_20160
ko:K14188	bamt:AJ82_20165
ko:K02313	bamt:AJ82_00005
ko:K02338	bamt:AJ82_00010
ko:K03629	bamt:AJ82_00020
ko:K02470	bamt:AJ82_00030
ko:K02469	bamt:AJ82_00035
ko:K07571	bamt:AJ82_00390
ko:K06382	bamt:AJ82_00410
ko:K07114	bamt:AJ82_00415
ko:K00760	bamt:AJ82_00430
ko:K03798	bamt:AJ82_00435
ko:K03525	bamt:AJ82_00440
ko:K04083	bamt:AJ82_00445
ko:K01738	bamt:AJ82_00455
ko:K01665	bamt:AJ82_00460
ko:K01664	bamt:AJ82_00465
ko:K02619	bamt:AJ82_00470
ko:K00796	bamt:AJ82_00475
ko:K01633	bamt:AJ82_00480
ko:K00950	bamt:AJ82_00485
ko:K04567	bamt:AJ82_00500
ko:K03708	bamt:AJ82_00525
ko:K03696	bamt:AJ82_00540
ko:K04485	bamt:AJ82_00545
ko:K07067	bamt:AJ82_00550
ko:K00991	bamt:AJ82_00560
ko:K01770	bamt:AJ82_00565
ko:K09698	bamt:AJ82_00570
ko:K00640	bamt:AJ82_00580
ko:K01883	bamt:AJ82_00585
ko:K11145	bamt:AJ82_00590
ko:K03218	bamt:AJ82_00595
ko:K06962	bamt:AJ82_00600
ko:K03091	bamt:AJ82_00605
ko:K02913	bamt:AJ82_00610
ko:K03073	bamt:AJ82_00615
ko:K02601	bamt:AJ82_00620
ko:K02867	bamt:AJ82_00625
ko:K02863	bamt:AJ82_00630
ko:K02864	bamt:AJ82_00635
ko:K02935	bamt:AJ82_00640
ko:K00564	bamt:AJ82_00645
ko:K03043	bamt:AJ82_00650
ko:K03046	bamt:AJ82_00655
ko:K07590	bamt:AJ82_00660
ko:K02950	bamt:AJ82_00665
ko:K02992	bamt:AJ82_00670
ko:K02355	bamt:AJ82_00675
ko:K02358	bamt:AJ82_00680
ko:K02946	bamt:AJ82_00695
ko:K02906	bamt:AJ82_00700
ko:K06366	bamt:AJ82_01090
ko:K01356	bamt:AJ82_01110
ko:K08174	bamt:AJ82_01145
ko:K01092	bamt:AJ82_01155
ko:K03321	bamt:AJ82_01165
ko:K02015	bamt:AJ82_01180
ko:K02015	bamt:AJ82_01185
ko:K02016	bamt:AJ82_01190
ko:K01207	bamt:AJ82_01205
ko:K02809	bamt:AJ82_01215
ko:K02810	bamt:AJ82_01215
ko:K07106	bamt:AJ82_01225
ko:K03088	bamt:AJ82_01265
ko:K03431	bamt:AJ82_01285
ko:K00820	bamt:AJ82_01300
ko:K06518	bamt:AJ82_01335
ko:K15656	bamt:AJ82_02015
ko:K15657	bamt:AJ82_02020
ko:K06133	bamt:AJ82_02050
ko:K10010	bamt:AJ82_02060
ko:K10009	bamt:AJ82_02065
ko:K02424	bamt:AJ82_02070
ko:K03186	bamt:AJ82_02080
ko:K03305	bamt:AJ82_02100
ko:K06295	bamt:AJ82_02120
ko:K06297	bamt:AJ82_02125
ko:K06296	bamt:AJ82_02130
ko:K16961	bamt:AJ82_02145
