ko:K07260	bans:BAPAT_2419
ko:K01448	bans:BAPAT_2421
ko:K11032	bans:BAPAT_2423
ko:K01069	bans:BAPAT_2433
ko:K01990	bans:BAPAT_2436
ko:K01992	bans:BAPAT_2437
ko:K01961	bans:BAPAT_2442
ko:K02160	bans:BAPAT_2443
ko:K01640	bans:BAPAT_2444
ko:K00059	bans:BAPAT_3292
ko:K07078	bans:BAPAT_3295
ko:K03837	bans:BAPAT_3302
ko:K16509	bans:BAPAT_3307
ko:K00574	bans:BAPAT_3311
ko:K00064	bans:BAPAT_3314
ko:K03093	bans:BAPAT_3334
ko:K07052	bans:BAPAT_3337
ko:K09699	bans:BAPAT_4203
ko:K00167	bans:BAPAT_4204
ko:K00166	bans:BAPAT_4205
ko:K00382	bans:BAPAT_4206
ko:K00929	bans:BAPAT_4207
ko:K00263	bans:BAPAT_4208
ko:K01126	bans:BAPAT_4212
ko:K07699	bans:BAPAT_4215
ko:K06399	bans:BAPAT_4216
ko:K03631	bans:BAPAT_4217
ko:K03402	bans:BAPAT_4218
ko:K06442	bans:BAPAT_4219
ko:K01662	bans:BAPAT_4220
ko:K13789	bans:BAPAT_4221
ko:K03602	bans:BAPAT_4222
ko:K03601	bans:BAPAT_4223
ko:K01491	bans:BAPAT_4224
ko:K03625	bans:BAPAT_4225
ko:K01961	bans:BAPAT_4227
ko:K02160	bans:BAPAT_4228
ko:K06397	bans:BAPAT_4229
ko:K06396	bans:BAPAT_4230
ko:K06395	bans:BAPAT_4231
ko:K06394	bans:BAPAT_4232
ko:K06393	bans:BAPAT_4233
ko:K06392	bans:BAPAT_4234
ko:K06391	bans:BAPAT_4235
ko:K06390	bans:BAPAT_4236
ko:K02356	bans:BAPAT_4239
ko:K03786	bans:BAPAT_4241
ko:K07025	bans:BAPAT_4245
ko:K03716	bans:BAPAT_4247
ko:K03800	bans:BAPAT_4250
ko:K03217	bans:BAPAT_5046
ko:K07729	bans:BAPAT_5053
ko:K01874	bans:BAPAT_5061
ko:K03406	bans:BAPAT_5063
ko:K08777	bans:BAPAT_5065
ko:K06911	bans:BAPAT_5066
ko:K03455	bans:BAPAT_5069
ko:K07228	bans:BAPAT_5070
ko:K03310	bans:BAPAT_5071
ko:K04047	bans:BAPAT_5072
ko:K06966	bans:BAPAT_5076
ko:K02217	bans:BAPAT_5078
ko:K07148	bans:BAPAT_5080
ko:K11535	bans:BAPAT_5081
ko:K03317	bans:BAPAT_5082
ko:K03310	bans:BAPAT_5083
ko:K03310	bans:BAPAT_5084
ko:K07118	bans:BAPAT_5085
ko:K03885	bans:BAPAT_5094
ko:K01866	bans:BAPAT_5095
ko:K00075	bans:BAPAT_5096
ko:K07117	bans:BAPAT_5097
ko:K03406	bans:BAPAT_5098
ko:K06199	bans:BAPAT_5100
ko:K06199	bans:BAPAT_5101
ko:K08987	bans:BAPAT_1006
ko:K09167	bans:BAPAT_1011
ko:K08981	bans:BAPAT_1012
ko:K01599	bans:BAPAT_1015
ko:K01772	bans:BAPAT_1016
ko:K00231	bans:BAPAT_1017
ko:K07004	bans:BAPAT_1019
ko:K01421	bans:BAPAT_1025
ko:K03800	bans:BAPAT_1033
ko:K01897	bans:BAPAT_1035
ko:K07098	bans:BAPAT_1052
ko:K06885	bans:BAPAT_1053
ko:K03088	bans:BAPAT_1055
ko:K13653	bans:BAPAT_1056
ko:K07052	bans:BAPAT_1060
ko:K00274	bans:BAPAT_1931
ko:K00657	bans:BAPAT_1935
ko:K09815	bans:BAPAT_1944
ko:K00567	bans:BAPAT_1948
ko:K11210	bans:BAPAT_1951
ko:K06330	bans:BAPAT_1955
ko:K03284	bans:BAPAT_1959
ko:K07089	bans:BAPAT_1960
ko:K08986	bans:BAPAT_1961
ko:K06131	bans:BAPAT_1963
ko:K09793	bans:BAPAT_1968
ko:K03311	bans:BAPAT_1972
ko:K06878	bans:BAPAT_1973
ko:K06385	bans:BAPAT_1975
ko:K01426	bans:BAPAT_1979
ko:K01834	bans:BAPAT_1983
ko:K03088	bans:BAPAT_2847
