ko:K00162	xoz:BE73_21995
ko:K00627	xoz:BE73_22005
ko:K07481	xoz:BE73_22015
ko:K02014	xoz:BE73_05115
ko:K06901	xoz:BE73_05130
ko:K10805	xoz:BE73_05175
ko:K07107	xoz:BE73_05190
ko:K03701	xoz:BE73_05195
ko:K02888	xoz:BE73_05200
ko:K02899	xoz:BE73_05205
ko:K03979	xoz:BE73_05210
ko:K02968	xoz:BE73_05215
ko:K03980	xoz:BE73_05220
ko:K11753	xoz:BE73_05225
ko:K01870	xoz:BE73_05230
ko:K03101	xoz:BE73_05235
ko:K03527	xoz:BE73_05240
ko:K02297	xoz:BE73_05250
ko:K02298	xoz:BE73_05255
ko:K02299	xoz:BE73_05260
ko:K02300	xoz:BE73_05265
ko:K07497	xoz:BE73_05315
ko:K07481	xoz:BE73_05345
ko:K07497	xoz:BE73_05360
ko:K07497	xoz:BE73_05370
ko:K04485	xoz:BE73_05380
ko:K07481	xoz:BE73_05395
ko:K07497	xoz:BE73_05405
ko:K04079	xoz:BE73_05435
ko:K17763	xoz:BE73_05450
ko:K17762	xoz:BE73_05455
ko:K17752	xoz:BE73_05460
ko:K00799	xoz:BE73_10000
ko:K00759	xoz:BE73_10015
ko:K05591	xoz:BE73_10020
ko:K15738	xoz:BE73_10025
ko:K04564	xoz:BE73_10045
ko:K01092	xoz:BE73_10050
ko:K15396	xoz:BE73_10055
ko:K02044	xoz:BE73_10060
ko:K02356	xoz:BE73_10075
ko:K00568	xoz:BE73_10090
ko:K06911	xoz:BE73_10140
ko:K00941	xoz:BE73_10180
ko:K07175	xoz:BE73_10190
ko:K03564	xoz:BE73_10195
ko:K03567	xoz:BE73_10205
ko:K01714	xoz:BE73_10210
ko:K05524	xoz:BE73_10220
ko:K00883	xoz:BE73_10225
ko:K01684	xoz:BE73_10235
ko:K01631	xoz:BE73_10240
ko:K15923	xoz:BE73_10260
ko:K00854	xoz:BE73_10265
ko:K01805	xoz:BE73_10270
ko:K01448	xoz:BE73_10280
ko:K09007	xoz:BE73_10285
ko:K00970	xoz:BE73_10300
ko:K00950	xoz:BE73_10305
ko:K00606	xoz:BE73_10310
ko:K09803	xoz:BE73_12755
ko:K06959	xoz:BE73_12805
ko:K03821	xoz:BE73_12830
ko:K17103	xoz:BE73_12840
ko:K00019	xoz:BE73_12845
ko:K03574	xoz:BE73_12850
ko:K09920	xoz:BE73_12855
ko:K09773	xoz:BE73_12860
ko:K13288	xoz:BE73_12875
ko:K11924	xoz:BE73_12885
ko:K03322	xoz:BE73_12890
ko:K03406	xoz:BE73_12910
ko:K03717	xoz:BE73_12945
ko:K05577	xoz:BE73_12950
ko:K09822	xoz:BE73_12955
ko:K01951	xoz:BE73_12960
ko:K00088	xoz:BE73_12965
ko:K01491	xoz:BE73_12970
ko:K09948	xoz:BE73_12975
ko:K11747	xoz:BE73_12985
ko:K00963	xoz:BE73_13000
ko:K05788	xoz:BE73_13025
ko:K02945	xoz:BE73_13030
ko:K00945	xoz:BE73_13035
ko:K02919	xoz:BE73_13040
ko:K12251	xoz:BE73_13060
ko:K03823	xoz:BE73_13065
ko:K00053	xoz:BE73_17595
ko:K01652	xoz:BE73_17600
ko:K11258	xoz:BE73_17605
ko:K01754	xoz:BE73_17610
ko:K01649	xoz:BE73_17615
ko:K00052	xoz:BE73_17620
ko:K01704	xoz:BE73_17630
ko:K01703	xoz:BE73_17635
ko:K00573	xoz:BE73_17655
ko:K12340	xoz:BE73_17660
ko:K02527	xoz:BE73_17665
ko:K02517	xoz:BE73_17670
ko:K00029	xoz:BE73_17700
ko:K11103	xoz:BE73_17705
ko:K07221	xoz:BE73_17715
ko:K03288	xoz:BE73_17725
ko:K02012	xoz:BE73_17765
ko:K07649	xoz:BE73_17770
ko:K07774	xoz:BE73_17775
ko:K07221	xoz:BE73_17780
ko:K03300	xoz:BE73_17785
ko:K00023	xoz:BE73_17790
ko:K16211	xoz:BE73_17800
ko:K05341	xoz:BE73_17810
ko:K06949	xoz:BE73_17825
ko:K14260	xoz:BE73_17830
ko:K07390	xoz:BE73_17850
ko:K07497	xoz:BE73_17860
ko:K00661	xoz:BE73_22430
ko:K03657	xoz:BE73_22440
ko:K06131	xoz:BE73_22460
ko:K10218	xoz:BE73_22470
ko:K16514	xoz:BE73_22475
ko:K10220	xoz:BE73_22480
ko:K02913	xoz:BE73_22485
ko:K02902	xoz:BE73_22490
ko:K03501	xoz:BE73_22505
ko:K01113	xoz:BE73_22510
ko:K01113	xoz:BE73_22515
ko:K06133	xoz:BE73_22520
ko:K01142	xoz:BE73_22540
ko:K14393	xoz:BE73_22555
ko:K01895	xoz:BE73_22570
ko:K18786	xoz:BE73_22625
ko:K03292	xoz:BE73_22630
ko:K00851	xoz:BE73_22635
ko:K07481	xoz:BE73_22650
ko:K07491	xoz:BE73_22660
ko:K01284	xoz:BE73_22670
ko:K15034	xoz:BE73_22685
ko:K09924	xoz:BE73_22690
ko:K06175	xoz:BE73_22695
ko:K03688	xoz:BE73_22710
ko:K03690	xoz:BE73_22715
ko:K01921	xoz:BE73_22725
ko:K01028	xoz:BE73_04470
ko:K01029	xoz:BE73_04475
ko:K00311	xoz:BE73_04485
ko:K18480	xoz:BE73_04495
ko:K02067	xoz:BE73_04500
ko:K02065	xoz:BE73_04505
ko:K02066	xoz:BE73_04515
ko:K03746	xoz:BE73_04525
ko:K01881	xoz:BE73_04530
ko:K17103	xoz:BE73_04540
ko:K03789	xoz:BE73_04550
ko:K01728	xoz:BE73_04565
ko:K08309	xoz:BE73_04570
ko:K01873	xoz:BE73_04580
ko:K02339	xoz:BE73_04585
ko:K01255	xoz:BE73_04595
ko:K07091	xoz:BE73_04600
ko:K11720	xoz:BE73_04605
ko:K04763	xoz:BE73_04620
ko:K03981	xoz:BE73_04625
ko:K01952	xoz:BE73_04630
ko:K14645	xoz:BE73_04640
ko:K02454	xoz:BE73_04645
ko:K02455	xoz:BE73_04655
ko:K02456	xoz:BE73_04660
ko:K02457	xoz:BE73_04665
ko:K02458	xoz:BE73_04670
ko:K02459	xoz:BE73_04675
ko:K02460	xoz:BE73_04680
ko:K02461	xoz:BE73_04685
ko:K02462	xoz:BE73_04690
ko:K02463	xoz:BE73_04695
ko:K02453	xoz:BE73_04700
ko:K03811	xoz:BE73_04720
ko:K02014	xoz:BE73_04725
ko:K00763	xoz:BE73_04760
ko:K00537	xoz:BE73_04775
ko:K03724	xoz:BE73_09650
ko:K03724	xoz:BE73_09660
ko:K03406	xoz:BE73_09670
ko:K03408	xoz:BE73_09675
ko:K01644	xoz:BE73_09735
ko:K18581	xoz:BE73_09740
ko:K08162	xoz:BE73_09770
ko:K07733	xoz:BE73_09820
ko:K07497	xoz:BE73_09845
ko:K01971	xoz:BE73_09875
ko:K01971	xoz:BE73_09885
ko:K01971	xoz:BE73_09895
ko:K03684	xoz:BE73_09900
ko:K03601	xoz:BE73_09915
ko:K17758	xoz:BE73_09925
ko:K17759	xoz:BE73_09925
ko:K06925	xoz:BE73_09930
ko:K01448	xoz:BE73_09935
ko:K03572	xoz:BE73_09940
ko:K09164	xoz:BE73_09945
ko:K09973	xoz:BE73_09950
ko:K00023	xoz:BE73_09960
ko:K01894	xoz:BE73_09965
ko:K03799	xoz:BE73_09970
ko:K07007	xoz:BE73_09980
ko:K09768	xoz:BE73_09990
ko:K03704	xoz:BE73_09995
ko:K03772	xoz:BE73_12430
ko:K07007	xoz:BE73_12435
ko:K02474	xoz:BE73_12440
ko:K07481	xoz:BE73_12490
ko:K07481	xoz:BE73_12495
ko:K00995	xoz:BE73_12525
ko:K03703	xoz:BE73_12530
ko:K01104	xoz:BE73_12540
ko:K00979	xoz:BE73_12545
ko:K00912	xoz:BE73_12550
ko:K11085	xoz:BE73_12555
ko:K03559	xoz:BE73_12560
ko:K03561	xoz:BE73_12565
ko:K02238	xoz:BE73_12570
