ko:K02115	lmok:CQ02_12840
ko:K02111	lmok:CQ02_12845
ko:K02113	lmok:CQ02_12850
ko:K02304	lmok:CQ02_05870
ko:K04031	lmok:CQ02_05885
ko:K04029	lmok:CQ02_05890
ko:K02231	lmok:CQ02_05900
ko:K02233	lmok:CQ02_05905
ko:K02226	lmok:CQ02_05910
ko:K13919	lmok:CQ02_05935
ko:K13920	lmok:CQ02_05940
ko:K13923	lmok:CQ02_05965
ko:K04024	lmok:CQ02_05970
ko:K13922	lmok:CQ02_05990
ko:K13921	lmok:CQ02_05995
ko:K02440	lmok:CQ02_06000
ko:K00925	lmok:CQ02_06005
ko:K04720	lmok:CQ02_06010
ko:K16651	lmok:CQ02_06015
ko:K04019	lmok:CQ02_06035
ko:K03735	lmok:CQ02_06040
ko:K03736	lmok:CQ02_06045
ko:K04026	lmok:CQ02_06050
ko:K04027	lmok:CQ02_06065
ko:K04032	lmok:CQ02_06070
ko:K04023	lmok:CQ02_06095
ko:K04030	lmok:CQ02_06100
ko:K02224	lmok:CQ02_06115
ko:K02227	lmok:CQ02_06120
ko:K06042	lmok:CQ02_06125
ko:K02188	lmok:CQ02_06130
ko:K03399	lmok:CQ02_06135
ko:K02191	lmok:CQ02_06140
ko:K05936	lmok:CQ02_06145
ko:K01652	lmok:CQ02_10360
ko:K17318	lmok:CQ02_10365
ko:K17320	lmok:CQ02_10370
ko:K17319	lmok:CQ02_10375
ko:K07720	lmok:CQ02_10380
ko:K07718	lmok:CQ02_10385
ko:K09704	lmok:CQ02_10395
ko:K01191	lmok:CQ02_10400
ko:K01191	lmok:CQ02_10410
ko:K03704	lmok:CQ02_10415
ko:K01778	lmok:CQ02_10425
ko:K01870	lmok:CQ02_10430
ko:K04074	lmok:CQ02_10435
ko:K07105	lmok:CQ02_10440
ko:K04487	lmok:CQ02_10445
ko:K00278	lmok:CQ02_10450
ko:K00767	lmok:CQ02_10455
ko:K03517	lmok:CQ02_10460
ko:K02221	lmok:CQ02_10520
ko:K09772	lmok:CQ02_10525
ko:K06997	lmok:CQ02_10530
ko:K03531	lmok:CQ02_10535
ko:K03590	lmok:CQ02_10540
ko:K03589	lmok:CQ02_10545
ko:K02563	lmok:CQ02_10550
ko:K01925	lmok:CQ02_10555
ko:K01000	lmok:CQ02_10560
ko:K01928	lmok:CQ02_10565
ko:K08724	lmok:CQ02_10570
ko:K03438	lmok:CQ02_10580
ko:K03925	lmok:CQ02_10585
ko:K08152	lmok:CQ02_10590
ko:K00077	lmok:CQ02_10605
ko:K02189	lmok:CQ02_06150
ko:K05895	lmok:CQ02_06160
ko:K13542	lmok:CQ02_06165
ko:K02190	lmok:CQ02_06170
ko:K03394	lmok:CQ02_06175
ko:K02007	lmok:CQ02_06180
ko:K02009	lmok:CQ02_06185
ko:K02008	lmok:CQ02_06190
ko:K02006	lmok:CQ02_06195
ko:K02232	lmok:CQ02_06200
ko:K09936	lmok:CQ02_06210
ko:K09936	lmok:CQ02_06215
ko:K03437	lmok:CQ02_06250
ko:K01889	lmok:CQ02_06265
ko:K01890	lmok:CQ02_06270
ko:K02003	lmok:CQ02_06275
ko:K02004	lmok:CQ02_06280
ko:K06994	lmok:CQ02_06290
ko:K03648	lmok:CQ02_06295
ko:K03471	lmok:CQ02_06300
ko:K09888	lmok:CQ02_06305
ko:K02347	lmok:CQ02_06315
ko:K07456	lmok:CQ02_06320
ko:K03671	lmok:CQ02_06325
ko:K03703	lmok:CQ02_06330
ko:K00928	lmok:CQ02_06335
ko:K01776	lmok:CQ02_06345
ko:K00989	lmok:CQ02_06350
ko:K02428	lmok:CQ02_06355
ko:K07095	lmok:CQ02_06360
ko:K04750	lmok:CQ02_06395
ko:K03574	lmok:CQ02_06420
ko:K02911	lmok:CQ02_10610
ko:K07040	lmok:CQ02_10615
ko:K07177	lmok:CQ02_10630
ko:K00954	lmok:CQ02_10635
ko:K02259	lmok:CQ02_10665
ko:K10716	lmok:CQ02_10670
ko:K14166	lmok:CQ02_10685
ko:K03282	lmok:CQ02_10695
ko:K01442	lmok:CQ02_10710
ko:K04077	lmok:CQ02_10715
ko:K04078	lmok:CQ02_10720
ko:K07052	lmok:CQ02_10725
ko:K01926	lmok:CQ02_10735
ko:K06158	lmok:CQ02_10740
ko:K06889	lmok:CQ02_10745
ko:K01409	lmok:CQ02_10750
ko:K03789	lmok:CQ02_10755
ko:K06925	lmok:CQ02_10765
ko:K06199	lmok:CQ02_10780
ko:K06199	lmok:CQ02_10785
ko:K01940	lmok:CQ02_10830
ko:K01755	lmok:CQ02_10835
ko:K05020	lmok:CQ02_10840
ko:K01628	lmok:CQ02_10850
ko:K00882	lmok:CQ02_10855
ko:K02775	lmok:CQ02_10860
ko:K02774	lmok:CQ02_10865
ko:K02773	lmok:CQ02_10870
ko:K06215	lmok:CQ02_10885
ko:K03486	lmok:CQ02_06465
ko:K01226	lmok:CQ02_06470
ko:K02818	lmok:CQ02_06475
ko:K02819	lmok:CQ02_06475
ko:K00147	lmok:CQ02_06495
ko:K00931	lmok:CQ02_06500
ko:K03545	lmok:CQ02_06535
ko:K03544	lmok:CQ02_06540
ko:K03100	lmok:CQ02_06545
ko:K03100	lmok:CQ02_06550
ko:K03100	lmok:CQ02_06555
ko:K14540	lmok:CQ02_06560
ko:K03470	lmok:CQ02_06565
ko:K04096	lmok:CQ02_06570
ko:K03168	lmok:CQ02_06575
ko:K04094	lmok:CQ02_06580
ko:K03733	lmok:CQ02_06585
ko:K01419	lmok:CQ02_06590
ko:K03667	lmok:CQ02_06595
ko:K03706	lmok:CQ02_06600
ko:K07107	lmok:CQ02_06605
ko:K08591	lmok:CQ02_06620
ko:K02622	lmok:CQ02_06630
ko:K02621	lmok:CQ02_06635
ko:K07173	lmok:CQ02_06640
ko:K01126	lmok:CQ02_06655
ko:K00111	lmok:CQ02_06660
ko:K00791	lmok:CQ02_06665
ko:K03666	lmok:CQ02_06670
ko:K03665	lmok:CQ02_06675
ko:K03713	lmok:CQ02_06685
ko:K01915	lmok:CQ02_06690
ko:K03893	lmok:CQ02_06695
ko:K01356	lmok:CQ02_06705
ko:K00615	lmok:CQ02_06720
ko:K09976	lmok:CQ02_06725
ko:K08681	lmok:CQ02_10890
ko:K00625	lmok:CQ02_10895
ko:K04758	lmok:CQ02_10900
ko:K04759	lmok:CQ02_10905
ko:K07098	lmok:CQ02_10915
ko:K01443	lmok:CQ02_10925
ko:K01809	lmok:CQ02_10935
ko:K02003	lmok:CQ02_10955
ko:K02004	lmok:CQ02_10960
ko:K03431	lmok:CQ02_10975
ko:K18672	lmok:CQ02_10985
ko:K00691	lmok:CQ02_10995
ko:K15772	lmok:CQ02_11005
ko:K15771	lmok:CQ02_11010
ko:K15770	lmok:CQ02_11015
ko:K07052	lmok:CQ02_11025
ko:K01624	lmok:CQ02_11080
ko:K01624	lmok:CQ02_11085
ko:K02770	lmok:CQ02_11090
ko:K02769	lmok:CQ02_11095
ko:K02768	lmok:CQ02_11100
ko:K01990	lmok:CQ02_11110
ko:K01992	lmok:CQ02_11115
ko:K03710	lmok:CQ02_11135
ko:K07035	lmok:CQ02_11140
ko:K03671	lmok:CQ02_11175
ko:K09903	lmok:CQ02_06755
ko:K02838	lmok:CQ02_06760
ko:K00806	lmok:CQ02_06765
ko:K00981	lmok:CQ02_06770
ko:K00099	lmok:CQ02_06775
ko:K11749	lmok:CQ02_06780
ko:K01881	lmok:CQ02_06785
ko:K03763	lmok:CQ02_06790
ko:K09748	lmok:CQ02_06795
ko:K02600	lmok:CQ02_06800
ko:K07742	lmok:CQ02_06805
ko:K02519	lmok:CQ02_06815
ko:K09764	lmok:CQ02_06820
ko:K02834	lmok:CQ02_06825
ko:K03177	lmok:CQ02_06830
ko:K11753	lmok:CQ02_06835
ko:K02956	lmok:CQ02_06840
ko:K00962	lmok:CQ02_06845
ko:K06949	lmok:CQ02_06850
ko:K02913	lmok:CQ02_06865
ko:K01934	lmok:CQ02_06870
ko:K00845	lmok:CQ02_06885
ko:K02249	lmok:CQ02_06895
ko:K02248	lmok:CQ02_06900
ko:K02247	lmok:CQ02_06905
ko:K02246	lmok:CQ02_06910
ko:K02245	lmok:CQ02_06915
ko:K02244	lmok:CQ02_06920
ko:K02243	lmok:CQ02_06925
ko:K00605	lmok:CQ02_06930
ko:K00282	lmok:CQ02_06935
ko:K00283	lmok:CQ02_06940
ko:K01262	lmok:CQ02_06960
ko:K02356	lmok:CQ02_06965
ko:K02160	lmok:CQ02_06970
ko:K01961	lmok:CQ02_06975
ko:K03625	lmok:CQ02_06985
ko:K01491	lmok:CQ02_06990
ko:K03601	lmok:CQ02_06995
ko:K03602	lmok:CQ02_07000
ko:K13789	lmok:CQ02_07005
ko:K03704	lmok:CQ02_07010
ko:K01662	lmok:CQ02_07015
ko:K06442	lmok:CQ02_07020
ko:K03402	lmok:CQ02_07025
ko:K01759	lmok:CQ02_11255
ko:K08177	lmok:CQ02_11270
ko:K01026	lmok:CQ02_11275
ko:K08600	lmok:CQ02_11325
ko:K02013	lmok:CQ02_11330
ko:K02015	lmok:CQ02_11335
ko:K02016	lmok:CQ02_11340
ko:K08602	lmok:CQ02_11360
ko:K06198	lmok:CQ02_11365
ko:K16511	lmok:CQ02_11370
ko:K16509	lmok:CQ02_11375
ko:K10823	lmok:CQ02_11380
ko:K15583	lmok:CQ02_11385
ko:K15582	lmok:CQ02_11390
ko:K15581	lmok:CQ02_11395
ko:K15580	lmok:CQ02_11400
ko:K01867	lmok:CQ02_11410
ko:K09458	lmok:CQ02_11425
ko:K00648	lmok:CQ02_11430
ko:K01834	lmok:CQ02_11445
ko:K03695	lmok:CQ02_11450
ko:K06890	lmok:CQ02_11455
ko:K03631	lmok:CQ02_07030
