ko:K16091	hpq:hp2017_0788
ko:K16091	hpq:hp2017_1467
ko:K14233	hpq:hp2017_t07
ko:K14218	hpq:hp2017_t09
ko:K15726	hpq:hp2017_0949
ko:K01977	hpq:hp2017_r3
ko:K14230	hpq:hp2017_t28
ko:K14234	hpq:hp2017_t30
ko:K14225	hpq:hp2017_t31
ko:K14236	hpq:hp2017_t32
ko:K14234	hpq:hp2017_t33
ko:K14228	hpq:hp2017_t34
ko:K14222	hpq:hp2017_t19
ko:K14228	hpq:hp2017_t35
ko:K14231	hpq:hp2017_t36
ko:K14219	hpq:hp2017_t22
ko:K14226	hpq:hp2017_t23
ko:K10716	hpq:hp2017_0469
ko:K02014	hpq:hp2017_0857
ko:K02014	hpq:hp2017_1447
ko:K02028	hpq:hp2017_1125
ko:K02030	hpq:hp2017_1126
ko:K06196	hpq:hp2017_0272
ko:K03279	hpq:hp2017_0164
ko:K07126	hpq:hp2017_0165
ko:K00059	hpq:hp2017_0544
ko:K04517	hpq:hp2017_1340
ko:K03279	hpq:hp2017_1353
ko:K05845	hpq:hp2017_0800
ko:K05846	hpq:hp2017_0800
ko:K00088	hpq:hp2017_0812
ko:K02433	hpq:hp2017_0813
ko:K14048	hpq:hp2017_0076
ko:K03406	hpq:hp2017_00882
ko:K08077	hpq:hp2017_0484
ko:K07126	hpq:hp2017_0498
ko:K03743	hpq:hp2017_0936
