ko:K01676	kpw:KPNIH30_12560
ko:K01679	kpw:KPNIH30_12565
ko:K07639	kpw:KPNIH30_12575
ko:K07661	kpw:KPNIH30_12585
ko:K13938	kpw:KPNIH30_12595
ko:K03758	kpw:KPNIH30_12600
ko:K00324	kpw:KPNIH30_12625
ko:K00325	kpw:KPNIH30_12630
ko:K14055	kpw:KPNIH30_12640
ko:K06183	kpw:KPNIH30_18595
ko:K02897	kpw:KPNIH30_18605
ko:K06899	kpw:KPNIH30_18630
ko:K09904	kpw:KPNIH30_18635
ko:K07014	kpw:KPNIH30_18640
ko:K08276	kpw:KPNIH30_18655
ko:K00116	kpw:KPNIH30_18660
ko:K03321	kpw:KPNIH30_18665
ko:K06213	kpw:KPNIH30_18670
ko:K06159	kpw:KPNIH30_18675
ko:K03919	kpw:KPNIH30_18680
ko:K10778	kpw:KPNIH30_18685
ko:K03734	kpw:KPNIH30_18690
ko:K09475	kpw:KPNIH30_18695
ko:K07676	kpw:KPNIH30_18705
ko:K07687	kpw:KPNIH30_18710
ko:K07677	kpw:KPNIH30_18715
ko:K02469	kpw:KPNIH30_18720
ko:K00568	kpw:KPNIH30_18725
ko:K11107	kpw:KPNIH30_18740
ko:K01126	kpw:KPNIH30_18745
ko:K02445	kpw:KPNIH30_18750
ko:K00111	kpw:KPNIH30_18755
ko:K00112	kpw:KPNIH30_18760
ko:K00113	kpw:KPNIH30_18765
ko:K12660	kpw:KPNIH30_18770
ko:K12944	kpw:KPNIH30_18810
ko:K01911	kpw:KPNIH30_18815
ko:K02549	kpw:KPNIH30_18820
ko:K01661	kpw:KPNIH30_18825
ko:K08680	kpw:KPNIH30_18830
ko:K02551	kpw:KPNIH30_18835
ko:K02552	kpw:KPNIH30_18840
ko:K02348	kpw:KPNIH30_18845
ko:K00784	kpw:KPNIH30_18850
ko:K09906	kpw:KPNIH30_19115
ko:K07090	kpw:KPNIH30_19120
ko:K07261	kpw:KPNIH30_19125
ko:K01736	kpw:KPNIH30_19130
ko:K07320	kpw:KPNIH30_19135
ko:K08296	kpw:KPNIH30_19145
ko:K01782	kpw:KPNIH30_19150
ko:K06076	kpw:KPNIH30_19165
ko:K04754	kpw:KPNIH30_19170
ko:K11921	kpw:KPNIH30_19195
ko:K03449	kpw:KPNIH30_19205
ko:K14261	kpw:KPNIH30_19210
ko:K02478	kpw:KPNIH30_19225
ko:K02477	kpw:KPNIH30_19230
ko:K00845	kpw:KPNIH30_19235
ko:K03322	kpw:KPNIH30_19260
ko:K11535	kpw:KPNIH30_19265
ko:K01885	kpw:KPNIH30_19295
ko:K14347	kpw:KPNIH30_19325
ko:K09954	kpw:KPNIH30_19330
ko:K01972	kpw:KPNIH30_19335
ko:K03528	kpw:KPNIH30_19340
ko:K06203	kpw:KPNIH30_19350
ko:K01738	kpw:KPNIH30_19355
ko:K02784	kpw:KPNIH30_19365
ko:K08483	kpw:KPNIH30_19370
ko:K00537	kpw:KPNIH30_19655
ko:K10763	kpw:KPNIH30_19665
ko:K02824	kpw:KPNIH30_19670
ko:K00761	kpw:KPNIH30_19675
ko:K01223	kpw:KPNIH30_19680
ko:K18673	kpw:KPNIH30_19685
ko:K01933	kpw:KPNIH30_19690
ko:K11175	kpw:KPNIH30_19695
ko:K00937	kpw:KPNIH30_19700
ko:K01524	kpw:KPNIH30_19705
ko:K06871	kpw:KPNIH30_19730
ko:K01951	kpw:KPNIH30_19740
ko:K00088	kpw:KPNIH30_19745
ko:K03601	kpw:KPNIH30_19750
ko:K03977	kpw:KPNIH30_19765
ko:K17713	kpw:KPNIH30_19770
ko:K01892	kpw:KPNIH30_19780
ko:K15539	kpw:KPNIH30_19790
ko:K06941	kpw:KPNIH30_19795
ko:K00940	kpw:KPNIH30_19800
ko:K05367	kpw:KPNIH30_19805
ko:K06894	kpw:KPNIH30_19810
ko:K01011	kpw:KPNIH30_19815
ko:K07751	kpw:KPNIH30_19830
ko:K04755	kpw:KPNIH30_19840
ko:K04044	kpw:KPNIH30_19845
ko:K04082	kpw:KPNIH30_19850
ko:K13628	kpw:KPNIH30_19855
ko:K04488	kpw:KPNIH30_19860
ko:K04487	kpw:KPNIH30_19865
ko:K13643	kpw:KPNIH30_19870
ko:K15396	kpw:KPNIH30_19875
ko:K01092	kpw:KPNIH30_19880
ko:K14187	kpw:KPNIH30_20180
ko:K01626	kpw:KPNIH30_20185
ko:K02884	kpw:KPNIH30_20220
ko:K00554	kpw:KPNIH30_20225
ko:K02860	kpw:KPNIH30_20230
ko:K02959	kpw:KPNIH30_20235
ko:K03106	kpw:KPNIH30_20240
ko:K03687	kpw:KPNIH30_20255
ko:K00858	kpw:KPNIH30_20260
ko:K03631	kpw:KPNIH30_20265
ko:K09801	kpw:KPNIH30_20280
ko:K03664	kpw:KPNIH30_20290
ko:K12255	kpw:KPNIH30_20310
ko:K02030	kpw:KPNIH30_20325
ko:K02028	kpw:KPNIH30_20330
ko:K02029	kpw:KPNIH30_20330
ko:K12972	kpw:KPNIH30_20340
ko:K01713	kpw:KPNIH30_20355
ko:K07345	kpw:KPNIH30_20365
ko:K07347	kpw:KPNIH30_20375
ko:K07347	kpw:KPNIH30_20390
ko:K07345	kpw:KPNIH30_20400
ko:K00138	kpw:KPNIH30_20405
ko:K01118	kpw:KPNIH30_20420
ko:K04656	kpw:KPNIH30_20720
ko:K05796	kpw:KPNIH30_20725
ko:K03487	kpw:KPNIH30_20730
ko:K02752	kpw:KPNIH30_20740
ko:K02753	kpw:KPNIH30_20740
ko:K01223	kpw:KPNIH30_20745
ko:K08315	kpw:KPNIH30_20755
ko:K15834	kpw:KPNIH30_20760
ko:K15832	kpw:KPNIH30_20765
ko:K15831	kpw:KPNIH30_20770
ko:K15830	kpw:KPNIH30_20775
ko:K15829	kpw:KPNIH30_20780
ko:K15828	kpw:KPNIH30_20785
ko:K15827	kpw:KPNIH30_20790
ko:K15833	kpw:KPNIH30_20795
ko:K04651	kpw:KPNIH30_20800
ko:K04652	kpw:KPNIH30_20805
ko:K04653	kpw:KPNIH30_20810
ko:K04654	kpw:KPNIH30_20815
ko:K04655	kpw:KPNIH30_20820
ko:K15836	kpw:KPNIH30_20825
ko:K01223	kpw:KPNIH30_20830
ko:K16077	kpw:KPNIH30_20840
ko:K02761	kpw:KPNIH30_20845
ko:K02760	kpw:KPNIH30_20850
ko:K02761	kpw:KPNIH30_20855
ko:K02759	kpw:KPNIH30_20860
ko:K00847	kpw:KPNIH30_20865
ko:K11604	kpw:KPNIH30_20875
ko:K11607	kpw:KPNIH30_20880
ko:K11605	kpw:KPNIH30_20885
ko:K11606	kpw:KPNIH30_20890
ko:K07088	kpw:KPNIH30_20905
ko:K01652	kpw:KPNIH30_20910
ko:K07401	kpw:KPNIH30_20915
ko:K16087	kpw:KPNIH30_20920
ko:K07225	kpw:KPNIH30_20925
ko:K02016	kpw:KPNIH30_20930
ko:K02015	kpw:KPNIH30_20935
ko:K02013	kpw:KPNIH30_20940
