ko:K01223	llt:CVCAS_1580
ko:K08998	llt:CVCAS_1581
ko:K02529	llt:CVCAS_1585
ko:K08996	llt:CVCAS_1598
ko:K00926	llt:CVCAS_1605
ko:K10536	llt:CVCAS_1606
ko:K13252	llt:CVCAS_1609
ko:K00945	llt:CVCAS_1612
ko:K01875	llt:CVCAS_1622
ko:K02039	llt:CVCAS_1625
ko:K02036	llt:CVCAS_1626
ko:K02036	llt:CVCAS_1627
ko:K02038	llt:CVCAS_1628
ko:K02037	llt:CVCAS_1629
ko:K02040	llt:CVCAS_1630
ko:K02040	llt:CVCAS_1631
ko:K03664	llt:CVCAS_1632
ko:K01872	llt:CVCAS_1634
ko:K08602	llt:CVCAS_1637
ko:K06901	llt:CVCAS_1641
ko:K00782	llt:CVCAS_1645
ko:K06890	llt:CVCAS_1646
ko:K03704	llt:CVCAS_1647
ko:K07727	llt:CVCAS_1662
ko:K07727	llt:CVCAS_1663
ko:K06950	llt:CVCAS_1666
ko:K02968	llt:CVCAS_1667
ko:K03581	llt:CVCAS_1669
ko:K00891	llt:CVCAS_1672
ko:K00800	llt:CVCAS_1673
ko:K02003	llt:CVCAS_1679
ko:K06942	llt:CVCAS_0007
ko:K02003	llt:CVCAS_0011
ko:K01056	llt:CVCAS_0013
ko:K03723	llt:CVCAS_0014
ko:K04075	llt:CVCAS_0020
ko:K00760	llt:CVCAS_0021
ko:K03798	llt:CVCAS_0022
ko:K00009	llt:CVCAS_0026
ko:K03321	llt:CVCAS_0049
ko:K03584	llt:CVCAS_0052
ko:K01940	llt:CVCAS_0110
ko:K01755	llt:CVCAS_0111
ko:K03536	llt:CVCAS_0114
ko:K03217	llt:CVCAS_0115
ko:K02914	llt:CVCAS_0117
ko:K07447	llt:CVCAS_0120
ko:K00773	llt:CVCAS_0130
ko:K06929	llt:CVCAS_0133
ko:K14260	llt:CVCAS_0138
ko:K03706	llt:CVCAS_0139
ko:K02435	llt:CVCAS_0140
ko:K02434	llt:CVCAS_0142
ko:K03704	llt:CVCAS_0146
ko:K02761	llt:CVCAS_0152
ko:K05823	llt:CVCAS_0265
ko:K02986	llt:CVCAS_0269
ko:K06959	llt:CVCAS_0270
ko:K03789	llt:CVCAS_0277
ko:K03789	llt:CVCAS_0278
ko:K02044	llt:CVCAS_0283
ko:K02041	llt:CVCAS_0284
ko:K02042	llt:CVCAS_0285
ko:K02042	llt:CVCAS_0286
ko:K11065	llt:CVCAS_0289
ko:K01256	llt:CVCAS_0290
ko:K00790	llt:CVCAS_0297
ko:K03523	llt:CVCAS_0299
ko:K02073	llt:CVCAS_0302
ko:K02073	llt:CVCAS_0303
ko:K02073	llt:CVCAS_0304
ko:K02073	llt:CVCAS_0305
ko:K02071	llt:CVCAS_0306
ko:K02072	llt:CVCAS_0307
ko:K02013	llt:CVCAS_0312
ko:K02015	llt:CVCAS_0313
ko:K02015	llt:CVCAS_0314
ko:K06173	llt:CVCAS_0420
ko:K00868	llt:CVCAS_0421
ko:K01937	llt:CVCAS_0425
ko:K06966	llt:CVCAS_0430
ko:K02337	llt:CVCAS_0432
ko:K11068	llt:CVCAS_0433
ko:K01207	llt:CVCAS_0436
ko:K03530	llt:CVCAS_0438
ko:K13530	llt:CVCAS_0441
ko:K04487	llt:CVCAS_0446
ko:K01738	llt:CVCAS_0449
ko:K05366	llt:CVCAS_0452
ko:K00790	llt:CVCAS_0458
ko:K03545	llt:CVCAS_0460
ko:K01879	llt:CVCAS_1069
ko:K00969	llt:CVCAS_1072
ko:K00763	llt:CVCAS_1073
ko:K02003	llt:CVCAS_1076
ko:K01928	llt:CVCAS_1079
ko:K01575	llt:CVCAS_1080
ko:K03596	llt:CVCAS_1081
ko:K02469	llt:CVCAS_1084
ko:K03734	llt:CVCAS_1085
ko:K03657	llt:CVCAS_1092
ko:K01246	llt:CVCAS_1094
ko:K11753	llt:CVCAS_1099
ko:K07106	llt:CVCAS_1102
ko:K01803	llt:CVCAS_1105
ko:K01442	llt:CVCAS_1106
ko:K00364	llt:CVCAS_1116
ko:K03816	llt:CVCAS_1117
ko:K03216	llt:CVCAS_1120
ko:K03544	llt:CVCAS_1123
ko:K03978	llt:CVCAS_1124
ko:K01633	llt:CVCAS_1125
ko:K00796	llt:CVCAS_1127
ko:K11754	llt:CVCAS_1129
ko:K00003	llt:CVCAS_1131
ko:K00872	llt:CVCAS_1132
ko:K00075	llt:CVCAS_1134
ko:K06131	llt:CVCAS_1149
ko:K03215	llt:CVCAS_1154
ko:K07137	llt:CVCAS_1155
ko:K01652	llt:CVCAS_1159
ko:K07646	llt:CVCAS_1162
ko:K07667	llt:CVCAS_1163
ko:K01546	llt:CVCAS_1164
ko:K01547	llt:CVCAS_1165
ko:K01548	llt:CVCAS_1166
ko:K12573	llt:CVCAS_1169
ko:K00817	llt:CVCAS_1170
ko:K02502	llt:CVCAS_1171
ko:K00765	llt:CVCAS_1172
ko:K00013	llt:CVCAS_1173
ko:K01693	llt:CVCAS_1175
ko:K02501	llt:CVCAS_1177
ko:K01814	llt:CVCAS_1178
ko:K02500	llt:CVCAS_1179
ko:K11755	llt:CVCAS_1180
ko:K04486	llt:CVCAS_1181
ko:K07146	llt:CVCAS_1182
ko:K01649	llt:CVCAS_1183
ko:K00052	llt:CVCAS_1184
ko:K01703	llt:CVCAS_1186
ko:K01704	llt:CVCAS_1187
ko:K02013	llt:CVCAS_1188
ko:K01687	llt:CVCAS_1189
ko:K01652	llt:CVCAS_1190
ko:K01653	llt:CVCAS_1191
ko:K00053	llt:CVCAS_1192
ko:K01754	llt:CVCAS_1193
ko:K01575	llt:CVCAS_1194
ko:K03168	llt:CVCAS_1198
ko:K04094	llt:CVCAS_1199
ko:K06978	llt:CVCAS_1202
ko:K02440	llt:CVCAS_1210
ko:K00864	llt:CVCAS_1212
ko:K01626	llt:CVCAS_1219
ko:K00297	llt:CVCAS_1220
ko:K00549	llt:CVCAS_1221
ko:K01531	llt:CVCAS_1223
ko:K03740	llt:CVCAS_1224
ko:K14188	llt:CVCAS_1225
ko:K03739	llt:CVCAS_1226
ko:K03367	llt:CVCAS_1227
ko:K00788	llt:CVCAS_1229
ko:K00941	llt:CVCAS_1230
ko:K00878	llt:CVCAS_1231
ko:K02935	llt:CVCAS_1235
ko:K02864	llt:CVCAS_1236
ko:K06178	llt:CVCAS_1242
ko:K06024	llt:CVCAS_1243
ko:K05896	llt:CVCAS_1244
ko:K07095	llt:CVCAS_1246
ko:K01586	llt:CVCAS_1250
ko:K00266	llt:CVCAS_1251
ko:K00826	llt:CVCAS_1254
ko:K03470	llt:CVCAS_1260
ko:K14540	llt:CVCAS_1261
ko:K11752	llt:CVCAS_0959
ko:K00793	llt:CVCAS_0960
ko:K14652	llt:CVCAS_0961
ko:K00794	llt:CVCAS_0962
ko:K03101	llt:CVCAS_0963
ko:K06180	llt:CVCAS_0964
ko:K09775	llt:CVCAS_0965
ko:K00820	llt:CVCAS_0973
ko:K03630	llt:CVCAS_0974
ko:K02440	llt:CVCAS_2035
ko:K07010	llt:CVCAS_2037
ko:K04485	llt:CVCAS_2052
ko:K02879	llt:CVCAS_2054
ko:K03040	llt:CVCAS_2055
ko:K02948	llt:CVCAS_2056
ko:K02952	llt:CVCAS_2057
ko:K02919	llt:CVCAS_2058
ko:K02518	llt:CVCAS_2059
ko:K03076	llt:CVCAS_2062
ko:K02876	llt:CVCAS_2063
ko:K02907	llt:CVCAS_2064
ko:K02988	llt:CVCAS_2065
ko:K02881	llt:CVCAS_2066
ko:K02933	llt:CVCAS_2067
ko:K02994	llt:CVCAS_2068
ko:K02954	llt:CVCAS_2070
ko:K02931	llt:CVCAS_2071
ko:K02895	llt:CVCAS_2072
ko:K02874	llt:CVCAS_2073
ko:K02961	llt:CVCAS_2074
ko:K02904	llt:CVCAS_2075
ko:K02878	llt:CVCAS_2076
ko:K02982	llt:CVCAS_2077
