ko:K01951	ccq:N149_1200
ko:K01945	ccq:N149_1204
ko:K04744	ccq:N149_1206
ko:K00962	ccq:N149_1207
ko:K01821	ccq:N149_1209
ko:K01104	ccq:N149_1212
ko:K02557	ccq:N149_1214
ko:K01624	ccq:N149_1216
ko:K10773	ccq:N149_1218
ko:K01173	ccq:N149_1219
ko:K15256	ccq:N149_1222
ko:K11753	ccq:N149_1223
ko:K06442	ccq:N149_1224
ko:K01972	ccq:N149_1226
ko:K00796	ccq:N149_1227
ko:K02341	ccq:N149_1228
ko:K00928	ccq:N149_1230
ko:K08311	ccq:N149_1231
ko:K02337	ccq:N149_0672
ko:K06997	ccq:N149_0673
ko:K02406	ccq:N149_0674
ko:K02493	ccq:N149_0676
ko:K06013	ccq:N149_0677
ko:K03831	ccq:N149_0679
ko:K03284	ccq:N149_0680
ko:K02055	ccq:N149_0681
ko:K02054	ccq:N149_0684
ko:K02053	ccq:N149_0685
ko:K02052	ccq:N149_0686
ko:K02030	ccq:N149_0688
ko:K03832	ccq:N149_0695
ko:K16089	ccq:N149_0696
ko:K03705	ccq:N149_0697
ko:K03687	ccq:N149_0698
ko:K04043	ccq:N149_0699
ko:K00812	ccq:N149_0703
ko:K00640	ccq:N149_0704
ko:K01585	ccq:N149_0705
ko:K01892	ccq:N149_0706
ko:K00943	ccq:N149_0707
ko:K00954	ccq:N149_0708
ko:K03186	ccq:N149_0709
ko:K02386	ccq:N149_0710
ko:K02073	ccq:N149_0713
ko:K02072	ccq:N149_0714
ko:K02071	ccq:N149_0715
ko:K01873	ccq:N149_0716
ko:K03657	ccq:N149_0718
ko:K11065	ccq:N149_0720
ko:K02567	ccq:N149_0721
ko:K02573	ccq:N149_0722
ko:K02574	ccq:N149_0723
ko:K02846	ccq:N149_1502
ko:K03781	ccq:N149_1504
ko:K07089	ccq:N149_1505
ko:K03406	ccq:N149_1511
ko:K02412	ccq:N149_1512
ko:K01495	ccq:N149_1513
ko:K03545	ccq:N149_1514
ko:K01358	ccq:N149_1515
ko:K01462	ccq:N149_1516
ko:K07391	ccq:N149_1517
ko:K11175	ccq:N149_1520
ko:K06193	ccq:N149_1524
ko:K08224	ccq:N149_1527
ko:K03832	ccq:N149_1529
ko:K03559	ccq:N149_1530
ko:K03561	ccq:N149_1531
ko:K16087	ccq:N149_1532
ko:K02012	ccq:N149_1535
ko:K02011	ccq:N149_1536
ko:K02010	ccq:N149_1537
ko:K04564	ccq:N149_1539
ko:K00791	ccq:N149_1544
ko:K03179	ccq:N149_1545
ko:K03639	ccq:N149_1548
ko:K01737	ccq:N149_1550
ko:K09761	ccq:N149_1553
ko:K02909	ccq:N149_1554
ko:K03117	ccq:N149_1233
ko:K03118	ccq:N149_1234
