ko:K03272	clm:UPTC16712_0483
ko:K03271	clm:UPTC16712_0484
ko:K00873	clm:UPTC16712_0485
ko:K00116	clm:UPTC16712_0486
ko:K03525	clm:UPTC16712_0487
ko:K02435	clm:UPTC16712_0491
ko:K03558	clm:UPTC16712_0492
ko:K03711	clm:UPTC16712_0493
ko:K04567	clm:UPTC16712_0494
ko:K00600	clm:UPTC16712_0495
ko:K03749	clm:UPTC16712_0497
ko:K00014	clm:UPTC16712_0498
ko:K03686	clm:UPTC16712_0499
ko:K02484	clm:UPTC16712_0501
ko:K06187	clm:UPTC16712_0502
ko:K07058	clm:UPTC16712_1228
ko:K00104	clm:UPTC16712_1229
ko:K06213	clm:UPTC16712_1232
ko:K11065	clm:UPTC16712_1233
ko:K01738	clm:UPTC16712_1235
ko:K03530	clm:UPTC16712_1236
ko:K02843	clm:UPTC16712_1237
ko:K02517	clm:UPTC16712_1247
ko:K02841	clm:UPTC16712_1248
ko:K07501	clm:UPTC16712_1249
ko:K01784	clm:UPTC16712_1250
ko:K03413	clm:UPTC16712_1260
ko:K02687	clm:UPTC16712_1261
ko:K03798	clm:UPTC16712_1262
ko:K01613	clm:UPTC16712_1263
ko:K17103	clm:UPTC16712_1264
ko:K03502	clm:UPTC16712_1267
ko:K10806	clm:UPTC16712_1270
ko:K00948	clm:UPTC16712_1271
ko:K03407	clm:UPTC16712_1275
ko:K03551	clm:UPTC16712_1276
ko:K02428	clm:UPTC16712_1279
ko:K01779	clm:UPTC16712_0752
ko:K04763	clm:UPTC16712_0753
ko:K00790	clm:UPTC16712_0755
ko:K03750	clm:UPTC16712_0756
ko:K02386	clm:UPTC16712_0759
ko:K03186	clm:UPTC16712_0760
ko:K00954	clm:UPTC16712_0761
ko:K00943	clm:UPTC16712_0762
ko:K01892	clm:UPTC16712_0763
ko:K01585	clm:UPTC16712_0764
ko:K00640	clm:UPTC16712_0765
ko:K02563	clm:UPTC16712_0766
ko:K06997	clm:UPTC16712_0767
ko:K03092	clm:UPTC16712_0768
ko:K06861	clm:UPTC16712_0769
ko:K06925	clm:UPTC16712_0770
ko:K01940	clm:UPTC16712_0772
ko:K02939	clm:UPTC16712_0773
ko:K01419	clm:UPTC16712_0774
ko:K03667	clm:UPTC16712_0775
ko:K02422	clm:UPTC16712_0781
ko:K02407	clm:UPTC16712_0782
ko:K06603	clm:UPTC16712_0783
ko:K03182	clm:UPTC16712_0784
ko:K01749	clm:UPTC16712_0785
ko:K01881	clm:UPTC16712_0787
ko:K02492	clm:UPTC16712_0788
ko:K02523	clm:UPTC16712_0789
ko:K01091	clm:UPTC16712_0792
ko:K03455	clm:UPTC16712_0794
ko:K13640	clm:UPTC16712_0795
ko:K05516	clm:UPTC16712_0796
