ko:K02879	cpsn:B712_0129
ko:K00134	cpsn:B712_0130
ko:K01159	cpsn:B712_0134
ko:K03550	cpsn:B712_0135
ko:K00940	cpsn:B712_0136
ko:K03800	cpsn:B712_0137
ko:K03495	cpsn:B712_0138
ko:K00995	cpsn:B712_0141
ko:K00208	cpsn:B712_0420
ko:K03575	cpsn:B712_0425
ko:K04487	cpsn:B712_0437
ko:K01494	cpsn:B712_0441
ko:K03551	cpsn:B712_0443
ko:K01255	cpsn:B712_0448
ko:K01736	cpsn:B712_0776
ko:K01735	cpsn:B712_0777
ko:K13832	cpsn:B712_0778
ko:K03758	cpsn:B712_0782
ko:K00024	cpsn:B712_0785
ko:K01810	cpsn:B712_0787
ko:K03527	cpsn:B712_0796
ko:K03321	cpsn:B712_0799
ko:K01265	cpsn:B712_0804
ko:K02956	cpsn:B712_0814
ko:K00962	cpsn:B712_0815
ko:K03798	cpsn:B712_0817
ko:K04075	cpsn:B712_0818
ko:K07091	cpsn:B712_0819
ko:K11720	cpsn:B712_0820
ko:K01889	cpsn:B712_0823
ko:K02887	cpsn:B712_0824
ko:K02916	cpsn:B712_0825
ko:K02520	cpsn:B712_0826
ko:K02520	cpsn:B712_0827
ko:K03625	cpsn:B712_0828
ko:K00075	cpsn:B712_0829
ko:K03555	cpsn:B712_0890
ko:K03703	cpsn:B712_0891
ko:K02954	cpsn:B712_0893
ko:K02919	cpsn:B712_0894
ko:K01883	cpsn:B712_0897
ko:K04567	cpsn:B712_0898
ko:K04066	cpsn:B712_0901
ko:K00655	cpsn:B712_0903
ko:K00263	cpsn:B712_0905
ko:K09458	cpsn:B712_0908
ko:K09710	cpsn:B712_0909
ko:K00791	cpsn:B712_0914
ko:K03926	cpsn:B712_0917
ko:K06960	cpsn:B712_0918
ko:K02563	cpsn:B712_0920
ko:K03588	cpsn:B712_0921
ko:K01925	cpsn:B712_0923
ko:K01000	cpsn:B712_0924
ko:K01929	cpsn:B712_0925
ko:K02356	cpsn:B712_0931
ko:K01241	cpsn:B712_0932
ko:K00615	cpsn:B712_0933
ko:K01872	cpsn:B712_0934
ko:K03723	cpsn:B712_0935
ko:K01599	cpsn:B712_0936
ko:K00231	cpsn:B712_0938
ko:K03070	cpsn:B712_0995
ko:K01613	cpsn:B712_0997
ko:K03650	cpsn:B712_0998
ko:K10773	cpsn:B712_0999
ko:K03311	cpsn:B712_1000
ko:K00382	cpsn:B712_1003
ko:K03644	cpsn:B712_1004
ko:K03222	cpsn:B712_1005
ko:K00850	cpsn:B712_0653
ko:K00895	cpsn:B712_0655
ko:K03307	cpsn:B712_0287
ko:K03856	cpsn:B712_0289
ko:K00700	cpsn:B712_0297
ko:K06179	cpsn:B712_0424
ko:K07052	cpsn:B712_0427
ko:K04763	cpsn:B712_0788
ko:K01679	cpsn:B712_0800
ko:K01909	cpsn:B712_0902
ko:K01082	cpsn:B712_0904
ko:K01507	cpsn:B712_0906
ko:K03227	cpsn:B712_1009
ko:K02454	cpsn:B712_1017
ko:K01262	cpsn:B712_1020
ko:K07315	cpsn:B712_1034
ko:K00241	cpsn:B712_1040
ko:K02433	cpsn:B712_0320
ko:K03471	cpsn:B712_0326
ko:K02030	cpsn:B712_0153
ko:K02035	cpsn:B712_0164
ko:K02033	cpsn:B712_0165
ko:K00567	cpsn:B712_0167
ko:K08719	cpsn:B712_0980
ko:K01885	cpsn:B712_0207
ko:K00380	cpsn:B712_0222
ko:K00059	cpsn:B712_0531
ko:K03386	cpsn:B712_1050
ko:K02428	cpsn:B712_1054
ko:K01934	cpsn:B712_1066
ko:K07098	cpsn:B712_0186
ko:K00033	cpsn:B712_0476
ko:K11189	cpsn:B712_0362
ko:K08483	cpsn:B712_0363
ko:K09815	cpsn:B712_0230
