ko:K02411	tpp:TPASS_0401
ko:K04562	tpp:TPASS_0853
ko:K00820	tpp:TPASS_0861
ko:K02406	tpp:TPASS_0870
ko:K02407	tpp:TPASS_0872
ko:K06925	tpp:TPASS_0875
ko:K01520	tpp:TPASS_0885
ko:K00962	tpp:TPASS_0886
ko:K02956	tpp:TPASS_0887
ko:K03177	tpp:TPASS_0889
ko:K02834	tpp:TPASS_0890
ko:K02519	tpp:TPASS_0891
ko:K09748	tpp:TPASS_0893
ko:K03928	tpp:TPASS_0902
ko:K02959	tpp:TPASS_0905
ko:K06960	tpp:TPASS_0906
ko:K02860	tpp:TPASS_0907
ko:K00554	tpp:TPASS_0908
ko:K02884	tpp:TPASS_0909
ko:K04061	tpp:TPASS_0911
ko:K07460	tpp:TPASS_0913
ko:K04763	tpp:TPASS_0391
ko:K03773	tpp:TPASS_0862
ko:K01834	tpp:TPASS_0168
ko:K00844	tpp:TPASS_0505
ko:K01625	tpp:TPASS_0568
ko:K12506	tpp:TPASS_0512
ko:K11707	tpp:TPASS_0163
ko:K11710	tpp:TPASS_0164
ko:K11072	tpp:TPASS_0652
ko:K11749	tpp:TPASS_0600
ko:K12267	tpp:TPASS_0633
ko:K00981	tpp:TPASS_0602
ko:K12266	tpp:TPASS_0082
ko:K00995	tpp:TPASS_0256
ko:K13292	tpp:TPASS_0852
ko:K08307	tpp:TPASS_0623
ko:K09774	tpp:TPASS_0785
ko:K05946	tpp:TPASS_0275
ko:K11717	tpp:TPASS_0614
ko:K06168	tpp:TPASS_0754
ko:K11753	tpp:TPASS_0888
ko:K04487	tpp:TPASS_0863
ko:K01890	tpp:TPASS_0015
ko:K02121	tpp:TPASS_0530
ko:K11708	tpp:TPASS_0165
ko:K11709	tpp:TPASS_0166
ko:K07025	tpp:TPASS_0407
ko:K07025	tpp:TPASS_0158
ko:K11754	tpp:TPASS_0340
ko:K07257	tpp:TPASS_0288
ko:K09766	tpp:TPASS_0829
ko:K03386	tpp:TPASS_0509
ko:K03406	tpp:TPASS_0488
ko:K03409	tpp:TPASS_0365
ko:K03524	tpp:TPASS_0357
ko:K09810	tpp:TPASS_0581
ko:K07033	tpp:TPASS_0613
ko:K01934	tpp:TPASS_0694
ko:K07003	tpp:TPASS_0790
ko:K06867	tpp:TPASS_0835
ko:K01992	tpp:TPASS_0880
ko:K02062	tpp:TPASS_0142
ko:K02027	tpp:TPASS_0074
ko:K02058	tpp:TPASS_0298
ko:K02056	tpp:TPASS_0300
ko:K02057	tpp:TPASS_0301
ko:K02057	tpp:TPASS_0302
ko:K02030	tpp:TPASS_0308
ko:K02030	tpp:TPASS_0309
ko:K02056	tpp:TPASS_0321
ko:K02057	tpp:TPASS_0322
ko:K02057	tpp:TPASS_0323
ko:K07052	tpp:TPASS_0335
ko:K01768	tpp:TPASS_0485
ko:K06867	tpp:TPASS_0502
ko:K00949	tpp:TPASS_0518
ko:K01262	tpp:TPASS_0569
ko:K00895	tpp:TPASS_0542
ko:K02383	tpp:TPASS_0567
ko:K00625	tpp:TPASS_0094
ko:K08309	tpp:TPASS_0043
ko:K03406	tpp:TPASS_0040
ko:K03406	tpp:TPASS_0639
ko:K03406	tpp:TPASS_0640
ko:K01571	tpp:TPASS_0056
ko:K01147	tpp:TPASS_0805
ko:K01491	tpp:TPASS_0732
ko:K07566	tpp:TPASS_0182
ko:K00075	tpp:TPASS_0090
ko:K01925	tpp:TPASS_0903
ko:K01488	tpp:TPASS_0045
ko:K09761	tpp:TPASS_0032
ko:K09808	tpp:TPASS_0582
ko:K03087	tpp:TPASS_1012
ko:K02004	tpp:TPASS_0962
ko:K02004	tpp:TPASS_0963
ko:K00655	tpp:TPASS_0361
ko:K06972	tpp:TPASS_0025
ko:K01897	tpp:TPASS_0145
ko:K03709	tpp:TPASS_0167
ko:K09761	tpp:TPASS_0276
