ko:K03588	nmq:NMBM04240196_0429
ko:K02563	nmq:NMBM04240196_0430
ko:K01924	nmq:NMBM04240196_0431
ko:K01921	nmq:NMBM04240196_0432
ko:K03589	nmq:NMBM04240196_0433
ko:K03590	nmq:NMBM04240196_0434
ko:K03531	nmq:NMBM04240196_0435
ko:K06901	nmq:NMBM04240196_0436
ko:K07090	nmq:NMBM04240196_0439
ko:K00925	nmq:NMBM04240196_0442
ko:K13771	nmq:NMBM04240196_0444
ko:K07234	nmq:NMBM04240196_0446
ko:K07552	nmq:NMBM04240196_0451
ko:K14170	nmq:NMBM04240196_0452
ko:K03584	nmq:NMBM04240196_0453
ko:K03474	nmq:NMBM04240196_0454
ko:K07090	nmq:NMBM04240196_0457
ko:K01903	nmq:NMBM04240196_1203
ko:K00382	nmq:NMBM04240196_1205
ko:K00658	nmq:NMBM04240196_1206
ko:K00164	nmq:NMBM04240196_1207
ko:K01647	nmq:NMBM04240196_1208
ko:K09159	nmq:NMBM04240196_1209
ko:K00240	nmq:NMBM04240196_1210
ko:K00239	nmq:NMBM04240196_1211
ko:K00242	nmq:NMBM04240196_1212
ko:K00382	nmq:NMBM04240196_1214
ko:K00549	nmq:NMBM04240196_1216
ko:K02909	nmq:NMBM04240196_1218
ko:K02919	nmq:NMBM04240196_1219
ko:K00641	nmq:NMBM04240196_1220
ko:K02356	nmq:NMBM04240196_1223
ko:K00791	nmq:NMBM04240196_1226
ko:K09793	nmq:NMBM04240196_1228
ko:K03218	nmq:NMBM04240196_1229
ko:K01714	nmq:NMBM04240196_1231
ko:K07287	nmq:NMBM04240196_1232
ko:K10806	nmq:NMBM04240196_1235
ko:K00031	nmq:NMBM04240196_1240
ko:K07341	nmq:NMBM04240196_1243
ko:K00760	nmq:NMBM04240196_1989
ko:K09760	nmq:NMBM04240196_1992
ko:K00413	nmq:NMBM04240196_1993
ko:K00412	nmq:NMBM04240196_1994
ko:K00411	nmq:NMBM04240196_1995
ko:K03576	nmq:NMBM04240196_1997
ko:K02996	nmq:NMBM04240196_1998
ko:K02871	nmq:NMBM04240196_1999
ko:K09888	nmq:NMBM04240196_2000
ko:K00057	nmq:NMBM04240196_2002
ko:K01595	nmq:NMBM04240196_2003
ko:K03745	nmq:NMBM04240196_2005
ko:K07084	nmq:NMBM04240196_2006
ko:K02493	nmq:NMBM04240196_2007
ko:K03568	nmq:NMBM04240196_2008
ko:K00788	nmq:NMBM04240196_2011
