ko:K08281	mtuc:J113_14050
ko:K01061	mtuc:J113_14150
ko:K02963	mtuc:J113_14155
ko:K02913	mtuc:J113_14170
ko:K02902	mtuc:J113_14175
ko:K07006	mtuc:J113_14190
ko:K06042	mtuc:J113_14245
ko:K03088	mtuc:J113_14280
ko:K05895	mtuc:J113_14290
ko:K05936	mtuc:J113_14295
ko:K06153	mtuc:J113_14805
ko:K02221	mtuc:J113_14875
ko:K06997	mtuc:J113_14885
ko:K03531	mtuc:J113_14895
ko:K03589	mtuc:J113_14905
ko:K01924	mtuc:J113_14910
ko:K03588	mtuc:J113_14935
ko:K01000	mtuc:J113_14950
ko:K03587	mtuc:J113_15030
ko:K03438	mtuc:J113_15040
ko:K03925	mtuc:J113_15045
ko:K01626	mtuc:J113_15115
ko:K00655	mtuc:J113_15140
ko:K01915	mtuc:J113_15450
ko:K09990	mtuc:J113_15500
ko:K07164	mtuc:J113_15510
ko:K02227	mtuc:J113_15565
ko:K02078	mtuc:J113_15630
ko:K03568	mtuc:J113_16060
ko:K02575	mtuc:J113_16145
ko:K00640	mtuc:J113_16190
ko:K04756	mtuc:J113_16885
ko:K01950	mtuc:J113_16935
ko:K00931	mtuc:J113_16940
ko:K02899	mtuc:J113_16970
ko:K02888	mtuc:J113_16975
ko:K11103	mtuc:J113_16980
ko:K00940	mtuc:J113_16995
ko:K01873	mtuc:J113_17025
ko:K03752	mtuc:J113_17050
ko:K00175	mtuc:J113_17055
ko:K00174	mtuc:J113_17060
ko:K01695	mtuc:J113_11200
ko:K10805	mtuc:J113_11230
ko:K00426	mtuc:J113_11265
ko:K00425	mtuc:J113_11270
ko:K02945	mtuc:J113_11320
ko:K03702	mtuc:J113_11340
ko:K04567	mtuc:J113_11390
ko:K02520	mtuc:J113_11395
ko:K02916	mtuc:J113_11400
ko:K02887	mtuc:J113_11405
ko:K03437	mtuc:J113_11410
ko:K01889	mtuc:J113_11445
ko:K01890	mtuc:J113_11450
ko:K00145	mtuc:J113_11470
ko:K00930	mtuc:J113_11490
ko:K01755	mtuc:J113_11540
ko:K03306	mtuc:J113_15865
ko:K01521	mtuc:J113_15910
ko:K01114	mtuc:J113_16295
ko:K01880	mtuc:J113_16345
ko:K03584	mtuc:J113_16370
ko:K03544	mtuc:J113_17070
ko:K01358	mtuc:J113_17090
ko:K01358	mtuc:J113_17095
ko:K03545	mtuc:J113_17100
ko:K06886	mtuc:J113_17160
ko:K07107	mtuc:J113_17180
ko:K15371	mtuc:J113_17185
ko:K00631	mtuc:J113_17230
ko:K07478	mtuc:J113_17850
ko:K02003	mtuc:J113_17870
ko:K07001	mtuc:J113_17875
ko:K01876	mtuc:J113_17950
ko:K00077	mtuc:J113_17970
ko:K00886	mtuc:J113_18785
ko:K03086	mtuc:J113_18795
ko:K07058	mtuc:J113_18815
ko:K00322	mtuc:J113_18860
ko:K07738	mtuc:J113_18885
ko:K01356	mtuc:J113_18895
ko:K03665	mtuc:J113_18925
ko:K03665	mtuc:J113_18930
ko:K05813	mtuc:J113_19615
ko:K02834	mtuc:J113_19650
ko:K07742	mtuc:J113_19670
ko:K09748	mtuc:J113_19685
ko:K15977	mtuc:J113_20945
ko:K02434	mtuc:J113_20965
ko:K02435	mtuc:J113_20995
ko:K00566	mtuc:J113_21080
ko:K04487	mtuc:J113_21085
ko:K03522	mtuc:J113_21100
ko:K00134	mtuc:J113_10015
ko:K00927	mtuc:J113_10020
ko:K03075	mtuc:J113_10045
ko:K01057	mtuc:J113_10085
ko:K00036	mtuc:J113_10100
ko:K00615	mtuc:J113_10110
ko:K02259	mtuc:J113_10145
ko:K09014	mtuc:J113_10185
ko:K09013	mtuc:J113_10200
ko:K11717	mtuc:J113_10205
ko:K03924	mtuc:J113_10320
ko:K03652	mtuc:J113_11740
ko:K01866	mtuc:J113_11745
ko:K06442	mtuc:J113_11785
ko:K00858	mtuc:J113_11790
ko:K01937	mtuc:J113_11820
ko:K11737	mtuc:J113_11865
ko:K03321	mtuc:J113_11885
ko:K05896	mtuc:J113_11895
ko:K06024	mtuc:J113_11900
ko:K06178	mtuc:J113_11905
ko:K02013	mtuc:J113_21195
ko:K04069	mtuc:J113_21865
ko:K00330	mtuc:J113_21915
ko:K00331	mtuc:J113_21920
ko:K00332	mtuc:J113_21925
ko:K00333	mtuc:J113_21930
ko:K00337	mtuc:J113_21955
ko:K00338	mtuc:J113_21960
ko:K00339	mtuc:J113_21965
ko:K00340	mtuc:J113_21970
ko:K00342	mtuc:J113_21985
ko:K00343	mtuc:J113_21990
ko:K03924	mtuc:J113_22025
ko:K03686	mtuc:J113_16455
ko:K03705	mtuc:J113_16460
ko:K07086	mtuc:J113_16625
ko:K00390	mtuc:J113_16650
ko:K02045	mtuc:J113_16690
ko:K02047	mtuc:J113_16695
ko:K02046	mtuc:J113_16700
ko:K06966	mtuc:J113_17345
ko:K00627	mtuc:J113_17365
ko:K00162	mtuc:J113_17370
ko:K00161	mtuc:J113_17375
ko:K01644	mtuc:J113_17380
ko:K00759	mtuc:J113_18045
ko:K03074	mtuc:J113_18055
ko:K03072	mtuc:J113_18060
ko:K03210	mtuc:J113_18065
ko:K03551	mtuc:J113_18110
ko:K01159	mtuc:J113_18120
ko:K08681	mtuc:J113_18175
ko:K10805	mtuc:J113_18180
ko:K06215	mtuc:J113_18185
ko:K00275	mtuc:J113_18190
ko:K06168	mtuc:J113_18975
ko:K03565	mtuc:J113_18990
ko:K00995	mtuc:J113_19075
ko:K03466	mtuc:J113_19085
ko:K00116	mtuc:J113_19755
ko:K07241	mtuc:J113_19790
ko:K07010	mtuc:J113_19825
ko:K01915	mtuc:J113_19830
ko:K01265	mtuc:J113_19835
ko:K00099	mtuc:J113_19910
ko:K01433	mtuc:J113_20640
ko:K00954	mtuc:J113_20650
ko:K03655	mtuc:J113_20715
ko:K02902	mtuc:J113_20735
ko:K03648	mtuc:J113_20740
ko:K01921	mtuc:J113_20780
ko:K00057	mtuc:J113_20785
ko:K01079	mtuc:J113_21200
ko:K13979	mtuc:J113_21230
ko:K02346	mtuc:J113_21285
ko:K03426	mtuc:J113_22290
ko:K02361	mtuc:J113_22415
ko:K07682	mtuc:J113_21825
ko:K14220	mtuc:J113_t27455
ko:K14232	mtuc:J113_t27457
ko:K14222	mtuc:J113_t27471
ko:K02067	mtuc:J113_24405
ko:K01990	mtuc:J113_11735
ko:K14228	mtuc:J113_t27411
ko:K14233	mtuc:J113_t27495
ko:K14233	mtuc:J113_t27489
ko:K14233	mtuc:J113_t27493
ko:K14233	mtuc:J113_t27487
ko:K14232	mtuc:J113_t27485
ko:K14234	mtuc:J113_t27423
ko:K14229	mtuc:J113_t27425
ko:K14221	mtuc:J113_t27429
ko:K14219	mtuc:J113_t27433
ko:K14223	mtuc:J113_t27437
ko:K14228	mtuc:J113_t27439
ko:K14219	mtuc:J113_t27441
ko:K01980	mtuc:J113_r27501
ko:K14229	mtuc:J113_t27465
ko:K07045	mtuc:J113_13025
ko:K07045	mtuc:J113_15980
ko:K14230	mtuc:J113_t27453
ko:K14237	mtuc:J113_t27451
ko:K14228	mtuc:J113_t27445
ko:K14237	mtuc:J113_t27467
ko:K14225	mtuc:J113_t27469
ko:K14218	mtuc:J113_t27479
ko:K14235	mtuc:J113_t27421
ko:K14234	mtuc:J113_t27417
ko:K14225	mtuc:J113_t27413
ko:K14218	mtuc:J113_t27409
ko:K14236	mtuc:J113_t27415
ko:K14230	mtuc:J113_t27419
ko:K14224	mtuc:J113_t27427
ko:K14228	mtuc:J113_t27443
ko:K14232	mtuc:J113_t27447
ko:K14225	mtuc:J113_t27459
ko:K14219	mtuc:J113_t27461
ko:K14226	mtuc:J113_t27463
ko:K14230	mtuc:J113_t27481
ko:K14219	mtuc:J113_t27491
ko:K14231	mtuc:J113_t27431
ko:K01985	mtuc:J113_r27497
ko:K01977	mtuc:J113_r27499
ko:K01897	mtuc:J113_15170
ko:K02484	mtuc:J113_05360
ko:K02484	mtuc:J113_04305
ko:K14227	mtuc:J113_t27407
ko:K14228	mtuc:J113_t27449
ko:K14224	mtuc:J113_t27475
ko:K14223	mtuc:J113_t27477
ko:K01990	mtuc:J113_08545
ko:K01990	mtuc:J113_20415
ko:K14237	mtuc:J113_t27473
ko:K01259	mtuc:J113_05870
ko:K02480	mtuc:J113_05905
ko:K01796	mtuc:J113_05975
ko:K01782	mtuc:J113_06010
ko:K10843	mtuc:J113_06015
ko:K03635	mtuc:J113_06055
ko:K04750	mtuc:J113_06215
ko:K00666	mtuc:J113_07120
ko:K02428	mtuc:J113_07190
ko:K09009	mtuc:J113_07215
ko:K07656	mtuc:J113_07280
ko:K07672	mtuc:J113_07285
ko:K13669	mtuc:J113_08115
ko:K01724	mtuc:J113_08120
ko:K00374	mtuc:J113_08160
ko:K15525	mtuc:J113_08195
ko:K06994	mtuc:J113_08300
