ko:K06180	lps:LPST_C1836
ko:K00858	lps:LPST_C1837
ko:K08602	lps:LPST_C1840
ko:K03975	lps:LPST_C1850
ko:K05823	lps:LPST_C1875
ko:K07095	lps:LPST_C1878
ko:K01776	lps:LPST_C1880
ko:K03671	lps:LPST_C1882
ko:K07456	lps:LPST_C1883
ko:K09888	lps:LPST_C1884
ko:K07447	lps:LPST_C1886
ko:K01872	lps:LPST_C1888
ko:K02346	lps:LPST_C1891
ko:K03210	lps:LPST_C1892
ko:K00773	lps:LPST_C1893
ko:K07568	lps:LPST_C1894
ko:K03551	lps:LPST_C1895
ko:K03550	lps:LPST_C1896
ko:K03572	lps:LPST_C1901
ko:K03555	lps:LPST_C1902
ko:K09769	lps:LPST_C1903
ko:K02907	lps:LPST_C0843
ko:K02876	lps:LPST_C0844
ko:K03076	lps:LPST_C0845
ko:K02518	lps:LPST_C0847
ko:K02952	lps:LPST_C0848
ko:K02948	lps:LPST_C0849
ko:K03040	lps:LPST_C0850
ko:K02879	lps:LPST_C0851
ko:K03885	lps:LPST_C0855
ko:K03734	lps:LPST_C0858
ko:K06173	lps:LPST_C0862
ko:K02871	lps:LPST_C0863
ko:K02996	lps:LPST_C0864
ko:K00615	lps:LPST_C0868
ko:K00014	lps:LPST_C0869
ko:K01735	lps:LPST_C0871
ko:K03319	lps:LPST_C0872
ko:K03780	lps:LPST_C0874
ko:K03319	lps:LPST_C0883
ko:K00425	lps:LPST_C0903
ko:K00426	lps:LPST_C0904
ko:K02548	lps:LPST_C0909
ko:K03816	lps:LPST_C0913
ko:K01589	lps:LPST_C0915
ko:K03657	lps:LPST_C0917
ko:K01972	lps:LPST_C0918
ko:K02435	lps:LPST_C0920
ko:K02434	lps:LPST_C0922
ko:K02761	lps:LPST_C0927
ko:K03704	lps:LPST_C0932
ko:K02761	lps:LPST_C0936
ko:K00262	lps:LPST_C0940
ko:K00995	lps:LPST_C1907
ko:K00928	lps:LPST_C1911
ko:K02029	lps:LPST_C1915
ko:K03609	lps:LPST_C1916
ko:K03610	lps:LPST_C1917
ko:K03571	lps:LPST_C1918
ko:K01756	lps:LPST_C2692
ko:K01939	lps:LPST_C2693
ko:K00364	lps:LPST_C2694
ko:K01919	lps:LPST_C1942
ko:K07478	lps:LPST_C1943
ko:K01126	lps:LPST_C1948
ko:K01921	lps:LPST_C1949
ko:K02073	lps:LPST_C1953
ko:K02072	lps:LPST_C1954
ko:K02071	lps:LPST_C1955
ko:K02437	lps:LPST_C1956
ko:K05837	lps:LPST_C1957
ko:K08998	lps:LPST_C1959
ko:K03569	lps:LPST_C1960
ko:K00790	lps:LPST_C1962
ko:K07058	lps:LPST_C0944
ko:K02440	lps:LPST_C0945
ko:K00948	lps:LPST_C1786
ko:K03581	lps:LPST_C1787
ko:K00700	lps:LPST_C0018
ko:K02112	lps:LPST_C1964
ko:K02115	lps:LPST_C1965
ko:K02111	lps:LPST_C1966
ko:K02113	lps:LPST_C1967
ko:K02109	lps:LPST_C1968
ko:K03315	lps:LPST_C2744
ko:K03575	lps:LPST_C2753
ko:K13993	lps:LPST_C2756
ko:K01610	lps:LPST_C2797
ko:K07223	lps:LPST_C2809
ko:K03183	lps:LPST_C2810
ko:K01534	lps:LPST_C2813
ko:K02440	lps:LPST_C2814
ko:K03671	lps:LPST_C2815
ko:K02114	lps:LPST_C1963
ko:K07407	lps:LPST_C2855
ko:K02529	lps:LPST_C2858
ko:K03734	lps:LPST_C2862
ko:K03785	lps:LPST_C2863
ko:K00014	lps:LPST_C2864
ko:K02761	lps:LPST_C2870
ko:K07106	lps:LPST_C2871
ko:K01223	lps:LPST_C2877
ko:K01223	lps:LPST_C2878
ko:K02529	lps:LPST_C2882
ko:K01442	lps:LPST_C2886
ko:K00615	lps:LPST_C2888
ko:K02774	lps:LPST_C2897
ko:K02773	lps:LPST_C2898
ko:K10041	lps:LPST_C0687
ko:K03534	lps:LPST_C2939
ko:K00848	lps:LPST_C2940
ko:K03696	lps:LPST_C0816
ko:K03043	lps:LPST_C0818
ko:K02519	lps:LPST_C1630
ko:K03046	lps:LPST_C0819
ko:K02950	lps:LPST_C0821
ko:K02992	lps:LPST_C0822
ko:K02355	lps:LPST_C0823
ko:K02946	lps:LPST_C0824
ko:K02906	lps:LPST_C0825
ko:K02926	lps:LPST_C0826
ko:K02892	lps:LPST_C0827
ko:K02886	lps:LPST_C0828
ko:K02965	lps:LPST_C0829
ko:K02890	lps:LPST_C0830
ko:K02982	lps:LPST_C0831
ko:K02878	lps:LPST_C0832
ko:K02904	lps:LPST_C0833
ko:K02961	lps:LPST_C0834
ko:K02874	lps:LPST_C0835
ko:K02895	lps:LPST_C0836
ko:K02931	lps:LPST_C0837
ko:K02954	lps:LPST_C0838
ko:K02994	lps:LPST_C0839
ko:K02933	lps:LPST_C0840
ko:K01736	lps:LPST_C1627
ko:K02834	lps:LPST_C1629
ko:K13052	lps:LPST_C0451
ko:K02600	lps:LPST_C1633
ko:K09748	lps:LPST_C1634
ko:K03763	lps:LPST_C1635
ko:K01881	lps:LPST_C1638
ko:K00981	lps:LPST_C1640
ko:K00806	lps:LPST_C1641
ko:K02838	lps:LPST_C1642
ko:K09903	lps:LPST_C1643
ko:K02357	lps:LPST_C1644
ko:K02967	lps:LPST_C1645
ko:K03778	lps:LPST_C1647
ko:K00655	lps:LPST_C1649
ko:K01910	lps:LPST_C0886
ko:K01646	lps:LPST_C0887
ko:K01644	lps:LPST_C0888
