ko:K02039	lmoo:LMOSLCC2378_2498
ko:K02036	lmoo:LMOSLCC2378_2499
ko:K02036	lmoo:LMOSLCC2378_2500
ko:K02038	lmoo:LMOSLCC2378_2501
ko:K02037	lmoo:LMOSLCC2378_2502
ko:K02040	lmoo:LMOSLCC2378_2503
ko:K07636	lmoo:LMOSLCC2378_2504
ko:K06131	lmoo:LMOSLCC2378_2507
ko:K09811	lmoo:LMOSLCC2378_2510
ko:K09812	lmoo:LMOSLCC2378_2511
ko:K02836	lmoo:LMOSLCC2378_2513
ko:K03070	lmoo:LMOSLCC2378_2514
ko:K09817	lmoo:LMOSLCC2378_0170
ko:K09816	lmoo:LMOSLCC2378_0171
ko:K02341	lmoo:LMOSLCC2378_0178
ko:K07461	lmoo:LMOSLCC2378_0182
ko:K07056	lmoo:LMOSLCC2378_0183
ko:K06284	lmoo:LMOSLCC2378_0184
ko:K05340	lmoo:LMOSLCC2378_0185
ko:K01874	lmoo:LMOSLCC2378_0189
ko:K03424	lmoo:LMOSLCC2378_0198
ko:K05985	lmoo:LMOSLCC2378_0200
ko:K02528	lmoo:LMOSLCC2378_0201
ko:K00919	lmoo:LMOSLCC2378_0203
ko:K02003	lmoo:LMOSLCC2378_0207
ko:K06412	lmoo:LMOSLCC2378_0209
ko:K06412	lmoo:LMOSLCC2378_0210
ko:K04042	lmoo:LMOSLCC2378_0211
ko:K03925	lmoo:LMOSLCC2378_2066
ko:K00077	lmoo:LMOSLCC2378_2069
ko:K02911	lmoo:LMOSLCC2378_2071
ko:K07040	lmoo:LMOSLCC2378_2072
ko:K00954	lmoo:LMOSLCC2378_2076
ko:K02259	lmoo:LMOSLCC2378_2082
ko:K10716	lmoo:LMOSLCC2378_2083
ko:K14166	lmoo:LMOSLCC2378_2086
ko:K03282	lmoo:LMOSLCC2378_2088
ko:K01442	lmoo:LMOSLCC2378_2091
ko:K04077	lmoo:LMOSLCC2378_2092
ko:K04078	lmoo:LMOSLCC2378_2093
