ko:K03437	amae:I876_13920
ko:K13639	amae:I876_13965
ko:K02616	amae:I876_13990
ko:K09456	amae:I876_13995
ko:K05851	amae:I876_14035
ko:K13483	amae:I876_14070
ko:K11178	amae:I876_14075
ko:K11177	amae:I876_14080
ko:K03088	amae:I876_18195
ko:K02939	amae:I876_18215
ko:K02963	amae:I876_18220
ko:K02990	amae:I876_18225
ko:K09918	amae:I876_18235
ko:K02003	amae:I876_18240
ko:K16264	amae:I876_18270
ko:K03315	amae:I876_18285
ko:K05349	amae:I876_18290
ko:K02429	amae:I876_18295
ko:K02529	amae:I876_18305
ko:K00426	amae:I876_18330
ko:K00425	amae:I876_18335
ko:K15034	amae:I876_18415
ko:K12262	amae:I876_18440
ko:K03885	amae:I876_18450
ko:K05786	amae:I876_00855
ko:K03657	amae:I876_00865
ko:K00640	amae:I876_00870
ko:K03733	amae:I876_00880
ko:K09921	amae:I876_00885
ko:K01778	amae:I876_00890
ko:K01586	amae:I876_00895
ko:K02553	amae:I876_00915
ko:K03186	amae:I876_00950
ko:K02558	amae:I876_00955
ko:K03841	amae:I876_00960
ko:K02305	amae:I876_01720
ko:K03618	amae:I876_01765
ko:K04653	amae:I876_01785
ko:K04651	amae:I876_01790
ko:K04654	amae:I876_01800
ko:K04656	amae:I876_01805
ko:K07233	amae:I876_01920
ko:K03413	amae:I876_01955
ko:K03407	amae:I876_01960
ko:K03412	amae:I876_01985
ko:K03413	amae:I876_01995
ko:K00860	amae:I876_06170
ko:K01940	amae:I876_02545
ko:K00611	amae:I876_02550
ko:K00930	amae:I876_02555
ko:K00145	amae:I876_02560
ko:K01734	amae:I876_02565
ko:K03216	amae:I876_02590
ko:K00057	amae:I876_02600
ko:K03071	amae:I876_02605
ko:K09798	amae:I876_02625
ko:K01126	amae:I876_02635
ko:K01613	amae:I876_02645
ko:K06949	amae:I876_02650
ko:K13288	amae:I876_02655
ko:K09897	amae:I876_02670
ko:K01652	amae:I876_02675
ko:K01653	amae:I876_02680
ko:K03116	amae:I876_02695
ko:K03117	amae:I876_02700
ko:K03118	amae:I876_02705
ko:K03424	amae:I876_02715
ko:K01698	amae:I876_02725
ko:K01524	amae:I876_02730
ko:K03732	amae:I876_02735
ko:K03671	amae:I876_02740
ko:K03628	amae:I876_02745
ko:K03313	amae:I876_02760
ko:K01588	amae:I876_02765
ko:K01589	amae:I876_02770
ko:K04047	amae:I876_02780
ko:K05838	amae:I876_02800
ko:K06186	amae:I876_06950
ko:K03631	amae:I876_06955
ko:K04047	amae:I876_06960
ko:K00858	amae:I876_06965
ko:K00019	amae:I876_06975
ko:K00641	amae:I876_06985
ko:K03687	amae:I876_07010
ko:K04043	amae:I876_07015
ko:K03686	amae:I876_07020
ko:K01908	amae:I876_07035
ko:K00215	amae:I876_07045
ko:K01956	amae:I876_07050
ko:K01955	amae:I876_07055
ko:K03624	amae:I876_07060
ko:K04080	amae:I876_07075
ko:K00925	amae:I876_07080
ko:K13788	amae:I876_07085
ko:K03820	amae:I876_07100
ko:K06189	amae:I876_07105
ko:K07042	amae:I876_07110
ko:K06168	amae:I876_07120
ko:K03184	amae:I876_07125
ko:K03310	amae:I876_07180
ko:K01129	amae:I876_11410
ko:K17247	amae:I876_11420
ko:K09858	amae:I876_11435
ko:K02018	amae:I876_11495
ko:K02020	amae:I876_11500
ko:K03636	amae:I876_11510
ko:K03637	amae:I876_11515
ko:K03638	amae:I876_11520
ko:K06987	amae:I876_11535
ko:K00817	amae:I876_11570
ko:K00549	amae:I876_11585
ko:K11939	amae:I876_11600
ko:K03581	amae:I876_11615
ko:K03582	amae:I876_11620
ko:K03583	amae:I876_11625
ko:K07226	amae:I876_15745
ko:K02013	amae:I876_15750
ko:K02015	amae:I876_15755
ko:K02016	amae:I876_15760
ko:K16089	amae:I876_15770
ko:K02440	amae:I876_15780
ko:K03324	amae:I876_15820
ko:K01251	amae:I876_15835
ko:K06136	amae:I876_15905
ko:K06137	amae:I876_15910
ko:K06139	amae:I876_15920
ko:K07675	amae:I876_15975
ko:K00140	amae:I876_15990
ko:K02168	amae:I876_16000
ko:K03088	amae:I876_16005
ko:K05527	amae:I876_03385
ko:K09962	amae:I876_03395
ko:K03321	amae:I876_03415
ko:K00362	amae:I876_03420
ko:K00363	amae:I876_03425
ko:K00372	amae:I876_03430
ko:K07023	amae:I876_03470
ko:K03673	amae:I876_03475
ko:K16092	amae:I876_03480
ko:K03086	amae:I876_03560
ko:K09117	amae:I876_03570
ko:K02970	amae:I876_03580
ko:K08591	amae:I876_03595
ko:K01633	amae:I876_03600
ko:K00950	amae:I876_03605
ko:K06153	amae:I876_03610
ko:K02503	amae:I876_03615
ko:K05782	amae:I876_03630
ko:K03554	amae:I876_03640
ko:K00790	amae:I876_07795
ko:K00075	amae:I876_07800
ko:K16703	amae:I876_07805
ko:K01889	amae:I876_07840
ko:K01890	amae:I876_07845
ko:K04764	amae:I876_07850
ko:K01434	amae:I876_07865
ko:K01207	amae:I876_07870
ko:K03723	amae:I876_07885
ko:K09808	amae:I876_07895
ko:K07101	amae:I876_07900
ko:K01142	amae:I876_07920
ko:K02426	amae:I876_07935
ko:K00975	amae:I876_07965
ko:K01640	amae:I876_07990
ko:K01968	amae:I876_07995
ko:K13766	amae:I876_08000
ko:K01969	amae:I876_08005
ko:K00253	amae:I876_08010
ko:K00690	amae:I876_12220
ko:K03781	amae:I876_12235
ko:K06169	amae:I876_12260
ko:K00764	amae:I876_12270
ko:K03558	amae:I876_12275
ko:K03749	amae:I876_12280
ko:K11754	amae:I876_12285
ko:K01963	amae:I876_12290
ko:K06173	amae:I876_12300
ko:K03473	amae:I876_12320
ko:K15461	amae:I876_12360
ko:K05776	amae:I876_12415
ko:K02106	amae:I876_12420
ko:K09906	amae:I876_12450
ko:K07107	amae:I876_12460
ko:K03457	amae:I876_16590
ko:K00140	amae:I876_16600
ko:K09024	amae:I876_16605
ko:K09019	amae:I876_16610
ko:K09023	amae:I876_16615
ko:K09021	amae:I876_16620
ko:K09018	amae:I876_16630
ko:K02346	amae:I876_16665
ko:K07154	amae:I876_16675
ko:K05952	amae:I876_16680
ko:K03734	amae:I876_16685
ko:K00351	amae:I876_16690
ko:K00350	amae:I876_16695
ko:K00349	amae:I876_16700
ko:K00348	amae:I876_16705
ko:K00347	amae:I876_16710
ko:K00346	amae:I876_16715
ko:K00209	amae:I876_16720
ko:K03773	amae:I876_16725
ko:K01595	amae:I876_16730
ko:K03782	amae:I876_16735
ko:K00024	amae:I876_16745
ko:K03402	amae:I876_16750
ko:K00876	amae:I876_16775
ko:K14393	amae:I876_16815
ko:K01879	amae:I876_00035
ko:K01878	amae:I876_00040
ko:K01246	amae:I876_00045
ko:K09894	amae:I876_00055
ko:K03978	amae:I876_00070
ko:K03500	amae:I876_00095
ko:K00604	amae:I876_00100
ko:K01462	amae:I876_00105
ko:K04096	amae:I876_00115
ko:K07479	amae:I876_00125
ko:K07566	amae:I876_00130
ko:K00228	amae:I876_00135
ko:K07275	amae:I876_00140
ko:K06886	amae:I876_00145
ko:K00014	amae:I876_00150
ko:K14161	amae:I876_00195
ko:K05501	amae:I876_00230
ko:K13038	amae:I876_00235
ko:K03630	amae:I876_00240
ko:K02902	amae:I876_00265
ko:K02913	amae:I876_00270
ko:K00954	amae:I876_00285
ko:K11211	amae:I876_00290
ko:K02451	amae:I876_04520
ko:K01704	amae:I876_04530
ko:K01703	amae:I876_04535
ko:K00052	amae:I876_04540
ko:K01649	amae:I876_04545
ko:K01689	amae:I876_04555
ko:K01937	amae:I876_04560
ko:K03555	amae:I876_04565
ko:K04061	amae:I876_04590
ko:K02194	amae:I876_04605
ko:K02195	amae:I876_04610
ko:K02196	amae:I876_04615
ko:K02197	amae:I876_04620
ko:K02198	amae:I876_04625
ko:K02199	amae:I876_04630
ko:K04754	amae:I876_04645
ko:K03305	amae:I876_04660
ko:K10107	amae:I876_04665
ko:K09689	amae:I876_04670
ko:K09688	amae:I876_04675
ko:K12990	amae:I876_04700
ko:K00963	amae:I876_04705
ko:K02237	amae:I876_04710
ko:K06966	amae:I876_04730
ko:K06879	amae:I876_04740
ko:K15723	amae:I876_04745
ko:K06175	amae:I876_04780
ko:K02742	amae:I876_08865
ko:K04773	amae:I876_08870
ko:K03644	amae:I876_08900
ko:K03801	amae:I876_08905
ko:K09158	amae:I876_08910
ko:K03642	amae:I876_08920
ko:K05837	amae:I876_08925
ko:K05515	amae:I876_08930
ko:K00783	amae:I876_08935
ko:K09710	amae:I876_08940
ko:K00969	amae:I876_08945
ko:K02340	amae:I876_08950
ko:K03643	amae:I876_08955
ko:K01869	amae:I876_08960
ko:K07574	amae:I876_08995
