ko:K02015	banr:A16R_57090
ko:K06314	banr:A16R_57130
ko:K03575	banr:A16R_05670
ko:K06422	banr:A16R_05690
ko:K07586	banr:A16R_05730
ko:K11085	banr:A16R_05740
ko:K01845	banr:A16R_05790
ko:K01990	banr:A16R_05800
ko:K01992	banr:A16R_05810
ko:K01992	banr:A16R_05820
ko:K08713	banr:A16R_05830
ko:K03564	banr:A16R_05840
ko:K09825	banr:A16R_05850
ko:K03574	banr:A16R_06070
ko:K03216	banr:A16R_06140
ko:K07180	banr:A16R_06160
ko:K09786	banr:A16R_06170
ko:K01387	banr:A16R_06210
ko:K07192	banr:A16R_06230
ko:K03406	banr:A16R_06240
ko:K14188	banr:A16R_14510
ko:K03739	banr:A16R_14520
ko:K03367	banr:A16R_14530
ko:K03839	banr:A16R_14570
ko:K03327	banr:A16R_14640
ko:K06153	banr:A16R_14650
ko:K03498	banr:A16R_14710
ko:K00826	banr:A16R_14780
ko:K01652	banr:A16R_14790
ko:K01653	banr:A16R_14800
ko:K00053	banr:A16R_14810
ko:K01649	banr:A16R_14820
ko:K00052	banr:A16R_14830
ko:K01703	banr:A16R_14840
ko:K01704	banr:A16R_14850
ko:K02502	banr:A16R_14860
ko:K00765	banr:A16R_14870
ko:K00013	banr:A16R_14880
ko:K01693	banr:A16R_14890
ko:K02501	banr:A16R_14900
ko:K01814	banr:A16R_14910
ko:K02500	banr:A16R_14920
ko:K01496	banr:A16R_14930
ko:K01523	banr:A16R_14940
ko:K04486	banr:A16R_14950
ko:K17103	banr:A16R_14980
ko:K01586	banr:A16R_15010
ko:K00390	banr:A16R_15030
ko:K00851	banr:A16R_23370
ko:K00851	banr:A16R_23380
ko:K03206	banr:A16R_23410
ko:K05847	banr:A16R_23440
ko:K05845	banr:A16R_23450
ko:K05846	banr:A16R_23450
ko:K03758	banr:A16R_23460
ko:K11686	banr:A16R_23510
ko:K01034	banr:A16R_23590
ko:K01438	banr:A16R_23610
ko:K06714	banr:A16R_23630
ko:K01843	banr:A16R_23640
ko:K06377	banr:A16R_23730
ko:K00121	banr:A16R_32000
ko:K07217	banr:A16R_32020
ko:K01744	banr:A16R_32030
ko:K01424	banr:A16R_32040
ko:K03294	banr:A16R_32080
ko:K03311	banr:A16R_32090
ko:K00027	banr:A16R_32130
ko:K06312	banr:A16R_32160
ko:K06312	banr:A16R_32170
ko:K06311	banr:A16R_32180
ko:K06310	banr:A16R_32190
ko:K01425	banr:A16R_32250
ko:K03781	banr:A16R_32340
ko:K09932	banr:A16R_32380
