ko:K07145	saui:AZ30_00865
ko:K09790	saui:AZ30_00870
ko:K00128	saui:AZ30_00875
ko:K16264	saui:AZ30_00880
ko:K02049	saui:AZ30_00895
ko:K02051	saui:AZ30_00900
ko:K02050	saui:AZ30_00905
ko:K00122	saui:AZ30_00920
ko:K08996	saui:AZ30_00940
ko:K00930	saui:AZ30_00945
ko:K00620	saui:AZ30_00950
ko:K00145	saui:AZ30_00955
ko:K00819	saui:AZ30_00960
ko:K03311	saui:AZ30_00965
ko:K09963	saui:AZ30_00990
ko:K07106	saui:AZ30_00995
ko:K02809	saui:AZ30_01000
ko:K02810	saui:AZ30_01000
ko:K01153	saui:AZ30_01010
ko:K02016	saui:AZ30_05415
ko:K02015	saui:AZ30_05420
ko:K08600	saui:AZ30_05425
ko:K07145	saui:AZ30_05430
ko:K03437	saui:AZ30_05435
ko:K01889	saui:AZ30_05440
ko:K01890	saui:AZ30_05445
ko:K03471	saui:AZ30_05450
ko:K09888	saui:AZ30_05455
ko:K02347	saui:AZ30_05465
ko:K07456	saui:AZ30_05470
ko:K03671	saui:AZ30_05475
ko:K03703	saui:AZ30_05480
ko:K00241	saui:AZ30_05485
ko:K00239	saui:AZ30_05490
ko:K00240	saui:AZ30_05495
ko:K01776	saui:AZ30_05500
ko:K02428	saui:AZ30_05505
ko:K07095	saui:AZ30_05510
ko:K14200	saui:AZ30_05530
ko:K11032	saui:AZ30_05550
ko:K00611	saui:AZ30_05585
ko:K00926	saui:AZ30_05590
ko:K11041	saui:AZ30_05605
ko:K07025	saui:AZ30_05630
ko:K03925	saui:AZ30_05645
ko:K03438	saui:AZ30_05650
ko:K12552	saui:AZ30_05660
ko:K01000	saui:AZ30_05665
ko:K01925	saui:AZ30_05670
ko:K03589	saui:AZ30_05675
ko:K03590	saui:AZ30_05680
ko:K03531	saui:AZ30_05685
ko:K05810	saui:AZ30_05690
ko:K06997	saui:AZ30_05695
ko:K01104	saui:AZ30_10035
ko:K07058	saui:AZ30_10045
ko:K07694	saui:AZ30_10050
ko:K07681	saui:AZ30_10055
ko:K01265	saui:AZ30_10070
ko:K07009	saui:AZ30_10085
ko:K02217	saui:AZ30_10095
ko:K02342	saui:AZ30_10100
ko:K02346	saui:AZ30_10105
ko:K03215	saui:AZ30_10115
ko:K02434	saui:AZ30_10125
ko:K02433	saui:AZ30_10130
ko:K02435	saui:AZ30_10135
ko:K11928	saui:AZ30_10140
ko:K01972	saui:AZ30_10150
ko:K03657	saui:AZ30_10155
ko:K07094	saui:AZ30_10160
ko:K01756	saui:AZ30_10170
ko:K08258	saui:AZ30_10175
ko:K01916	saui:AZ30_10195
ko:K00763	saui:AZ30_10200
ko:K00491	saui:AZ30_10205
ko:K00123	saui:AZ30_12170
ko:K07052	saui:AZ30_12190
ko:K03453	saui:AZ30_12230
ko:K02749	saui:AZ30_12240
ko:K02750	saui:AZ30_12240
ko:K03481	saui:AZ30_12245
ko:K01468	saui:AZ30_12275
ko:K01712	saui:AZ30_12280
ko:K11210	saui:AZ30_12290
ko:K01479	saui:AZ30_12295
ko:K01807	saui:AZ30_12305
ko:K01785	saui:AZ30_12315
ko:K09771	saui:AZ30_12320
ko:K01992	saui:AZ30_12325
ko:K01990	saui:AZ30_12330
ko:K03652	saui:AZ30_12340
ko:K03312	saui:AZ30_12345
ko:K01823	saui:AZ30_12350
ko:K03284	saui:AZ30_12355
ko:K07107	saui:AZ30_12360
ko:K07552	saui:AZ30_12395
ko:K09814	saui:AZ30_12420
ko:K09813	saui:AZ30_12425
ko:K04075	saui:AZ30_02495
ko:K00760	saui:AZ30_02500
ko:K03798	saui:AZ30_02505
ko:K04083	saui:AZ30_02510
ko:K01738	saui:AZ30_02515
ko:K00796	saui:AZ30_02520
ko:K01633	saui:AZ30_02525
ko:K00950	saui:AZ30_02530
ko:K04567	saui:AZ30_02535
ko:K00375	saui:AZ30_02620
ko:K06215	saui:AZ30_02625
ko:K08681	saui:AZ30_02630
ko:K11535	saui:AZ30_02635
ko:K03708	saui:AZ30_02640
ko:K03696	saui:AZ30_02655
ko:K04485	saui:AZ30_02660
ko:K09698	saui:AZ30_02670
ko:K00640	saui:AZ30_02675
ko:K01883	saui:AZ30_02680
ko:K11145	saui:AZ30_02685
ko:K03218	saui:AZ30_02690
ko:K06962	saui:AZ30_02695
ko:K03091	saui:AZ30_02700
ko:K02913	saui:AZ30_02705
ko:K03073	saui:AZ30_02710
ko:K02601	saui:AZ30_02715
ko:K02867	saui:AZ30_02720
ko:K02863	saui:AZ30_02725
ko:K02864	saui:AZ30_02730
ko:K02935	saui:AZ30_02735
ko:K03043	saui:AZ30_02745
ko:K03046	saui:AZ30_02750
ko:K07590	saui:AZ30_02755
ko:K02950	saui:AZ30_02760
ko:K02992	saui:AZ30_02765
ko:K02355	saui:AZ30_02770
ko:K02358	saui:AZ30_02775
ko:K00639	saui:AZ30_02785
ko:K05523	saui:AZ30_02790
ko:K00853	saui:AZ30_02795
ko:K06973	saui:AZ30_07135
ko:K00800	saui:AZ30_07155
ko:K01735	saui:AZ30_07160
ko:K01736	saui:AZ30_07165
ko:K00940	saui:AZ30_07175
ko:K00805	saui:AZ30_07180
ko:K03183	saui:AZ30_07185
ko:K03530	saui:AZ30_07195
ko:K00057	saui:AZ30_07200
ko:K03977	saui:AZ30_07205
ko:K02945	saui:AZ30_07210
ko:K00945	saui:AZ30_07215
ko:K01424	saui:AZ30_07220
ko:K03654	saui:AZ30_07235
ko:K05337	saui:AZ30_07245
ko:K02031	saui:AZ30_01030
ko:K02032	saui:AZ30_01030
ko:K02033	saui:AZ30_01035
ko:K02034	saui:AZ30_01040
ko:K02035	saui:AZ30_01045
ko:K01118	saui:AZ30_01060
ko:K10112	saui:AZ30_01070
ko:K15770	saui:AZ30_01075
ko:K15771	saui:AZ30_01080
ko:K15772	saui:AZ30_01085
ko:K07784	saui:AZ30_01110
ko:K07720	saui:AZ30_01115
ko:K02012	saui:AZ30_01125
ko:K00656	saui:AZ30_01130
ko:K04069	saui:AZ30_01135
ko:K01126	saui:AZ30_01145
ko:K07516	saui:AZ30_01165
ko:K00252	saui:AZ30_01170
ko:K01897	saui:AZ30_01175
ko:K02035	saui:AZ30_01190
ko:K05916	saui:AZ30_01205
ko:K00016	saui:AZ30_01210
ko:K02773	saui:AZ30_01230
ko:K02774	saui:AZ30_01235
ko:K02775	saui:AZ30_01240
ko:K00008	saui:AZ30_01245
ko:K00008	saui:AZ30_01255
ko:K05352	saui:AZ30_01265
ko:K07322	saui:AZ30_01300
ko:K07704	saui:AZ30_01305
ko:K09772	saui:AZ30_05700
ko:K02221	saui:AZ30_05705
ko:K04074	saui:AZ30_05715
ko:K01870	saui:AZ30_05720
ko:K07104	saui:AZ30_05730
ko:K03101	saui:AZ30_05740
ko:K06180	saui:AZ30_05745
ko:K02825	saui:AZ30_05750
ko:K02824	saui:AZ30_05755
ko:K00609	saui:AZ30_05760
ko:K01465	saui:AZ30_05765
ko:K01956	saui:AZ30_05770
ko:K01955	saui:AZ30_05775
ko:K01591	saui:AZ30_05780
ko:K00762	saui:AZ30_05785
ko:K00942	saui:AZ30_05805
ko:K03060	saui:AZ30_05810
ko:K13038	saui:AZ30_05815
ko:K04066	saui:AZ30_05820
ko:K01462	saui:AZ30_05835
ko:K00604	saui:AZ30_05840
ko:K03500	saui:AZ30_05845
ko:K06941	saui:AZ30_05850
ko:K06949	saui:AZ30_05865
ko:K01783	saui:AZ30_05870
ko:K02902	saui:AZ30_05880
