ko:K01772	echw:ECHWAK_0719
ko:K06916	echw:ECHWAK_0721
ko:K06147	echw:ECHWAK_0728
ko:K00796	echw:ECHWAK_0730
ko:K01955	echw:ECHWAK_0732
ko:K01679	echw:ECHWAK_0734
ko:K01465	echw:ECHWAK_0738
ko:K03801	echw:ECHWAK_0740
ko:K11175	echw:ECHWAK_0741
ko:K01255	echw:ECHWAK_0742
ko:K03695	echw:ECHWAK_0744
ko:K04077	echw:ECHWAK_0746
ko:K04078	echw:ECHWAK_0747
ko:K03630	echw:ECHWAK_0748
ko:K02904	echw:ECHWAK_0697
ko:K03203	echw:ECHWAK_1026
ko:K03204	echw:ECHWAK_1027
ko:K03196	echw:ECHWAK_1029
ko:K03205	echw:ECHWAK_1030
ko:K03204	echw:ECHWAK_0874
ko:K03203	echw:ECHWAK_0542
ko:K03201	echw:ECHWAK_0618
ko:K03201	echw:ECHWAK_0619
ko:K03201	echw:ECHWAK_0620
ko:K03111	echw:ECHWAK_0324
ko:K03497	echw:ECHWAK_0029
ko:K03496	echw:ECHWAK_0030
ko:K16898	echw:ECHWAK_0726
ko:K03526	echw:ECHWAK_0561
ko:K18990	echw:ECHWAK_0607
ko:K16899	echw:ECHWAK_0321
ko:K18989	echw:ECHWAK_0559
ko:K00611	echw:ECHWAK_0997
ko:K04771	echw:ECHWAK_0119
ko:K05568	echw:ECHWAK_0778
ko:K00525	echw:ECHWAK_0658
ko:K06202	echw:ECHWAK_0793
ko:K03198	echw:ECHWAK_0622
ko:K03199	echw:ECHWAK_0131
ko:K03199	echw:ECHWAK_0621
ko:K03195	echw:ECHWAK_1028
ko:K00821	echw:ECHWAK_0261
ko:K00526	echw:ECHWAK_0372
ko:K03676	echw:ECHWAK_0110
ko:K01520	echw:ECHWAK_0615
ko:K02314	echw:ECHWAK_0666
ko:K03553	echw:ECHWAK_0069
ko:K02316	echw:ECHWAK_0376
ko:K03465	echw:ECHWAK_0788
ko:K06904	echw:ECHWAK_1038
ko:K02335	echw:ECHWAK_0995
ko:K21929	echw:ECHWAK_1000
ko:K21977	echw:ECHWAK_0737
ko:K03595	echw:ECHWAK_0641
ko:K11991	echw:ECHWAK_0668
ko:K02257	echw:ECHWAK_0160
