ko:K15383	rps:M9Y_03255
ko:K06147	rps:M9Y_03345
ko:K02067	rps:M9Y_03520
ko:K09815	rps:M9Y_00060
ko:K00970	rps:M9Y_00065
ko:K02116	rps:M9Y_00110
ko:K01409	rps:M9Y_00170
ko:K03769	rps:M9Y_02770
ko:K01507	rps:M9Y_02830
ko:K11085	rps:M9Y_01885
ko:K07258	rps:M9Y_01890
ko:K01297	rps:M9Y_01955
ko:K02274	rps:M9Y_01970
ko:K03301	rps:M9Y_02420
ko:K03301	rps:M9Y_03580
ko:K01965	rps:M9Y_02970
ko:K01966	rps:M9Y_02975
ko:K00568	rps:M9Y_02995
ko:K01885	rps:M9Y_03000
ko:K00939	rps:M9Y_03070
ko:K01679	rps:M9Y_03195
ko:K01823	rps:M9Y_02205
ko:K01934	rps:M9Y_02245
ko:K01262	rps:M9Y_02335
ko:K03294	rps:M9Y_02340
ko:K13628	rps:M9Y_02345
ko:K04488	rps:M9Y_02350
ko:K00799	rps:M9Y_02380
ko:K03177	rps:M9Y_02425
ko:K14235	rps:M9Y_t04310
ko:K14232	rps:M9Y_t04360
ko:K16053	rps:M9Y_00220
ko:K01840	rps:M9Y_02460
ko:K14223	rps:M9Y_t04330
ko:K14233	rps:M9Y_t04356
ko:K14230	rps:M9Y_t04358
ko:K14222	rps:M9Y_t04318
ko:K07323	rps:M9Y_00445
ko:K14233	rps:M9Y_t04326
ko:K14218	rps:M9Y_t04334
ko:K14231	rps:M9Y_t04302
ko:K14224	rps:M9Y_t04304
ko:K14234	rps:M9Y_t04306
ko:K14234	rps:M9Y_t04312
ko:K14234	rps:M9Y_t04366
ko:K14230	rps:M9Y_t04308
ko:K14230	rps:M9Y_t04314
ko:K01980	rps:M9Y_r04372
ko:K01985	rps:M9Y_r04368
ko:K14220	rps:M9Y_t04316
ko:K14229	rps:M9Y_t04320
ko:K14227	rps:M9Y_t04322
ko:K14233	rps:M9Y_t04324
ko:K14219	rps:M9Y_t04328
ko:K14219	rps:M9Y_t04338
ko:K14219	rps:M9Y_t04362
ko:K14221	rps:M9Y_t04332
ko:K14237	rps:M9Y_t04336
ko:K14237	rps:M9Y_t04346
ko:K14218	rps:M9Y_t04340
ko:K14228	rps:M9Y_t04342
ko:K14228	rps:M9Y_t04352
ko:K14228	rps:M9Y_t04364
ko:K14225	rps:M9Y_t04344
ko:K14225	rps:M9Y_t04348
ko:K01977	rps:M9Y_r04370
ko:K14236	rps:M9Y_t04350
ko:K14226	rps:M9Y_t04354
ko:K00335	rps:M9Y_00550
ko:K02030	rps:M9Y_00725
ko:K15270	rps:M9Y_00365
ko:K17717	rps:M9Y_03970
ko:K00951	rps:M9Y_03010
ko:K17716	rps:M9Y_01625
ko:K14998	rps:M9Y_03555
ko:K09810	rps:M9Y_03365
ko:K02488	rps:M9Y_01160
ko:K02028	rps:M9Y_04215
ko:K17103	rps:M9Y_01185
ko:K08316	rps:M9Y_02625
ko:K05540	rps:M9Y_00045
ko:K01791	rps:M9Y_01630
ko:K12574	rps:M9Y_02150
ko:K05973	rps:M9Y_03275
ko:K11528	rps:M9Y_02210
ko:K06867	rps:M9Y_01110
ko:K04771	rps:M9Y_00595
ko:K06900	rps:M9Y_02890
ko:K03446	rps:M9Y_00760
ko:K18588	rps:M9Y_00800
ko:K18587	rps:M9Y_02960
ko:K18707	rps:M9Y_02025
ko:K06147	rps:M9Y_01050
ko:K03201	rps:M9Y_00495
ko:K03201	rps:M9Y_00500
ko:K03201	rps:M9Y_00505
ko:K03201	rps:M9Y_00510
ko:K03201	rps:M9Y_00515
ko:K03496	rps:M9Y_00685
ko:K03111	rps:M9Y_04060
ko:K03204	rps:M9Y_01395
ko:K03203	rps:M9Y_01400
ko:K03203	rps:M9Y_01410
ko:K03204	rps:M9Y_01415
ko:K03196	rps:M9Y_01425
ko:K03205	rps:M9Y_01430
ko:K03496	rps:M9Y_00275
ko:K03497	rps:M9Y_00280
ko:K16898	rps:M9Y_03560
ko:K16899	rps:M9Y_01960
ko:K00336	rps:M9Y_03865
ko:K06867	rps:M9Y_03455
ko:K09690	rps:M9Y_00020
ko:K09796	rps:M9Y_02755
ko:K00507	rps:M9Y_00175
ko:K03198	rps:M9Y_00485
ko:K03199	rps:M9Y_03805
ko:K04755	rps:M9Y_00985
ko:K03195	rps:M9Y_01420
ko:K03199	rps:M9Y_00490
ko:K03553	rps:M9Y_03695
ko:K03676	rps:M9Y_01010
ko:K02316	rps:M9Y_04170
ko:K03465	rps:M9Y_01470
ko:K01520	rps:M9Y_01940
ko:K02314	rps:M9Y_02610
ko:K06889	rps:M9Y_01675
ko:K07552	rps:M9Y_02895
ko:K00525	rps:M9Y_02480
ko:K00526	rps:M9Y_02475
ko:K02335	rps:M9Y_03765
ko:K10026	rps:M9Y_02915
ko:K21929	rps:M9Y_04100
ko:K03595	rps:M9Y_00565
ko:K11991	rps:M9Y_04035
ko:K02257	rps:M9Y_01690
