ko:K04066	vcz:VAB027_217
ko:K05499	vcz:VAB027_218
ko:K01419	vcz:VAB027_220
ko:K03667	vcz:VAB027_221
ko:K02548	vcz:VAB027_222
ko:K02553	vcz:VAB027_223
ko:K15984	vcz:VAB027_65
ko:K06149	vcz:VAB027_68
ko:K02217	vcz:VAB027_69
ko:K06144	vcz:VAB027_70
ko:K07007	vcz:VAB027_72
ko:K09760	vcz:VAB027_73
ko:K03183	vcz:VAB027_74
ko:K03690	vcz:VAB027_75
ko:K03688	vcz:VAB027_76
ko:K03116	vcz:VAB027_77
ko:K03117	vcz:VAB027_78
ko:K03118	vcz:VAB027_79
ko:K00428	vcz:VAB027_80
ko:K03327	vcz:VAB027_81
ko:K01356	vcz:VAB027_83
ko:K00631	vcz:VAB027_84
