ko:K01649	xoy:AZ54_20115
ko:K00052	xoy:AZ54_20120
ko:K01704	xoy:AZ54_20130
ko:K01703	xoy:AZ54_20135
ko:K01433	xoy:AZ54_02230
ko:K07664	xoy:AZ54_02235
ko:K07642	xoy:AZ54_02240
ko:K07642	xoy:AZ54_02245
ko:K00297	xoy:AZ54_02250
ko:K09765	xoy:AZ54_02255
ko:K03576	xoy:AZ54_02260
ko:K00299	xoy:AZ54_02265
ko:K00549	xoy:AZ54_02275
ko:K02526	xoy:AZ54_02285
ko:K01081	xoy:AZ54_02360
ko:K02078	xoy:AZ54_02375
ko:K00655	xoy:AZ54_02385
ko:K09800	xoy:AZ54_02420
ko:K07278	xoy:AZ54_02425
ko:K03628	xoy:AZ54_02450
ko:K03671	xoy:AZ54_02455
ko:K03732	xoy:AZ54_02460
ko:K09812	xoy:AZ54_02465
ko:K09811	xoy:AZ54_02470
ko:K03648	xoy:AZ54_02480
ko:K03089	xoy:AZ54_02485
ko:K03885	xoy:AZ54_02495
ko:K07481	xoy:AZ54_07115
ko:K09779	xoy:AZ54_07145
ko:K05838	xoy:AZ54_07180
ko:K01869	xoy:AZ54_07190
ko:K03643	xoy:AZ54_07195
ko:K02340	xoy:AZ54_07200
ko:K00969	xoy:AZ54_07205
ko:K09710	xoy:AZ54_07210
ko:K00783	xoy:AZ54_07235
ko:K03832	xoy:AZ54_07240
ko:K07481	xoy:AZ54_07260
ko:K09807	xoy:AZ54_07275
ko:K06287	xoy:AZ54_07280
ko:K08301	xoy:AZ54_07285
ko:K03568	xoy:AZ54_07300
ko:K09889	xoy:AZ54_07305
ko:K03592	xoy:AZ54_07310
ko:K09940	xoy:AZ54_07320
ko:K00795	xoy:AZ54_07330
ko:K03602	xoy:AZ54_07335
ko:K04075	xoy:AZ54_07340
ko:K01077	xoy:AZ54_07345
ko:K03775	xoy:AZ54_07380
ko:K07148	xoy:AZ54_07385
ko:K02919	xoy:AZ54_11850
ko:K00945	xoy:AZ54_11855
ko:K02945	xoy:AZ54_11860
ko:K05788	xoy:AZ54_11865
ko:K00963	xoy:AZ54_11890
ko:K11747	xoy:AZ54_11915
ko:K09948	xoy:AZ54_11930
ko:K01491	xoy:AZ54_11935
ko:K00088	xoy:AZ54_11940
ko:K01951	xoy:AZ54_11945
ko:K09822	xoy:AZ54_11950
ko:K05577	xoy:AZ54_11955
ko:K03717	xoy:AZ54_11960
ko:K03406	xoy:AZ54_11995
ko:K03322	xoy:AZ54_12000
ko:K11924	xoy:AZ54_12005
ko:K13288	xoy:AZ54_12015
ko:K09773	xoy:AZ54_12030
ko:K09920	xoy:AZ54_12035
ko:K03574	xoy:AZ54_12040
ko:K00019	xoy:AZ54_12045
ko:K17103	xoy:AZ54_12050
ko:K03821	xoy:AZ54_12060
ko:K06959	xoy:AZ54_12085
ko:K15012	xoy:AZ54_12095
ko:K15011	xoy:AZ54_12100
ko:K03526	xoy:AZ54_12105
ko:K18139	xoy:AZ54_16605
ko:K02553	xoy:AZ54_16630
ko:K06182	xoy:AZ54_16650
ko:K05592	xoy:AZ54_16660
ko:K14761	xoy:AZ54_16675
ko:K00567	xoy:AZ54_16715
ko:K01669	xoy:AZ54_16780
ko:K01953	xoy:AZ54_16795
ko:K00799	xoy:AZ54_16805
ko:K00252	xoy:AZ54_16840
ko:K03424	xoy:AZ54_16855
ko:K06077	xoy:AZ54_16870
ko:K03704	xoy:AZ54_16875
ko:K09793	xoy:AZ54_16885
ko:K07481	xoy:AZ54_16890
ko:K00285	xoy:AZ54_21320
ko:K03719	xoy:AZ54_21325
ko:K07305	xoy:AZ54_21335
ko:K02556	xoy:AZ54_21350
ko:K02557	xoy:AZ54_21355
ko:K14645	xoy:AZ54_21385
ko:K01992	xoy:AZ54_21405
ko:K01990	xoy:AZ54_21410
ko:K03316	xoy:AZ54_21415
ko:K07386	xoy:AZ54_21480
ko:K00425	xoy:AZ54_21590
ko:K00426	xoy:AZ54_21595
ko:K18376	xoy:AZ54_00345
ko:K03220	xoy:AZ54_00385
ko:K03227	xoy:AZ54_00395
ko:K03226	xoy:AZ54_00400
ko:K03225	xoy:AZ54_00405
ko:K18381	xoy:AZ54_00410
ko:K03230	xoy:AZ54_00415
ko:K03229	xoy:AZ54_00420
ko:K18373	xoy:AZ54_00425
ko:K18374	xoy:AZ54_00430
ko:K03222	xoy:AZ54_00435
ko:K03223	xoy:AZ54_00445
ko:K03224	xoy:AZ54_00450
ko:K03228	xoy:AZ54_00460
ko:K03219	xoy:AZ54_00465
ko:K07481	xoy:AZ54_00480
ko:K09781	xoy:AZ54_00535
ko:K00703	xoy:AZ54_00550
ko:K00700	xoy:AZ54_00555
ko:K01236	xoy:AZ54_00560
ko:K00705	xoy:AZ54_00565
ko:K06044	xoy:AZ54_00570
ko:K00428	xoy:AZ54_00590
ko:K18383	xoy:AZ54_05255
ko:K06968	xoy:AZ54_05285
ko:K01886	xoy:AZ54_05340
ko:K07304	xoy:AZ54_05410
ko:K00616	xoy:AZ54_05430
ko:K06140	xoy:AZ54_05435
ko:K04761	xoy:AZ54_05440
ko:K03387	xoy:AZ54_05445
ko:K03386	xoy:AZ54_05450
ko:K02493	xoy:AZ54_05455
ko:K01259	xoy:AZ54_05485
ko:K01515	xoy:AZ54_05495
ko:K00324	xoy:AZ54_05515
ko:K03088	xoy:AZ54_05530
ko:K00324	xoy:AZ54_05535
ko:K00325	xoy:AZ54_05540
ko:K15371	xoy:AZ54_10095
ko:K07481	xoy:AZ54_10100
ko:K07814	xoy:AZ54_10105
ko:K00822	xoy:AZ54_10130
ko:K02379	xoy:AZ54_10145
ko:K00508	xoy:AZ54_01700
ko:K08191	xoy:AZ54_01770
