ko:K01673	dmg:GY50_0952
ko:K06287	dmg:GY50_0953
ko:K01950	dmg:GY50_0955
ko:K01915	dmg:GY50_0956
ko:K04751	dmg:GY50_0957
ko:K03320	dmg:GY50_0958
ko:K02500	dmg:GY50_0962
ko:K02037	dmg:GY50_0170
ko:K02038	dmg:GY50_0171
ko:K02036	dmg:GY50_0172
ko:K02039	dmg:GY50_0173
ko:K07043	dmg:GY50_0183
ko:K01620	dmg:GY50_0185
ko:K07667	dmg:GY50_0191
ko:K07566	dmg:GY50_0749
ko:K00196	dmg:GY50_0966
ko:K14234	dmg:GY50_r006
ko:K14234	dmg:GY50_r027
ko:K14232	dmg:GY50_r012
ko:K14232	dmg:GY50_r050
ko:K14230	dmg:GY50_r014
ko:K14230	dmg:GY50_r036
ko:K09022	dmg:GY50_0935
ko:K15035	dmg:GY50_r046
ko:K07045	dmg:GY50_1285
ko:K00329	dmg:GY50_1161
ko:K00356	dmg:GY50_1161
ko:K14224	dmg:GY50_r032
ko:K00091	dmg:GY50_1467
ko:K14235	dmg:GY50_r038
ko:K01977	dmg:GY50_r031
ko:K01980	dmg:GY50_r001
ko:K14228	dmg:GY50_r016
ko:K14223	dmg:GY50_r020
ko:K14220	dmg:GY50_r021
ko:K14229	dmg:GY50_r022
ko:K14236	dmg:GY50_r028
ko:K14221	dmg:GY50_r034
ko:K02614	dmg:GY50_0816
ko:K14223	dmg:GY50_r033
ko:K14230	dmg:GY50_r007
ko:K14219	dmg:GY50_r048
ko:K14233	dmg:GY50_r008
ko:K14218	dmg:GY50_r047
ko:K14227	dmg:GY50_r030
ko:K14229	dmg:GY50_r024
ko:K01007	dmg:GY50_0479
ko:K07667	dmg:GY50_1439
ko:K06384	dmg:GY50_1018
ko:K18707	dmg:GY50_0844
ko:K18682	dmg:GY50_1502
ko:K06218	dmg:GY50_1035
ko:K06218	dmg:GY50_1044
ko:K03469	dmg:GY50_0286
ko:K06147	dmg:GY50_0985
ko:K03111	dmg:GY50_0110
ko:K03111	dmg:GY50_0931
ko:K03497	dmg:GY50_1331
ko:K00335	dmg:GY50_0618
ko:K00335	dmg:GY50_0777
ko:K00335	dmg:GY50_0177
ko:K03526	dmg:GY50_0294
ko:K19221	dmg:GY50_0972
ko:K19221	dmg:GY50_0076
ko:K19302	dmg:GY50_1227
ko:K14226	dmg:GY50_r026
ko:K14237	dmg:GY50_r035
ko:K14222	dmg:GY50_r041
ko:K14228	dmg:GY50_r042
ko:K14086	dmg:GY50_0773
