ko:K02066	xcf:J172_04514
ko:K02067	xcf:J172_04515
ko:K07323	xcf:J172_04516
ko:K07122	xcf:J172_04517
ko:K04754	xcf:J172_04518
ko:K00209	xcf:J172_00247
ko:K00874	xcf:J172_00249
ko:K07483	xcf:J172_00260
ko:K16147	xcf:J172_00262
ko:K05343	xcf:J172_00263
ko:K00700	xcf:J172_00264
ko:K07095	xcf:J172_00265
ko:K00064	xcf:J172_00266
ko:K03929	xcf:J172_00267
ko:K02554	xcf:J172_00269
ko:K02529	xcf:J172_00274
ko:K01815	xcf:J172_00275
ko:K00065	xcf:J172_00276
ko:K01808	xcf:J172_00277
ko:K00500	xcf:J172_00281
ko:K03719	xcf:J172_00282
ko:K16088	xcf:J172_00283
ko:K07001	xcf:J172_00284
ko:K02013	xcf:J172_00286
ko:K05847	xcf:J172_00289
ko:K05845	xcf:J172_00290
ko:K05846	xcf:J172_00290
ko:K07154	xcf:J172_00294
ko:K04090	xcf:J172_00296
ko:K07088	xcf:J172_00298
ko:K03496	xcf:J172_00299
ko:K02879	xcf:J172_01115
ko:K03611	xcf:J172_01116
ko:K01626	xcf:J172_01118
ko:K01426	xcf:J172_01120
ko:K06207	xcf:J172_01122
ko:K03768	xcf:J172_01123
ko:K00024	xcf:J172_01124
ko:K00799	xcf:J172_01125
ko:K00219	xcf:J172_01127
ko:K03286	xcf:J172_01129
ko:K06178	xcf:J172_01131
ko:K00639	xcf:J172_01133
ko:K02048	xcf:J172_01134
ko:K02046	xcf:J172_01135
ko:K02047	xcf:J172_01136
ko:K02045	xcf:J172_01137
ko:K00060	xcf:J172_01139
ko:K01114	xcf:J172_01141
ko:K11754	xcf:J172_01145
ko:K03558	xcf:J172_01147
ko:K00764	xcf:J172_01148
ko:K03269	xcf:J172_01153
ko:K01524	xcf:J172_01157
ko:K00937	xcf:J172_01158
ko:K07636	xcf:J172_01159
ko:K07657	xcf:J172_01160
ko:K00030	xcf:J172_01164
ko:K00058	xcf:J172_01991
ko:K02356	xcf:J172_01996
ko:K01640	xcf:J172_01998
ko:K13766	xcf:J172_02000
ko:K04758	xcf:J172_02001
ko:K04759	xcf:J172_02002
ko:K05825	xcf:J172_02005
ko:K00215	xcf:J172_02007
ko:K01956	xcf:J172_02008
ko:K01955	xcf:J172_02010
ko:K03624	xcf:J172_02011
ko:K07462	xcf:J172_02013
ko:K02836	xcf:J172_02022
ko:K04567	xcf:J172_02023
ko:K13815	xcf:J172_02024
ko:K10715	xcf:J172_02025
ko:K13816	xcf:J172_02026
ko:K01897	xcf:J172_02027
ko:K01681	xcf:J172_02029
ko:K01682	xcf:J172_02032
ko:K03412	xcf:J172_02035
ko:K03411	xcf:J172_02036
ko:K00575	xcf:J172_02037
ko:K03406	xcf:J172_02039
ko:K00767	xcf:J172_02852
ko:K00962	xcf:J172_02854
ko:K02956	xcf:J172_02855
ko:K03177	xcf:J172_02856
ko:K02834	xcf:J172_02857
ko:K02519	xcf:J172_02858
ko:K02600	xcf:J172_02859
ko:K09748	xcf:J172_02860
ko:K00343	xcf:J172_02862
ko:K00342	xcf:J172_02863
ko:K00341	xcf:J172_02864
ko:K00340	xcf:J172_02865
ko:K00339	xcf:J172_02866
ko:K00338	xcf:J172_02867
