ko:K02342	ahd:AI20_11320
ko:K03469	ahd:AI20_11325
ko:K01069	ahd:AI20_11335
ko:K08307	ahd:AI20_11340
ko:K10806	ahd:AI20_11355
ko:K02529	ahd:AI20_11365
ko:K08309	ahd:AI20_11370
ko:K05809	ahd:AI20_11380
ko:K09800	ahd:AI20_11400
ko:K07278	ahd:AI20_11405
ko:K03769	ahd:AI20_11415
ko:K05777	ahd:AI20_11440
ko:K05778	ahd:AI20_11445
ko:K05779	ahd:AI20_11450
ko:K08305	ahd:AI20_11460
ko:K01835	ahd:AI20_11485
ko:K03645	ahd:AI20_11490
ko:K03839	ahd:AI20_11510
ko:K03711	ahd:AI20_11520
ko:K01886	ahd:AI20_11525
ko:K12373	ahd:AI20_11530
ko:K02803	ahd:AI20_11535
ko:K02804	ahd:AI20_11535
ko:K02564	ahd:AI20_11540
ko:K01443	ahd:AI20_11545
ko:K02565	ahd:AI20_11550
ko:K03760	ahd:AI20_11555
ko:K01876	ahd:AI20_11565
ko:K15256	ahd:AI20_11575
ko:K15257	ahd:AI20_11580
ko:K08676	ahd:AI20_16250
ko:K03406	ahd:AI20_16280
ko:K13635	ahd:AI20_16290
ko:K02045	ahd:AI20_16300
ko:K02047	ahd:AI20_16305
ko:K02046	ahd:AI20_16310
ko:K07002	ahd:AI20_16315
ko:K02048	ahd:AI20_16320
ko:K00661	ahd:AI20_16330
ko:K07734	ahd:AI20_16350
ko:K01755	ahd:AI20_16355
ko:K01940	ahd:AI20_16360
ko:K00611	ahd:AI20_16365
ko:K00930	ahd:AI20_16370
ko:K00145	ahd:AI20_16375
ko:K01438	ahd:AI20_16380
ko:K01595	ahd:AI20_16385
ko:K12525	ahd:AI20_16415
ko:K01739	ahd:AI20_16420
ko:K03764	ahd:AI20_16425
ko:K06878	ahd:AI20_16435
ko:K03837	ahd:AI20_16440
ko:K01082	ahd:AI20_16445
ko:K08312	ahd:AI20_16450
ko:K01866	ahd:AI20_16470
ko:K02463	ahd:AI20_16480
ko:K02462	ahd:AI20_16485
ko:K02461	ahd:AI20_16490
ko:K02460	ahd:AI20_16495
ko:K02459	ahd:AI20_16500
ko:K02458	ahd:AI20_16505
ko:K02457	ahd:AI20_16510
ko:K02456	ahd:AI20_16515
ko:K02455	ahd:AI20_16520
ko:K02992	ahd:AI20_20940
ko:K02355	ahd:AI20_20945
ko:K02358	ahd:AI20_20950
ko:K03273	ahd:AI20_20955
ko:K11312	ahd:AI20_20985
ko:K06901	ahd:AI20_20990
ko:K05878	ahd:AI20_20995
ko:K05879	ahd:AI20_21000
ko:K05881	ahd:AI20_21005
ko:K00005	ahd:AI20_21010
ko:K05880	ahd:AI20_21015
ko:K10536	ahd:AI20_21025
ko:K03825	ahd:AI20_21065
ko:K13652	ahd:AI20_21070
ko:K08983	ahd:AI20_21080
ko:K02052	ahd:AI20_21095
ko:K02053	ahd:AI20_21100
ko:K02054	ahd:AI20_21105
ko:K02055	ahd:AI20_21115
ko:K06911	ahd:AI20_21140
ko:K15977	ahd:AI20_21145
ko:K03583	ahd:AI20_21150
ko:K03582	ahd:AI20_21155
ko:K03581	ahd:AI20_21160
ko:K03566	ahd:AI20_21165
ko:K01759	ahd:AI20_21175
ko:K16089	ahd:AI20_21225
ko:K03704	ahd:AI20_21230
ko:K02192	ahd:AI20_00025
ko:K03594	ahd:AI20_00030
ko:K01734	ahd:AI20_00040
ko:K07301	ahd:AI20_00050
ko:K01424	ahd:AI20_00055
ko:K07088	ahd:AI20_00070
ko:K03485	ahd:AI20_00075
ko:K02818	ahd:AI20_00080
ko:K02819	ahd:AI20_00080
ko:K01226	ahd:AI20_00085
ko:K00661	ahd:AI20_00090
ko:K11069	ahd:AI20_00100
ko:K00137	ahd:AI20_00115
ko:K02053	ahd:AI20_00120
ko:K02054	ahd:AI20_00130
ko:K02052	ahd:AI20_00135
ko:K03315	ahd:AI20_00145
ko:K00703	ahd:AI20_00185
ko:K00975	ahd:AI20_00190
ko:K00564	ahd:AI20_00195
ko:K01714	ahd:AI20_00200
ko:K03666	ahd:AI20_00220
ko:K03808	ahd:AI20_00225
ko:K06192	ahd:AI20_00230
ko:K09857	ahd:AI20_00235
ko:K03286	ahd:AI20_00240
ko:K08306	ahd:AI20_00260
ko:K03575	ahd:AI20_00270
ko:K02451	ahd:AI20_00275
ko:K02450	ahd:AI20_00280
ko:K00974	ahd:AI20_00285
ko:K06518	ahd:AI20_00305
ko:K01657	ahd:AI20_04835
ko:K07053	ahd:AI20_04840
ko:K05896	ahd:AI20_04850
ko:K06024	ahd:AI20_04855
ko:K06178	ahd:AI20_04860
ko:K10805	ahd:AI20_04865
ko:K03577	ahd:AI20_04880
ko:K03585	ahd:AI20_04885
ko:K18138	ahd:AI20_04890
ko:K00973	ahd:AI20_04905
ko:K01790	ahd:AI20_04910
