ko:K06287	ssuy:YB51_5115
ko:K01465	ssuy:YB51_5125
ko:K03648	ssuy:YB51_5130
ko:K00762	ssuy:YB51_5140
ko:K07447	ssuy:YB51_0345
ko:K09962	ssuy:YB51_0360
ko:K09962	ssuy:YB51_0365
ko:K12296	ssuy:YB51_0370
ko:K02946	ssuy:YB51_0375
ko:K02906	ssuy:YB51_0380
ko:K02926	ssuy:YB51_0385
ko:K02892	ssuy:YB51_0390
ko:K02886	ssuy:YB51_0395
ko:K02965	ssuy:YB51_0400
ko:K02890	ssuy:YB51_0405
ko:K02982	ssuy:YB51_0410
ko:K02878	ssuy:YB51_0415
ko:K02904	ssuy:YB51_0420
ko:K02961	ssuy:YB51_0425
ko:K02874	ssuy:YB51_0430
ko:K02895	ssuy:YB51_0435
ko:K02931	ssuy:YB51_0440
ko:K02027	ssuy:YB51_0840
ko:K02025	ssuy:YB51_0845
ko:K02026	ssuy:YB51_0850
ko:K07407	ssuy:YB51_0855
ko:K01990	ssuy:YB51_0880
ko:K07007	ssuy:YB51_0890
ko:K01223	ssuy:YB51_0895
ko:K02822	ssuy:YB51_0910
ko:K03475	ssuy:YB51_0915
ko:K00615	ssuy:YB51_0920
ko:K00615	ssuy:YB51_0925
ko:K01126	ssuy:YB51_0930
ko:K09747	ssuy:YB51_0935
ko:K02082	ssuy:YB51_0940
ko:K01281	ssuy:YB51_0950
ko:K00656	ssuy:YB51_0975
ko:K02346	ssuy:YB51_0980
ko:K07118	ssuy:YB51_0990
ko:K07457	ssuy:YB51_1005
ko:K02761	ssuy:YB51_1015
ko:K02050	ssuy:YB51_1035
ko:K02049	ssuy:YB51_1040
ko:K02051	ssuy:YB51_1045
ko:K17686	ssuy:YB51_1065
ko:K03581	ssuy:YB51_1075
ko:K03100	ssuy:YB51_1080
ko:K03471	ssuy:YB51_1085
ko:K03216	ssuy:YB51_7600
ko:K08998	ssuy:YB51_7605
ko:K06178	ssuy:YB51_7610
ko:K06024	ssuy:YB51_7615
ko:K05896	ssuy:YB51_7620
ko:K07095	ssuy:YB51_7635
ko:K02428	ssuy:YB51_7640
ko:K01776	ssuy:YB51_7645
ko:K09976	ssuy:YB51_7650
ko:K01586	ssuy:YB51_7655
ko:K01372	ssuy:YB51_7660
ko:K06890	ssuy:YB51_7665
ko:K06950	ssuy:YB51_7670
ko:K03437	ssuy:YB51_7675
ko:K01512	ssuy:YB51_7685
ko:K03217	ssuy:YB51_7690
ko:K03624	ssuy:YB51_7695
ko:K07082	ssuy:YB51_7700
ko:K01924	ssuy:YB51_7710
ko:K03977	ssuy:YB51_7735
ko:K11144	ssuy:YB51_7745
ko:K03346	ssuy:YB51_7750
ko:K07738	ssuy:YB51_7755
ko:K00033	ssuy:YB51_7770
ko:K07040	ssuy:YB51_7775
ko:K00384	ssuy:YB51_7780
ko:K01000	ssuy:YB51_7810
ko:K12556	ssuy:YB51_7815
ko:K03438	ssuy:YB51_7825
ko:K07729	ssuy:YB51_7830
ko:K01507	ssuy:YB51_5145
ko:K01591	ssuy:YB51_5150
ko:K17828	ssuy:YB51_5155
ko:K02823	ssuy:YB51_5160
ko:K00975	ssuy:YB51_5170
ko:K00975	ssuy:YB51_5175
ko:K00703	ssuy:YB51_5180
ko:K00700	ssuy:YB51_5185
ko:K02030	ssuy:YB51_5190
ko:K02030	ssuy:YB51_5195
ko:K03574	ssuy:YB51_5200
ko:K03702	ssuy:YB51_5225
ko:K02029	ssuy:YB51_5235
ko:K02030	ssuy:YB51_5235
ko:K02028	ssuy:YB51_5240
ko:K01740	ssuy:YB51_5255
ko:K01220	ssuy:YB51_5270
ko:K02787	ssuy:YB51_5275
ko:K02788	ssuy:YB51_5275
ko:K02786	ssuy:YB51_5280
ko:K02531	ssuy:YB51_5285
ko:K01635	ssuy:YB51_5290
ko:K00917	ssuy:YB51_5295
ko:K01819	ssuy:YB51_5300
ko:K01819	ssuy:YB51_5305
ko:K02530	ssuy:YB51_5310
ko:K03466	ssuy:YB51_9100
ko:K03466	ssuy:YB51_9140
ko:K09685	ssuy:YB51_9175
ko:K03698	ssuy:YB51_9185
ko:K09760	ssuy:YB51_9190
ko:K00949	ssuy:YB51_9195
ko:K01783	ssuy:YB51_9200
ko:K06949	ssuy:YB51_9205
ko:K02528	ssuy:YB51_9225
ko:K03574	ssuy:YB51_9245
ko:K05985	ssuy:YB51_9255
ko:K03424	ssuy:YB51_9260
ko:K02914	ssuy:YB51_9265
ko:K06346	ssuy:YB51_9270
ko:K03217	ssuy:YB51_9275
ko:K03536	ssuy:YB51_9280
ko:K01755	ssuy:YB51_9285
ko:K01940	ssuy:YB51_9290
ko:K02313	ssuy:YB51_0005
ko:K02338	ssuy:YB51_0010
ko:K06942	ssuy:YB51_0030
ko:K01056	ssuy:YB51_0035
ko:K03723	ssuy:YB51_0040
ko:K01467	ssuy:YB51_0060
ko:K04075	ssuy:YB51_0065
ko:K00760	ssuy:YB51_0070
ko:K03798	ssuy:YB51_0075
ko:K12296	ssuy:YB51_0080
ko:K02994	ssuy:YB51_0445
ko:K02933	ssuy:YB51_0455
ko:K02881	ssuy:YB51_0460
ko:K02988	ssuy:YB51_0465
ko:K02907	ssuy:YB51_0470
ko:K02876	ssuy:YB51_0475
ko:K03076	ssuy:YB51_0480
ko:K00939	ssuy:YB51_0485
ko:K02518	ssuy:YB51_0490
ko:K02952	ssuy:YB51_0495
ko:K02948	ssuy:YB51_0500
ko:K03040	ssuy:YB51_0505
ko:K02879	ssuy:YB51_0510
ko:K12296	ssuy:YB51_0525
ko:K02003	ssuy:YB51_7075
ko:K05845	ssuy:YB51_7105
ko:K05846	ssuy:YB51_7105
ko:K05847	ssuy:YB51_7110
ko:K13292	ssuy:YB51_7130
ko:K06023	ssuy:YB51_7135
ko:K01809	ssuy:YB51_7140
ko:K03095	ssuy:YB51_7155
ko:K06959	ssuy:YB51_7160
ko:K07284	ssuy:YB51_7165
ko:K07058	ssuy:YB51_7195
ko:K01265	ssuy:YB51_7200
ko:K00790	ssuy:YB51_7210
ko:K00355	ssuy:YB51_7215
ko:K00789	ssuy:YB51_7220
ko:K03524	ssuy:YB51_7255
ko:K02343	ssuy:YB51_7265
ko:K00876	ssuy:YB51_7290
ko:K01759	ssuy:YB51_7315
ko:K01834	ssuy:YB51_7320
ko:K02013	ssuy:YB51_4020
ko:K05362	ssuy:YB51_4025
ko:K00655	ssuy:YB51_4030
ko:K02237	ssuy:YB51_4035
