ko:K02040	sauw:SAI5S5_1010000
ko:K00243	sauw:SAI5S5_1010010
ko:K00928	sauw:SAI5S5_1010030
ko:K00133	sauw:SAI5S5_1010040
ko:K01714	sauw:SAI5S5_1010050
ko:K00215	sauw:SAI5S5_1010060
ko:K05822	sauw:SAI5S5_1010070
ko:K01775	sauw:SAI5S5_1010090
ko:K01586	sauw:SAI5S5_1010100
ko:K03311	sauw:SAI5S5_1010130
ko:K09814	sauw:SAI5S5_1017420
ko:K09813	sauw:SAI5S5_1017430
ko:K00116	sauw:SAI5S5_1017470
ko:K03303	sauw:SAI5S5_1017480
ko:K02809	sauw:SAI5S5_1017570
ko:K02810	sauw:SAI5S5_1017570
ko:K11102	sauw:SAI5S5_1017600
ko:K10850	sauw:SAI5S5_1017620
ko:K07696	sauw:SAI5S5_1017650
ko:K07683	sauw:SAI5S5_1017660
ko:K00374	sauw:SAI5S5_1017670
ko:K00373	sauw:SAI5S5_1017680
ko:K00371	sauw:SAI5S5_1017690
ko:K00370	sauw:SAI5S5_1017700
ko:K02303	sauw:SAI5S5_1017710
ko:K00362	sauw:SAI5S5_1017720
ko:K09815	sauw:SAI5S5_1017770
ko:K10010	sauw:SAI5S5_1017810
ko:K10009	sauw:SAI5S5_1017820
ko:K02424	sauw:SAI5S5_1017830
ko:K01834	sauw:SAI5S5_1017850
ko:K14197	sauw:SAI5S5_1017870
ko:K17218	sauw:SAI5S5_1000470
ko:K01771	sauw:SAI5S5_1000520
ko:K08170	sauw:SAI5S5_1000600
ko:K03324	sauw:SAI5S5_1000610
ko:K10254	sauw:SAI5S5_1000620
ko:K03303	sauw:SAI5S5_1000660
ko:K14196	sauw:SAI5S5_1000670
ko:K02015	sauw:SAI5S5_1000690
ko:K02015	sauw:SAI5S5_1000700
ko:K02016	sauw:SAI5S5_1000710
ko:K01586	sauw:SAI5S5_1000790
ko:K03366	sauw:SAI5S5_1000820
ko:K01784	sauw:SAI5S5_1000830
ko:K04564	sauw:SAI5S5_1000880
ko:K03784	sauw:SAI5S5_1000910
ko:K01839	sauw:SAI5S5_1000930
ko:K02042	sauw:SAI5S5_1000940
ko:K02042	sauw:SAI5S5_1000950
ko:K02041	sauw:SAI5S5_1000960
ko:K02044	sauw:SAI5S5_1000970
ko:K06949	sauw:SAI5S5_1008670
ko:K01783	sauw:SAI5S5_1008680
ko:K07030	sauw:SAI5S5_1008700
ko:K03655	sauw:SAI5S5_1008710
ko:K03621	sauw:SAI5S5_1008730
ko:K00645	sauw:SAI5S5_1008740
ko:K00059	sauw:SAI5S5_1008750
ko:K03685	sauw:SAI5S5_1008760
ko:K03529	sauw:SAI5S5_1008770
ko:K03110	sauw:SAI5S5_1008780
ko:K03106	sauw:SAI5S5_1008790
ko:K02860	sauw:SAI5S5_1008800
ko:K00554	sauw:SAI5S5_1008810
ko:K14540	sauw:SAI5S5_1008830
ko:K03470	sauw:SAI5S5_1008840
ko:K01903	sauw:SAI5S5_1008850
ko:K01902	sauw:SAI5S5_1008860
ko:K04096	sauw:SAI5S5_1008890
ko:K03168	sauw:SAI5S5_1008900
ko:K04094	sauw:SAI5S5_1008910
ko:K03733	sauw:SAI5S5_1008920
ko:K01419	sauw:SAI5S5_1008930
ko:K03667	sauw:SAI5S5_1008940
ko:K03706	sauw:SAI5S5_1008950
ko:K02967	sauw:SAI5S5_1008960
ko:K02357	sauw:SAI5S5_1008970
ko:K09903	sauw:SAI5S5_1008980
ko:K02838	sauw:SAI5S5_1008990
ko:K00806	sauw:SAI5S5_1009000
ko:K00981	sauw:SAI5S5_1009010
ko:K11749	sauw:SAI5S5_1009020
ko:K01881	sauw:SAI5S5_1009030
ko:K03763	sauw:SAI5S5_1009040
ko:K09748	sauw:SAI5S5_1009050
ko:K02600	sauw:SAI5S5_1009060
ko:K02519	sauw:SAI5S5_1009080
ko:K03177	sauw:SAI5S5_1009090
ko:K11753	sauw:SAI5S5_1009100
ko:K00962	sauw:SAI5S5_1009110
ko:K12574	sauw:SAI5S5_1009120
ko:K03466	sauw:SAI5S5_1009130
ko:K06173	sauw:SAI5S5_1016430
ko:K16785	sauw:SAI5S5_1016440
ko:K16787	sauw:SAI5S5_1016450
ko:K16786	sauw:SAI5S5_1016460
ko:K03040	sauw:SAI5S5_1016470
ko:K00939	sauw:SAI5S5_1016480
ko:K03076	sauw:SAI5S5_1016490
ko:K02988	sauw:SAI5S5_1016500
ko:K02933	sauw:SAI5S5_1016510
ko:K02931	sauw:SAI5S5_1016520
ko:K02982	sauw:SAI5S5_1016540
ko:K02886	sauw:SAI5S5_1016550
ko:K02926	sauw:SAI5S5_1016560
ko:K02906	sauw:SAI5S5_1016570
ko:K06901	sauw:SAI5S5_1016580
ko:K05340	sauw:SAI5S5_1016610
ko:K07088	sauw:SAI5S5_1016620
ko:K11693	sauw:SAI5S5_1016640
ko:K03639	sauw:SAI5S5_1016670
ko:K03752	sauw:SAI5S5_1016680
ko:K03753	sauw:SAI5S5_1016690
ko:K03750	sauw:SAI5S5_1016700
ko:K03637	sauw:SAI5S5_1016710
ko:K03638	sauw:SAI5S5_1016720
ko:K02017	sauw:SAI5S5_1016740
ko:K02018	sauw:SAI5S5_1016750
ko:K02020	sauw:SAI5S5_1016760
ko:K02379	sauw:SAI5S5_1016770
ko:K03523	sauw:SAI5S5_1016790
ko:K02016	sauw:SAI5S5_1016810
ko:K08717	sauw:SAI5S5_1016830
ko:K01428	sauw:SAI5S5_1016840
ko:K03188	sauw:SAI5S5_1016860
ko:K03189	sauw:SAI5S5_1016870
ko:K03190	sauw:SAI5S5_1016880
ko:K08483	sauw:SAI5S5_1007660
ko:K00425	sauw:SAI5S5_1007670
ko:K00426	sauw:SAI5S5_1007680
ko:K03499	sauw:SAI5S5_1007690
ko:K12574	sauw:SAI5S5_1007700
ko:K03427	sauw:SAI5S5_1003110
ko:K01154	sauw:SAI5S5_1003120
ko:K05577	sauw:SAI5S5_1003280
ko:K09822	sauw:SAI5S5_1003290
ko:K03928	sauw:SAI5S5_1003320
ko:K03308	sauw:SAI5S5_1003330
ko:K17216	sauw:SAI5S5_1003340
ko:K17217	sauw:SAI5S5_1003350
ko:K02071	sauw:SAI5S5_1003360
ko:K02072	sauw:SAI5S5_1003370
ko:K02073	sauw:SAI5S5_1003380
ko:K00265	sauw:SAI5S5_1003440
ko:K00266	sauw:SAI5S5_1003450
ko:K02818	sauw:SAI5S5_1003470
