ko:K11065	hei:C730_01980
ko:K03408	hei:C730_01985
ko:K03407	hei:C730_01990
ko:K03415	hei:C730_01995
ko:K03269	hei:C730_02000
ko:K06997	hei:C730_02005
ko:K03182	hei:C730_02010
ko:K02945	hei:C730_02025
ko:K03527	hei:C730_02030
ko:K00800	hei:C730_02035
ko:K01890	hei:C730_02040
ko:K01889	hei:C730_02045
ko:K02503	hei:C730_02055
ko:K01951	hei:C730_02085
ko:K15846	hei:C730_02095
ko:K16052	hei:C730_02115
ko:K00574	hei:C730_02120
ko:K01874	hei:C730_02125
ko:K12098	hei:C730_02755
ko:K12101	hei:C730_02770
ko:K12102	hei:C730_02775
ko:K12103	hei:C730_02780
ko:K12104	hei:C730_02785
ko:K12105	hei:C730_02790
ko:K12107	hei:C730_02800
ko:K12108	hei:C730_02805
ko:K12109	hei:C730_02810
ko:K12110	hei:C730_02815
ko:K15842	hei:C730_02825
ko:K01776	hei:C730_02840
ko:K03628	hei:C730_02845
ko:K02909	hei:C730_02850
ko:K07056	hei:C730_02855
ko:K03218	hei:C730_02860
ko:K01962	hei:C730_02875
ko:K09458	hei:C730_02880
ko:K02078	hei:C730_02890
ko:K02970	hei:C730_02900
ko:K01778	hei:C730_02925
ko:K06942	hei:C730_02940
ko:K01255	hei:C730_02945
ko:K00759	hei:C730_02955
ko:K01808	hei:C730_02965
ko:K03100	hei:C730_02975
ko:K01491	hei:C730_02980
ko:K01465	hei:C730_03000
ko:K02417	hei:C730_03015
ko:K06920	hei:C730_03310
ko:K02221	hei:C730_03335
ko:K08309	hei:C730_03340
ko:K00963	hei:C730_03345
ko:K00790	hei:C730_03355
ko:K01744	hei:C730_03360
ko:K01079	hei:C730_03375
ko:K02217	hei:C730_03380
ko:K07277	hei:C730_03390
ko:K02434	hei:C730_03410
ko:K03685	hei:C730_03430
ko:K01736	hei:C730_03435
ko:K11473	hei:C730_03450
ko:K00812	hei:C730_03480
ko:K03196	hei:C730_07360
ko:K07090	hei:C730_03500
ko:K04042	hei:C730_03525
ko:K02419	hei:C730_03540
ko:K16091	hei:C730_03545
ko:K04759	hei:C730_03550
ko:K07501	hei:C730_03555
ko:K01028	hei:C730_03565
ko:K01029	hei:C730_03570
ko:K02106	hei:C730_03575
ko:K10856	hei:C730_03610
ko:K00901	hei:C730_03620
ko:K02469	hei:C730_03625
ko:K03701	hei:C730_03640
ko:K03438	hei:C730_03650
ko:K07023	hei:C730_03670
ko:K00767	hei:C730_07005
ko:K03517	hei:C730_07010
ko:K01613	hei:C730_07015
ko:K03179	hei:C730_07030
ko:K03570	hei:C730_07090
ko:K03569	hei:C730_07095
ko:K03544	hei:C730_07100
ko:K00677	hei:C730_07105
ko:K02372	hei:C730_07110
ko:K13626	hei:C730_07115
ko:K05807	hei:C730_07125
ko:K01338	hei:C730_07130
ko:K01173	hei:C730_07145
ko:K01154	hei:C730_07150
ko:K03841	hei:C730_07160
ko:K01783	hei:C730_07165
ko:K15726	hei:C730_04990
ko:K01879	hei:C730_05005
ko:K15633	hei:C730_05010
ko:K02435	hei:C730_05015
ko:K00833	hei:C730_05025
ko:K03770	hei:C730_05030
ko:K03590	hei:C730_05035
ko:K03531	hei:C730_05040
ko:K03631	hei:C730_07205
ko:K00858	hei:C730_07210
ko:K00259	hei:C730_07235
ko:K01476	hei:C730_07240
ko:K16091	hei:C730_07245
ko:K07043	hei:C730_07250
ko:K01153	hei:C730_07255
ko:K03427	hei:C730_07260
ko:K01154	hei:C730_07265
ko:K01012	hei:C730_07280
ko:K07058	hei:C730_07285
ko:K09457	hei:C730_07315
ko:K09710	hei:C730_07320
ko:K00791	hei:C730_07325
ko:K00075	hei:C730_07345
ko:K00937	hei:C730_05230
ko:K01714	hei:C730_05245
ko:K00995	hei:C730_05260
ko:K12506	hei:C730_05275
ko:K05516	hei:C730_05300
ko:K07478	hei:C730_05310
ko:K00384	hei:C730_06010
ko:K01810	hei:C730_06020
ko:K06200	hei:C730_06040
ko:K02029	hei:C730_06045
ko:K02029	hei:C730_06050
ko:K02429	hei:C730_06070
ko:K06901	hei:C730_06075
ko:K01839	hei:C730_06100
ko:K08159	hei:C730_06135
ko:K00133	hei:C730_06160
ko:K01892	hei:C730_06165
ko:K02355	hei:C730_06185
ko:K02992	hei:C730_06190
ko:K02950	hei:C730_06195
ko:K02420	hei:C730_07350
ko:K02412	hei:C730_07355
ko:K01870	hei:C730_07365
ko:K06941	hei:C730_07395
ko:K06041	hei:C730_07400
ko:K02528	hei:C730_07410
ko:K01433	hei:C730_07430
ko:K04773	hei:C730_07435
ko:K03563	hei:C730_07475
ko:K00919	hei:C730_07480
ko:K03664	hei:C730_07485
ko:K03561	hei:C730_07490
ko:K02914	hei:C730_07500
ko:K03536	hei:C730_07505
ko:K03217	hei:C730_07515
ko:K03650	hei:C730_07525
ko:K07337	hei:C730_07550
